value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
52.45,,,,,,,,0.004309978510811369
53.0,,,,0.01650642103139918,,,,
55.0,,,,,,,0.0020999580008399833,
56.5,,0.0034867964437981292,,,,,,
62.5,,,0.00406520057175079,,,,,
64.0,,,,,0.003142395403124439,,,
77.0,0.0034415681580128683,,,,,,,
78.5,,,,,,0.00041992546323027665,,
118.4995,,,,,0.010908601185131981,,,
118.8995,,,,0.03271028037383177,,,,
120.9995,,,0.025636990702492885,,,,,0.023079631405781443
121.9995,0.01870417477180907,0.03110024126648379,,,,,,
122.4995,,,,,,,0.017945095643541676,
129.9995,,,,,,0.007873602435567686,,
147.0,,,,,0.010594361644819536,,,
148.4,,,,0.03365158340617226,,,,
151.5,,,0.02473215573652255,,,,,
152.0,,,,,,,,0.022642563162431555
153.5,,0.030439237201308787,,,,,,
154.0,,,,,,,0.017677828261616586,
154.5,0.01825527457728565,,,,,,,
164.5,,,,,,0.007348695606529841,,
166.5,,,,,0.010684144370623093,,,
166.5,,,,0.033080077993679825,,,,
168.5,,,0.024378089880273287,,,,,
169.5,,,,,,,,0.02270326708511904
170.0,,0.030158310473609413,,,,,,
170.5,,,,,,,0.017792371425298766,
172.5,0.01935258616389845,,,,,,,
177.5,,,,,,0.007558658338144979,,
180.5,,,,0.03223962885766153,,,,
181.5,,,,,0.010549470281917758,,,
182.5,,,0.024312522129116016,,,,,
183.0,,0.02903460356281191,,,,,,0.021501329415906857
184.0,,,,,,,0.017830552479859495,
185.5,0.017956007780936704,,,,,,,
187.5,,,,,,0.006823788777491995,,
193.5,,,,0.031869831237813485,,,,
194.0,,,,,0.01014544801580176,,,
194.5,,0.028819777241630037,0.023525709115228766,,,,,0.02195053844379424
195.0,,,,,,,0.017181474552327134,
195.5,0.01715796299067285,,,,,,,
196.0,,,,,,0.007348695606529841,,
227.9995,,0.17133225369336022,,,,,,
232.4995,,,,0.16556847979560277,,,,
234.4995,,,0.17556421049870832,,,,,
235.9995,0.1810564117911118,,,,,,,
238.9995,,,,,,,,0.17782607112071583
241.9995,,,,,,,0.18239089763659272,
256.9995,,,,,,0.19405805469529158,,
269.4995,,,,,0.18926198599389477,,,
287.0,,0.16728360379416332,,,,,,
303.5,,,0.1737151999160733,,,,,
308.5,0.18235323457529054,,,,,,,
312.5,,,,0.16324884018019228,,,,
320.5,,,,,,,,0.1772068911093035
333.9,,,,,,,0.18113092283608873,
366.5,,0.17032422249396834,,,,,,
368.5,,,,,,0.19164348328171749,,
386.5,,,0.17574780020194866,,,,,
392.0,0.18025836700084794,,,,,,,
400.0,,,,,0.18935176871969833,,,
422.0,,,,,,,,0.17570143382665387
435.0,,,,0.16375310966180326,,,,
455.4,,,,,,,0.18200908709098546,
499.0,,,,,,0.1922733714765629,,
520.0,,0.1687047625342896,,,,,,
535.0,,,,,0.188005027832645,,,
536.5,0.1803082448002394,,,,,,,
542.0,,,0.17368897281561038,,,,,
609.0,,,,,,,,0.17615064285454127
671.9995,,0.03389298344184817,,,,,,
674.9995,0.03656042695396279,,,,,,,
682.0,,,,0.16328245814563302,,,,
693.5,,,,,,,0.18181818181818182,
698.9995,,,0.03494761136682534,,,,,
733.0,,,,,,0.19174846464752507,,
736.5,,,,,0.1885886155503681,,,
779.0,0.0359618933612649,,,,,,,
791.9995,,,,,,,,0.03562106183301565
795.0,,0.03395908384836567,,,,,,
833.0,,,0.035052519768676973,,,,,
905.9995,,,,,0.03802298437780571,,,
921.4995,,,,0.032878370201035435,,,,
922.9995,,,,,,,0.036501088160054984,
933.0,,,,,,,,0.03524469751235325
942.0,0.03621128235822235,,,,,,,
953.8995,,,,,,0.038580651934281666,,
1024.0,,,,,0.037574070748787936,,,
1029.0,,0.03377730773044254,,,,,,
1091.5,,,,,,,0.036424726050933526,
1097.0,,,0.03479024876404789,,,,,
1109.0,,,,0.03277751630471324,,,,
1131.4,,,,,,0.038685633300089235,,
1235.0,,,,,,,,0.03531754221957823
1246.4,,,,,0.03766385347459149,,,
1353.0,0.03621128235822235,,,,,,,
1374.5,,,,,,,0.036424726050933526,
1448.0,,,,0.03281113427015397,,,,
1451.0,,,,,,0.03852816125137788,,
1608.5,,0.033826883035330664,,,,,,
1749.5,,,0.0349607249170568,,,,,
1830.0,,,,,0.03775363620039504,,,
1913.3,,,,,,,,0.03535396457319072
1978.5,,,,,,,0.0363865449963728,
2133.0,,,,0.03281113427015397,,,,
2148.4,,,,,,0.03852816125137788,,
2696.0,0.03621128235822235,,,,,,,
5702.6,,,,,0.03775363620039504,,,
6015.0,,0.033859933238589414,,,,,,
6111.0,,,0.03488204361566807,,,,,
6180.8,,,,,,,,0.03539038692680321
6202.5,,,,,,,0.0363865449963728,
6264.5,,,,0.03281113427015397,,,,
6310.4,,,,,,0.038580651934281666,,
