value,sunnybrook_probability,ucmc_probability
0.02,,0.007599286327892685
0.04,0.0021615697258459804,
0.06,,0.01134386219960792
0.1,0.0037256633126817166,
0.11,,0.015066411154430715
0.16,0.004262250163639961,
0.17,,0.018392475605189543
0.2,0.0053049792215304524,
0.62,,0.03594792836846627
0.7,0.010537652413499155,
1.13,,0.053437300381065665
1.3,0.015534379614266361,
1.59,,0.07149937223286856
1.72,0.020709969098686314,
2,0.025847502778073767,0.08898874424546796
3.37,,0.15711799819379282
3.92,0.11328452042074498,
4.48,,0.22478468688737638
4.99,0.2005693148432862,
5.51,,0.29229718716271286
5.8,0.2877856088167689,
6.53,,0.3599859027731888
6.7,0.3808130242187143,
7.5,0.4621991688612181,0.42743232229784794
8.6,0.5701825156409359,
9.27,,0.5420383708892267
10,0.6782343628697122,
11.47,,0.6569968501508844
11.9,0.7862824045179851,
14.37,,0.7709420912354897
15.09,0.8924352670756397,
16.1,0.91418035407121,
17.5,0.9359140243252706,
19.29,,0.8854380052424062
19.51,0.9570349961183079,
21.02,,0.9083680257274389
23.19,,0.9312760192955792
23.2,0.9786278598937482,
26.36,,0.9542060397806119
31.71,,0.9771140333487521
49.96,,1.0
50,1.0,
