value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,upenn_probability
4.4995,,,,,,,0.0003127736769673464
6.4495000000000005,,0.00018285258341610184,,,,,
6.849499999999999,,,,0.0004144333314914074,,,
7.1499999999999995,,,,,,1.8971612144361322e-05,
7.359999999999999,,,,,,,0.0
7.749499999999999,,,0.00023394710043211404,,,,
8.0495,0.0003264435173094685,,,,,,
8.149999999999999,0.00020701296219624829,,,,,,
8.3,0.0002786712952641804,,,,,,
8.36,,,,,,,0.000437883147754285
8.5,0.00033440555431701646,,,,,,
8.649999999999999,0.00012739259212076818,,,,,,
8.7,,0.0001911640644804701,,,,,
8.85,,,,0.00035917555395921974,,,
9.05,,,0.00025321333223240583,,,,
9.05,,,,0.0003039177764270321,,,
9.05,0.001512787031434122,,,,,,
9.1,,0.00018700832394828596,,,,,
9.1995,,,,,0.001078661815371736,,
9.2,,,,0.0006354644416201581,,,
9.23,,,,,,,0.0003753284123608157
9.3,,0.0003075247993816258,,,,,
9.3,,,0.0003385352159194121,,,,
9.45,,,0.0003247736217763466,,,,
9.5,,,,0.0020169088799248495,,,
9.55,,0.0008810169928230361,,,,,
9.55,0.0010191407369661454,,,,,,
9.55,,,,,0.000692275493447532,,
9.6,,,0.0008614757933559024,,,,
9.63,,,,,,,0.0010008757662955086
9.649999999999999,,,,,0.001384550986895064,,
9.75,,,,0.0012709288832403161,,,
9.75,,,,,0.0018353350291399684,,
9.8,,0.0011636073490115572,0.0015000137615941431,,,,
9.8,0.001449090735373738,,,,,,
9.850000000000001,,,,,,,0.0003127736769673464
9.850000000000001,,,,,0.0018031361689796182,,
9.9,,,,0.0031220644305686024,,,
9.95,,0.0008186808848402741,0.0011009275314452427,,,,0.0003753284123608157
9.95,0.0009156342558680212,,,,,,
9.95,,,,,0.0028174002640306535,,
10.499500000000001,,,,,0.10015455452876969,,
10.5495,,,,0.05348952865115765,,,
10.6995,0.052095608140386634,0.05177221554994992,0.06008587234745273,,,,
10.749500000000001,,,,,,,0.031027148755160765
11.25,,,,,0.09794893260778569,,
11.399999999999999,,,,0.053821075316350775,,,
11.499500000000001,,,,,,0.00493894302824873,
11.65,0.04416541928086882,,0.05214818484573253,,,,
11.7,,,,,0.08247738030073735,,
11.7,,0.05605262829809958,,,,,
11.75,,,,,,,0.029901163518078318
11.95,,,,0.0568602530806211,,,
12.100000000000001,0.04477053409344247,,0.053001403682602595,,,,
12.15,,,,,0.0883536722800013,,
12.2,,0.05057536227668089,,,,,0.03234079819842362
12.399999999999999,,,,0.05056086644195171,,,
12.5,0.05097296092232237,,0.06068312553326177,,,,
12.55,,0.04153247087864822,,,,,0.029150506693356688
12.6,,,,,,0.004338175310343955,
12.7,,,,,0.08919084264417039,,
12.8,,,,,,0.006836104242684863,
12.8,,,,0.051859424213958116,,,
12.85,0.03919710818815886,0.043610341144740286,0.04783530124129579,,,,0.02902539722256975
12.95,,,,,,0.004363470793203103,
13.4495,,,0.15455095918311176,,0.11106996812312844,,
13.499500000000001,,0.15482211352651987,,,,,
13.599499999999999,0.1614621484760661,,,0.15201414599104823,,,
13.6495,,,,,,,0.16914800450394094
13.749500000000001,,,,,,0.1959957250633968,
14.45,,,0.13499022926815843,,,,
14.600000000000001,,,,,0.10190939240750878,,
14.7,,0.1486259043930333,,,,,
15.0,0.14478964298226057,,,0.14168094159252914,,,
15.05,,,,,,,0.16952333291630176
15.05,,,,,,0.19510405929261182,
16.0,,,0.14665730878264938,,,,
16.35,,,,,,0.19571747475194617,
16.55,,,,,0.10830086614933832,,
16.65,,0.14771995295701718,,,,,
17.05,,,,,,,0.1710872013011385
17.25,,,,0.14336630380726087,,,
17.35,0.15403356794802384,,,,,,
18.8,,,,,,0.19590719087338979,
19.25,,,0.14083615446013267,,,,
20.25,,,,,0.10471069324145925,,
20.75,,0.15061234836741733,,,,,
21.1,,,,,,,0.16533216564493933
21.1495,,,,,,0.040074368719605895,
21.549999999999997,,,,0.14220589047908494,,,
22.299999999999997,0.14997292907417434,,,,,,
22.3495,,,0.029692015523078194,,,,
22.8,,,,,,0.03988465259816228,
23.499499999999998,,,,,0.021798628328557168,,
24.4,,,0.029136047119698347,,,,
24.5995,,0.031089094921269496,,,,,
24.899499999999996,,,,,,,0.03427999499562117
25.3,,,,,,0.038974015215232936,
25.399499999999996,,,,0.03052992208653368,,,
25.4,,,,,0.021154651125350164,,
26.7995,0.031091754514474983,,,,,,
26.9,,0.03017898774472117,,,,,
27.35,,,0.028101175240139817,,,,
27.5,,,,,,,0.03446765920180157
27.7,,,,0.028043322097585234,,,
28.15,,,,,0.02123514827575104,,
29.4,0.03047071562788624,,,,,,
29.700000000000003,,,,,,0.03881591844736326,
30.049999999999997,,0.029750946469906205,,,,,
31.0,,,,0.02917610653699508,,,
31.6,,,,,,,0.033967221318653824
32.55,,,0.02889384306278039,,,,
33.05,0.02997706933341826,,,,,,
33.15,,,,,0.02086486138390701,,
35.45,,0.0299088646101292,,,,,
36.75,,,,0.029341879869591646,,,
39.45,,,,,,,0.03390466658326035
39.5,0.030518487849931525,,,,,,
75.95,,,,,,0.039030930051666024,
84.65,0.03031147488773528,,,,,,
94.5,,0.030016913863965988,,,,,
95.25,,,,0.028927446538100237,,,
102.4,,,,,,,0.03402977605404729
112.25,,,,,0.021219048845670864,,
114.7,,,0.02877549335315003,,,,
