value,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability
15.139500000000002,,0.00019764798893171263,,,,
16.3295,,,,,0.005923111309789897,
16.4995,0.009338867477023421,,,,,
16.6495,,,,0.014822258510237407,,
21.0995,,,0.024263282426328244,,,
21.990000000000002,,0.00014823599169878446,,,,
27.28,,,,,0.006034868126955744,
29.47,,0.00014823599169878446,,,,
29.5495,,,,,,0.023880597014925373
31.049999999999997,,,,,0.006034868126955744,
31.6,,,,0.014822258510237407,,
33.59,,,,,0.005587840858292356,
34.75,,,0.02400516240051624,,,
35.0,0.008745923510228284,,,,,
35.2,,,,0.01457103378972491,,
36.19,,,,,0.005923111309789897,
36.769999999999996,,0.00014823599169878446,,,,
37.8,,,,0.014822258510237407,,
38.0,,,0.02482254248225425,,,
38.5,0.010376519418914912,,,,,
39.9,,,,,,0.023880597014925373
40.15,,0.00019764798893171263,,,,
40.25,,,0.023531942353194234,,,
40.25,,,,0.01457103378972491,,
41.0,0.007263563593240439,,,,,
41.91,,,,,0.029615556548949484,
42.0,,,0.023661002366100237,,,
42.370000000000005,,,,,,0.020895522388059702
43.0,0.008597687518529499,,,,,
43.72,,,,,,0.026865671641791045
44.7,,,,,,0.020895522388059702
45.2,,,,0.07499057907298078,,
45.599999999999994,,,0.1202409120240912,,,
46.42,,0.0008400039529597787,,,,
47.0,0.044915505484731694,,,,,
48.3,,,,,,0.11343283582089553
49.1,,,,,0.029615556548949484,
50.5,,,0.11933749193374919,,,
51.2,,,,0.07071975882426831,,
52.0,0.04269196560924993,,,,,
52.480000000000004,,0.0007905919557268505,,,,
52.6,,,,,,0.11641791044776119
54.14,,,,,0.028945015645954402,
54.45,,,0.11826199182619919,,,
55.2,,,,0.07473935435246828,,
55.34,,,,,,0.11343283582089553
56.0,0.05336495701156241,,,,,
56.2,,0.0008400039529597787,,,,
58.14,,,,,0.029503799731783638,
58.15,,,0.11830501183050118,,,
58.33,,,,,,0.11641791044776119
58.5,,,,0.07046853410375581,,
59.0,0.03187073821523866,,,,,
59.019999999999996,,0.0008400039529597787,,,,
60.8995,,,,,,0.08358208955223881
60.9995,,,0.06599268659926866,,,
61.4995,,,,0.07850772516015576,,
61.9995,0.08523569522680106,,,,,
62.039500000000004,,,,,0.04481448368350469,
62.4995,,0.0020753038837829827,,,,
62.55,,,,,,0.07761194029850746
63.15,,,0.06612174661217467,,,
64.25,,,,0.06883557342042457,,
64.46000000000001,,,,,,0.07761194029850746
65.5,0.06537207233916395,,,,,
65.55,,,0.06435792643579265,,,
65.78999999999999,,,,,0.04582029503799732,
66.56,,0.0016800079059195573,,,,
67.05,,,,0.0732320060293933,,
67.28999999999999,,,,,,0.07761194029850746
68.4,,,0.06358356635835663,,,
68.5,0.07085680403201898,,,,,
68.9,,,,,0.04570853822083147,
69.56,,0.0019270678920841982,,,,
70.25,,,,0.07398568019093078,,
71.46000000000001,,,,,0.042914617791685296,
71.5,0.08227097539282538,,,,,
71.83,,,,,,0.08059701492537313
72.05,,0.001976479889317126,,,,
72.5,,,0.06306732630673263,,,
73.45,,,,0.0717246577063183,,
73.81,,,,,0.04481448368350469,
74.0,0.05514378891194782,,,,,
74.05,,0.0017294199031524854,,,,
75.9995,0.08286391935962052,,0.016820821682082168,,,
76.5995,,,,0.054138927270443414,,
78.0995,,,,,0.12606168976307555,
78.4,,,0.015659281565928156,,,
78.5,0.10050400237177587,,,,,
79.0,,,,,,0.026865671641791045
80.6,,,,0.05514382615249341,,
81.5,0.07396975985769345,,,,,
82.47,,,0.01578834157883416,,,
83.5995,,0.19522680106729914,,,,
84.2,,,,,0.12561466249441217,
85.5,0.08419804328490958,,,,,
86.35,,,,0.05212912950634342,,
88.4995,0.023124814705010377,,,,,
89.33,,,0.016089481608948162,,,
90.0,0.013637711236288172,,,,,
90.15,,,,,0.12326776933392937,
92.30000000000001,,,,0.053887702549930916,,
92.5,0.016009487103468723,,,,,
93.6,,0.23292815495602331,,,,
93.9495,,,0.003269520326952033,,,
94.75,,,0.0034416003441600346,,,
95.0,0.017047139045360215,,,,,
95.1995,,,,0.011933174224343675,,
95.55,,0.15717956319794446,,,,
95.55,,,,,0.12840858292355833,
95.55000000000001,,,0.0031404603140460312,,,
95.75,,,,0.010802662982037433,,
96.3,,,,0.010928275342293682,,
96.30000000000001,,,0.0030544203054420306,,,
96.69999999999999,,0.20431860855815792,,,,
96.9,,,,0.010928275342293682,,
97.4495,,0.04753434133807689,,,,
97.5,0.01260005929439668,,,,,
97.75,,0.03710840992192904,,,,
97.85,,,0.0031834803183480318,,,
97.95,,0.04822610929933788,,,,
98.15,,0.02683071449747999,,,,
98.2495,,,,,0.026709879302637463,
98.6,,,,0.009295314658962443,,
98.75,,,,,0.029950827000447027,
99.15,,,,,0.021457308895842648,
99.15,,0.03710840992192904,,,,
99.55,,,,,0.027045149754135002,
99.9,,,,,0.020227983907018326,
