value,emory_probability,mimic_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
16.6495,,,,,,,0.012766578542825598
19.0995,,,,,0.0077524472767886475,,
19.499499999999998,0.01754826629522646,,,,,,
20.4995,,0.01423114340030167,,,,,
20.8795,,,0.017241379310344827,,,,
20.949499999999997,,,,,,0.01603606266627254,
25.799500000000002,,,,0.011041984261052285,,,
32.05,,,0.017241379310344827,,,,
32.849999999999994,,,,,,,0.012627683441585193
35.56,,,0.017241379310344827,,,,
36.849999999999994,,,,,0.007719597923920899,,
37.05,,,,,,0.015912897822445562,
37.55,0.017822279562035463,,,,,,
37.599999999999994,,,,,,,0.012472309260536605
38.26,,,0.017241379310344827,,,,
39.97,,,0.017241379310344827,,,,
40.05,,,,0.011124387128672078,,,
40.599999999999994,,,,,,0.01598679672874175,
40.7,,,,,,,0.012735974537467542
40.9,,,,,0.008015242099730636,,
40.95,0.017240001370066333,,,,,,
42.5,,0.010812812937889917,,,,,
42.849999999999994,,,,,,0.016109961572568728,
43.0,,,,,,,0.01241580955833712
43.150000000000006,0.017742359025882837,,,,,,
43.5,,,,0.011041984261052285,,,
43.5,,,,,0.007850995335391893,,
43.7,,,0.08275862068965517,,,,
44.55,,,,,,0.015444871415903045,
44.85,0.017137246395012958,,,,,,
45.0,,0.010928839820426086,,,,,
45.3,,,,,0.00725970698377242,,
45.8,,,,0.010959581393432491,,,
47.0,,0.014610462054746838,,,,,
47.2,,,,,,,0.06394353796426865
47.400000000000006,,,,0.01062996992295332,,,
48.0,,,,,,0.08040201005025126,
48.25,0.08895155673787206,,,,,,
48.5,,0.009108110279089279,,,,,
48.75,,,,,0.038105249326588264,,
49.65,,,0.08275862068965517,,,,
50.400000000000006,,,,0.05525112273907132,,,
51.5,,0.07347625465223173,,,,,
52.349999999999994,,,,,,,0.06224854689828406
52.5,,,,,,0.07973691989358557,
52.65,0.08596024524187379,,,,,,
53.25,,,,,0.03892648314828198,,
54.15,,,0.08275862068965517,,,,
54.150000000000006,,,,0.0542622883276338,,,
55.5,,0.06925019858447204,,,,,
55.849999999999994,,,,,,0.08008178145630111,0.06376697639489526
55.9,0.08989918595225319,,,,,,
56.5,,,,,0.03849944156100125,,
56.85,,,,0.05739359729718594,,,
57.95,,,0.08275862068965517,,,,
58.0,,0.05824995760556215,,,,,
58.7,0.08496694714969116,,,,,0.0773721548921076,0.06109736546596952
58.95,,,,,0.036791275211878326,,
59.05,,,,0.05211981376951918,,,
59.5,,0.03585230670367627,,,,,
60.9995,,0.10919468418375088,,,,,
61.1995,0.08898580839622318,,,,,,
61.349500000000006,,,,,,0.0879643314612277,
61.3995,,,,0.08977792427176466,,,
61.4495,,,,,,,0.07744461263568757
61.5895,,,0.07586206896551724,,,,
