value,emory_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
0.02,,,0.14519964951808736,,,,
0.039,,,,,,0.18755205402363534,
0.154,,,,,,0.37316826111423745,
0.16,,,0.28046897817832855,,,,
0.606,,,,,,0.5594372537985368,
1.91,,,0.4179079567738974,,,,
3.133,,,,,,0.7459313449634215,
9,,0.0770142828478138,,,,,
9.2,,,,0.0636264137176213,,,
10,0.05258681261787656,,,0.12849325063845313,,,0.05480583861195263
13,,,0.5620645053615387,,,,
14,,0.149906057897521,,,,,
15,0.09245220221145668,,,,,,
16,,,,,,,0.09859542825667861
20,,0.21635869466080518,,0.20809923385625684,,,
22,0.14152583114529788,,,,,,
23,,,,,,,0.14761773616083723
30,,0.2915306178289342,,0.26902590295512585,,,
31,0.18882437779667913,,,,,,0.1938859818231892
40,0.23083465848156504,0.35453567063716457,0.6964576292402053,0.316089018606348,,0.9324029262802476,0.2398788212613605
55.55,,,,,,0.9459313449634215,
70,,0.4853249667098375,,,,,
73,,,0.7577919639504318,,,,
77.114,,,,,,0.9594372537985368,
80,,,,0.45581904414447283,,,
86,,,,,,,0.39217846323326905
97.6,0.3846751229614289,,,,,,
119.623,,,,,,0.9729656724817107,
148,,0.6133963262253516,,,,,
151,,,0.8178745775441232,,,,
170,,,,0.5913170375775264,,,
190.363,,,,,,0.9864715813168261,
191,,,,,,,0.5444781052051776
200,,,,,,0.9991221159257175,
244,0.5389223771310233,,,,,,
363,,0.7419966801043396,,,,,
390,,,,0.7264502006566946,,,
392.2,,,0.8785413276588643,,,,
440,,,,,,1.0,
508,,,,,,,0.6959515285045442
665.8,0.6923190710402721,,,,,,
1176,,,,,1.0,,
1222.4,,,,0.8631156512221817,,,
1235,,0.8708888929424855,,,,,
1255,,,0.9392498018108232,,,,
1598,,,,,,,0.8477003580280914
1599,,,,0.890550893834367,,,
1682,,,0.9514332206784328,,,,
1701,,0.8967913755677569,,,,,
1940.4,0.8461595355201361,,,,,,
2067.4,,,,,,,0.8782704489121455
2150,,,,0.9179861364465524,,,
2291,,,0.9635749155088247,,,,
2367.8,,0.9225296875285018,,,,,
2543,0.8769646092969935,,,,,,
3037.6,,,,,,,0.9085651335720187
3148.4,,,,0.9452754469171835,,,
3330.8,0.9076957213120816,,,,,,
3450,,0.9483774465989311,,,,,
3542,,,0.9757166103392164,,,,
4175.4,,,,,,,0.9391352244560727
4466.4,0.9384638142080545,,,,,,
5288.5,,,,0.9726377234585918,,,
5448.6,,0.9741704821145182,,,,,
5870.2,,,,,,,0.9694299091159461
6073,,,0.9878583051696083,,,,
6386.4,0.9692319071040272,,,,,,
9973,,,1.0,,,,
9988.2,,,,1.0,,,
9993,,,,,,,1.0
9998,1.0,,,,,,
10000,,1.0,,,,,
