value,mimic_probability,nu_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
6,,,0.0172204109092791,,,
7,,,,,,0.014799829642248722
8,,,,0.009932967702620353,,
9,,,0.0399782642446825,,0.01784437255235825,0.025234241908006813
10,,,,0.020749542961608775,,
11,,,0.057056357708430365,0.026264472882388788,0.02564277200749191,0.036201022146507666
13,,,0.07390156807949076,0.0372333942717855,0.03422441682274817,0.04966993185689949
14,,0.29182582123758594,0.08215597992030223,0.04247410115783059,0.038004427038992,0.056590715502555365
41,,,,,,0.24696550255536626
42,,,0.26725922475806035,,,
43,,,,0.2364411943936624,,
46.2,,0.43391902215431627,,,,
50,0.20206933144676337,,,,,
56,,,,,0.2331006300017027,
86,,,,,,0.435956132879046
88,,,,0.4260511882998172,,
102,,,0.4500465766185375,,,
102.4,,0.5752482811306341,,,,
130,0.41050583657587547,,,,,
153,,,,,0.4240422271411544,
180,,,,,,0.6239352640545145
182,,,,0.6173065204143815,,
250.2,,0.7165775401069518,,,,
260,,,0.6332996946643896,,,
300,0.5997523876901308,,,,,
510,,,,0.8085009140767825,,
536,,,,,0.6152562574493444,0.8111690800681431
673,,,,0.846892138939671,,
725,,,,,,0.8491269165247018
734,,,0.8164493091134917,,,
734.8,,0.8579067990832697,,,,
947,,,0.8532577757077059,,,
955,,,,0.8851310176721511,,
980,0.7986823487796251,,,,,
1020,,0.8877005347593583,,,,
1087.2,,,,,,0.8867120954003407
1264,,,0.8900015525539513,,,
1290,0.8390962150689777,,,,,
1541,,,,0.9234308348567947,,
1590,,0.9152024446142093,,,,
1780,0.8798195967456668,,,,,
1800.6,,,,,,0.9244569846678024
1820.6,,,0.926577136055478,,,
2360,,0.9434682964094728,,,,
2620,0.9198797311637779,,,,,
2711,,,,,0.8075600204324876,
2891.2,,,,0.9617001828153565,,
3114.8,,,0.963282099052942,,,
3739,,,,,,0.9622551107325383
3939,,,,,0.8460752596628639,
3970,,0.9717341482047365,,,,
4296,0.9597187831623629,,,,,
5819,,,,,0.884556444747148,
8635,,,,,0.923037629831432,
9510,,1.0,,,,
10000,1.0,,1.0,1.0,1.0,1.0
