value,emory_probability,mimic_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
-1.0004999999999988,,,,,,0.15493788303052666,,
0.9995,,,,,,,,0.3135821033992682
1.2495,0.10268177255126919,,,,,,,
3.0,,,,,,,,0.20465816361087505
3.75,0.1821310770113294,,,,,,,
5.0,,,,,,,,0.16292359942331455
7.0,,,,,,,,0.021433608604064916
14.2995,,0.10175182551379092,,,,,,
14.9995,,,,,,,0.10146256776454789,
15.4995,,,,0.10242010964032625,,,,
16.2,0.015201491467087337,,,,,,,
17.049500000000002,,,,,0.10070393002635994,,,
24.0,,,,,,,,0.20059171159808234
29.9995,,,0.19115489415216935,,,,,
31.7,0.10418758066829198,,,,,,,
32.1,,0.09967710703162634,,,,,,
32.5,,,,,,,0.10766988224118447,
35.5,,,,0.13918973124749298,,,,
36.35,,0.0988567585743107,,,,,,
37.05,,,,,0.10234543493889288,,,
37.5,,,,,,,0.4431596704718542,
38.0,0.1028251828481285,,,,,,,
39.650000000000006,,0.10238616472787801,,,,,,
42.5,,,,0.07133306591790346,,,,
42.5,,,,,,,0.1326956778092602,
42.5,,,,,,0.07579210893804221,,
42.7,,0.0995912566116747,,,,,,
43.4,,,,,0.09743290198897675,,,
45.0,0.16685788039581242,,,,,,,
45.75,,0.09857059050780523,,,,,,
47.5,,,,,,0.1865281787463732,,
47.5,,,,0.18170878459687123,,,,
47.5,,,,,,,0.13703588450136758,
49.15,,0.09966279862830107,,,,,,
49.4,,,,,0.10147525760843518,,,
51.0,,,,0.006952801176627892,,,,
52.0,0.030689803527893304,,,,,,,
52.5,,,,,,0.09907964140745404,,
53.45,,0.10087424344317418,,,,,,
53.5,,,,,0.10795590702132758,,,
56.0,,,,0.2721620537505014,,,,
57.0,0.2304603470529184,,,,,,,
57.5,,,,,,0.2004818858668519,,
57.5,,,,,0.404168164390127,,,
59.7,,0.09887106697763597,,,,,,
62.5,,,0.02452316076294278,,,,,
62.5,,,,0.06197352587244284,,,,
65.0,,,,,,0.1662831839197725,,
67.5,,,,0.09199090787538441,,,,
67.5,,,0.09641584573464683,,,,,
70.0,,,,,,,,0.09681081336439497
72.5,,,,,,0.033735628441395875,,
72.5,,,0.17533011947180885,,,,,
75.0,,,,,,,0.0779763172117857,
77.5,,,0.19178369314609098,,,,,
80.0,0.06496486447726947,,,,,,,
80.0,,,,,0.08591840402588066,,,
81.75,,0.09975818798380288,,,,,,
82.5,,,0.07063508698386083,,,,,
85.0,,,,0.07226901992244952,,,,
87.5,,,0.15154055753510795,,,,,
87.5,,,,,,0.0831614896495836,,
95.0,,,0.09861664221337246,,,,,
