value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
-20.0005,,,,,,0.10613531988740979,,
2.4995,,,,0.21992948529273623,,,0.16378999278325715,
3.4995000000000003,,0.11379626797185684,,,,,,
4.9995,0.1872708047425139,,0.11798508929786623,,,,,0.1515456650891149
6.0,,,,,,,0.0391207601635795,
6.5,,,,0.08456963692649395,,,,
7.9995,,,,,0.16428036958879463,,,
9.0,,,,0.17328081260998354,,,,
11.0,,,,,,,0.1269545345200866,
11.0,,,,0.07859738774112877,,,,
11.0,0.11264595378973655,,,,,,,0.06081965562380425
12.0,,0.11731416335270725,0.1068927971932796,,,,,
12.5,0.005466939638687034,,,,,,,
12.5,,,,,,0.3316331929482974,,
13.0,,,,0.04435245663804747,,,,
13.5,0.10634659947355396,,,,,,,
13.5,,,,,,,,0.2143036954989427
14.5,,0.2866319975527684,0.17361289639632826,,,,,
14.5,,,,0.16009009516771772,,,,
15.0,0.1686652118157889,,,,,,,
15.5,,,0.05506071650006805,,,,,
16.5,,,,0.0787476855186004,,,,
16.5,,,,,,0.11414220510324297,,
16.5,,0.10232486999082288,,,,,,0.19368643641123753
17.0,,,0.11707774434043583,,,,,
17.0,0.09766248959481653,,,,,,,
17.5,,,,,,,0.10533437575174405,
19.0,,,0.1867013474072618,,,,,
19.0,0.11053117055501811,,,,,,,
19.0,,,,,0.17738748812456387,,,
19.0,,0.08825328846742123,,,,,,0.17158392911086498
19.0,,,,,,0.18559042842126797,,
20.0,,,,0.06857127350229308,,,,
21.0,,,0.06773330107217929,,,,,
21.0,0.05120475151296992,,,,,,,
21.0,,,,,,,,0.05339341456046722
21.0,,,,,0.11256652346081737,,,
21.5,,,,,,0.0633143566626456,,
22.5,,,,,0.053588693744062284,,,
22.5,,0.11945549097583359,,,,,,
22.5,,,,,,,0.34574212172239593,
23.5,,,,,,,,0.08543953277615547
23.5,0.06913541362010393,,,,,,,
23.5,,,0.09316164350416622,,,,,
24.0,,,,,0.143984933959964,,,
24.0,,,,,,0.10140878852652148,,
25.5,,,,,0.07455672044592788,,0.021229251864325234,
26.5,,0.08397063322116856,,,,,,
27.0,,,,,0.09697922534323163,,,
28.0,,,,,,,0.12070002405580947,
29.0,,,,,0.11163330334698132,,,
35.5,0.09107066525681118,,,,,,,
36.0,,,,0.09186116660299885,,,,
37.5,,,,,,0.0977757084506148,,
37.5,,,,,,,,0.06922767092941295
37.5,,,0.08177446428841471,,,,,
39.0,,0.08825328846742123,,,,,,
40.0,,,,,0.065022741985657,,,
40.0,,,,,,,0.07712893913880202,
