value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
30,0.0011062204236837081,,,,,,,
35,,,,,0.001094601783189281,,,0.0010593984458493167
36,,0.0010485941121677533,,0.0014688737393313421,,,,
38,,,0.001135543810856372,,,,,
40,,,,,,0.0013767854243608756,0.0014088269666799528,
41,,,,,,,,0.002032560635914083
42,0.0023585652824941873,0.002207654004683011,,0.0029594077992354285,0.0023278758587452204,,,
43,,,0.002622377831128038,,,,,
44,,,,,0.003201738632282,0.003043064892743663,0.003173297205448581,0.0031351212826995173
45,0.0036254056852692423,0.003464933053429252,0.003820489986557358,0.0048459837205590646,,,,
46,,0.004268779305740725,0.004692148222020189,,0.004478205716935752,0.00472743773887782,0.00483442069002019,0.004271383117009612
47,0.005041059212777401,,,0.006924766486544001,0.00528205034940871,0.005781678549190949,0.005850630327406029,0.005002437386234619
48,0.0060225478186368975,0.0061241736298058465,0.00665087174181913,0.008325315214665178,,0.00700647960044032,0.007184656318111343,
49,0.00717856744981181,0.006997561014035246,0.007889581678078225,0.009845869718871839,0.0073057564914546045,0.008406665793359634,0.008836548830463413,0.006907362487181722
50,0.008923994602514066,0.008950005218661935,0.009544777083555726,0.012134415589350722,0.008905943812715112,0.010643972263575642,0.010792260732823807,0.008391096199143638
51,0.010882880330049508,0.010348951245881689,0.011340870669560094,0.014603540132393959,0.010498401858663381,0.012717473353882586,0.013026206178279673,0.010001936569546425
55,0.021911885095225788,0.02080375271025792,0.022878759981382335,0.028826542632830965,0.020824713675816005,0.025514557569871196,0.025846170363110828,0.019627019232212904
57,,,,,,0.0350852306652356,,
58,0.03462529544899538,0.03417774319456944,0.036866605961043804,0.0450995234729474,0.03374806199788127,,0.04123440172639248,0.03191414312497684
59,0.040474831936442184,,0.04282946472303597,,,0.047192595321342005,,
60,0.04997970039347219,0.04880150474701305,0.053355991671245856,0.06677899632914568,0.04914546041474382,0.057508233089989466,0.06026540550180995,0.047109882237120676
70,,,,0.21299687635377004,,,,
71,,,0.19779477630742168,,0.18301810014412825,0.19869809703502614,0.20944674619517134,
72,0.20074282648845565,0.19702245797007836,,,,,,0.19679081249802222
78,,,,0.3568570494843324,,,,
79,,,0.34558741526108794,,0.3206223885279368,0.34184108079706393,0.34980909697261736,
80,0.3533459514705554,0.34870840578739765,,,,,,0.3493599080859609
84,,,,0.4902429755960388,,,,
85,,,0.4817418645032348,,,,0.4793784846606577,
86,0.470829529714287,0.46629489033917365,,,0.46082871471244824,0.48749856157646876,,0.4770649021700362
92,,,0.6248199070501868,0.6436347537943562,,0.6065701155780846,0.6201026995827751,0.6071811031006885
93,0.6122436144498596,0.6027667154726434,,,0.597334991338665,,,
100,0.7319314505725916,0.7249211292790566,0.7579889865384923,0.7696475827842252,0.7158707028639238,0.7430940592685982,0.7475248326948996,0.7471146626932761
102,0.7847364961441269,0.7797357880081056,,,,,,
103,,,0.813429316039634,0.8244708421684641,0.7759235347339992,0.8020405952673031,0.8035259805462277,0.8080622466516166
107,0.8436666104379841,0.835797879253948,0.8593542421457026,0.8656205111835655,,0.8510249174761041,0.8494906535152069,0.8546708714701055
108,,,,,0.8372060033736013,,,
112,0.8928712668275438,0.8888799176042206,0.9045701399501029,0.9079316293881149,,0.8994792243393083,0.8964951654037209,0.902029972079139
113,,,,,0.8844268742355974,,,
119,,,,,,0.9448072367721124,,
120,,,0.9506985325812713,,,0.9548389291325817,,0.9498205184053585
121,0.9463975826108649,0.9427708485544306,0.9591366619215025,0.9534891356392075,,0.9590631297249348,0.9469421777418684,0.9588729453183689
122,0.9553655314434651,0.9518424584427119,0.9627587004029449,0.9610355913267516,0.9415450821349167,0.9630111047502836,0.9556803966508628,0.9626834419249061
123,0.9592638975735511,0.9546598589385833,0.9661280774013409,0.964249982899747,0.9505117234919956,,0.9595826396516913,0.9660830602347171
124,0.9632053996368867,,,0.9675740440958526,0.9546316545650464,0.9699818800852946,0.9632989588316198,
125,,0.9620454348523907,0.9719142164114858,,,0.9728876765521646,,0.972269945983196
126,0.9699196420816396,0.9664276338980647,,0.973323529188232,0.9617112160878045,,0.9699331180944866,0.9749327805280826
127,,,0.9768955641192992,,,0.9781564681533633,,
128,0.9754645383467341,0.972229025902287,,0.9780999718795839,0.9680233060383827,,0.97429510364651,
129,,,0.9810962403828036,,,,,0.9813940356654937
130,0.9800121645669755,,,0.9820491423273064,0.9732096497728957,0.9844037496233562,0.9792328710907272,
131,,0.9783231060688115,,,,,,
132,,,0.9859087490844604,,0.9776187466752749,,,0.9863807242840621
133,0.9846862760982625,,,0.9862329282473381,,,,
134,,0.9839829541762096,,,,0.9899453893610456,0.9857240004525183,
135,,,,,0.9828837471526713,,,
136,,,0.9903749825966865,,,,,0.9908389771069626
137,0.9894857039451143,,,,,,,
138,,0.9891717072704823,,0.9913642201904588,,,0.9903643198842917,
140,,,,,0.9892483507090474,0.9949362666799834,,
143,,,0.9950716682177407,,,,,0.9953940143341405
144,0.9946927605161957,,,,,,,
145,,0.9943330746977607,,0.995549830137486,,,0.9949768962310793,
147,,,,,0.9944976653041925,,,
299,,,,,,1.0,,
300,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
