value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
24.9995,0.0019808159663175155,,,,,
26.9995,,0.00207649114418399,,,,
27.4995,,,,,,0.00187273406510488
28.9995,,,,0.002009826525257986,,
29.9995,,,,,0.0029169321775601993,
30.9995,,,0.0018721591587263836,,,
55.5,0.0018957881876317932,,,,,
58.5,,0.0022894530503416283,,,,
59.0,,,,,,0.0020790846770745645
61.0,,,,0.002035664880507545,,
63.0,,,,,0.0030378344594366785,
63.5,0.0019451484695441538,,,,,
64.5,,,0.0015296667600904295,,,
65.0,,0.0021028299845861505,,,,0.0021492752163211064
66.0,,,,0.002444705919765944,,
67.5,0.0019134562974885666,,,,,
67.5,,,,,0.0029574436611170675,
68.0,,0.0014891575150452183,,,,0.0015886647283402027
69.0,,,,0.0017836415385349255,,
69.0,,,0.002298312979036238,,,
70.0,,,,,0.0029360026028496483,
70.0,0.0018210299978003203,0.0020202115706751005,,,,0.002163896432183994
71.0,,,,0.002375538630328664,,
71.5,,,,,0.0017722325335976642,
71.5,,,,,,0.0012999392305715698
72.0,,,0.0017650681183010077,,,
72.0,0.002359244794312282,0.002541810657955489,,,,
72.5,,,,0.0014644384729134534,,
73.0,,,,,0.004241589204917093,
73.0,,,,,,0.0031141449167014974
73.5,,,0.0011018551837368386,,,
73.5,0.0014428220211787632,0.0015283280982074056,,,,
74.0,,,,0.003497718274474885,,
74.5,,,,,0.0025236178261485243,
74.5,,,,,,0.0018621162773949259
75.0,0.0035131932193327993,0.0036712291391318855,,,,
75.0,,,0.0026923063320976053,,,
75.5,,,,0.0019986961568427917,0.002850659815642722,
75.5,,,,,,0.002082217794759469
76.5,0.002121387865365469,0.0021492043531574755,,0.002362023182967356,0.0031808626491075464,
76.5,,,0.0016302372934104419,,,
77.5,,,0.0019328330299271384,,,
78.5,,,0.0021718814514339367,,,
79.0,,,,,,0.01893621516337577
79.5,0.015864858394516526,,,0.017412268846098807,0.022678001874591198,
80.0,,0.02091146345125705,,,,
81.5,,,0.01864809773599152,,,
84.0,0.020774936549400477,,,0.02209537135679191,0.028619440286178598,0.020646636326193235
84.5,,0.018105814152691885,,,,
85.5,,,0.01816535917605546,,,
87.0,0.013867478575208285,,,0.01440428678189248,0.018428352517549006,0.013115448206627371
87.5,,0.024859362973758636,,,,
88.0,,,0.015542678597794787,,,
89.0,0.01709643607722024,,,0.017697285780159323,0.021930040829675184,0.016315188157859522
89.5,,0.010786092822125707,0.01012004806166322,,,
93.4995,,0.11061660125854633,,,0.11369834970229065,
93.9995,0.10503945288931017,,0.11576983538261451,0.10832790065351162,,0.10313052851126214
100.0,,0.11255441953360443,,,0.10992361715183514,
101.0,0.09388966088713346,,0.1033090357871954,0.09597160166001495,,0.09495613744029942
105.5,,,,,0.09709859810248214,
106.0,,0.12057898624279594,,,,
106.5,0.08456520548453467,,0.09158505349468236,0.08520177767884117,,
107.0,,,,,,0.1048618371253123
111.0,,,,,0.11229978160675393,
111.5,,0.09612956368247605,,,,
112.0,0.10262422227188925,,0.10875984817607048,0.10248087961711533,,
112.5,,,,,,0.08812485299912251
117.0,,0.10258077863465305,,,0.10010276957363165,
117.5,0.08130554964164656,,0.0857610249618274,0.08098257302316707,,0.0840424006556919
121.9995,,0.07470865753181653,,,0.07332647008745845,
122.4995,0.08918320769834882,,0.08988762182296581,0.08919996501884213,,0.09320942433096514
127.0,,0.07381718908743572,,,0.07258488341121652,
128.0,,,0.0775110362345685,,,0.08005838042619538
128.5,0.08949957729047167,,,0.0900542207947083,,
133.5,,,,,0.06550438219408088,
134.0,,0.0739842268616101,,,,
135.0,,,0.08488396149762123,,,
135.5,,,,,,0.09322844061469159
136.0,,,,0.08197238078580402,,
136.5,0.09009344663303248,,,,,
142.5,,,,,0.06685991013088423,
143.5,,0.06605263400785527,,,,
144.5,,,0.07827371453175686,,,
146.0,,,,0.08477087341591007,,0.08248876592368987
147.5,0.0881022506521741,,,,,
148.4995,,,,,0.008851206009480845,
149.4995,,0.009010134600479187,,,,
150.0,,,,,0.007815818886169158,
150.4995,,,0.010526750877726566,,,
151.0,,0.008032445849482758,,,,
152.0,,,0.009305979327119032,,,
152.0,,,,,0.006921879530543024,
152.4995,,,,0.010838991270611057,,0.01026979406931283
153.0,,0.007305538878041939,,,,
154.0,,,,0.009932661271088073,,0.009368326486528356
154.0,,,0.008490363353600691,,,
154.0,,,,,0.006190987043068395,
154.4995,0.010149887409969938,,,,,
155.0,,0.006598667434770286,,,,
156.0,0.00924925551002091,,,,,
156.0,,,,0.00903865417945334,,0.008417773393347042
156.0,,,0.007653417585652939,,,
156.5,,,,,0.0079158595978395,
157.5,,0.00846917533991174,,,,
158.0,,,,0.00819314369305624,,0.007541849422799219
158.0,0.008429896915413041,,,,,
158.0,,,0.006841780226639565,,,
159.5,,,,,0.006460080226434433,
160.0,,,,0.0069533001542351055,,
160.5,0.01080758279938833,,,,,
160.5,,,,,,0.009611360684725463
160.5,,0.006907754852481108,0.00826214560491297,,,
163.0,,,,,0.006743028442538385,
163.0,0.0062405972527855985,,,,,
163.0,,,,0.01103933790208456,,
163.5,,,,,,0.00802565501197656
164.0,,0.007260064982646757,0.008782128417298309,,,
166.0,0.010564977565917509,,,,,
166.5,,,,0.006717972364885277,,
167.5,,,,,0.006184718035859986,
167.5,,,,,,0.010456519180228462
