comorbidity,n_patients__Emory,n_patients__JHU,n_patients__MIMIC,n_patients__NU,n_patients__OHSU,n_patients__RUSH,n_patients__Sunnybrook,n_patients__UCMC,n_patients__UCSF,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__JHU,prevalence_percent__MIMIC,prevalence_percent__NU,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__Sunnybrook,prevalence_percent__UCMC,prevalence_percent__UCSF,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__JHU,per_1000_hospitalizations__MIMIC,per_1000_hospitalizations__NU,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__Sunnybrook,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UCSF,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
congestive_heart_failure,16514,17699,7056,25260,7207,8320,689,9821,11470,26787,33519,164342,49.55,36.0,33.09,44.87,28.64,42.85,21.87,42.3,34.37,38.66,46.5,40.497776,495.5,360.0,330.9,448.7,286.4,428.5,218.7,423.0,343.7,386.6,465.0,404.97776
renal_disease,13199,14733,5145,19376,4887,7440,438,7191,10815,21609,23296,128129,39.6,29.97,24.13,34.42,19.42,38.32,13.9,30.97,32.41,31.19,32.32,31.574032,396.0,299.7,241.3,344.2,194.2,383.2,139.0,309.7,324.1,311.9,323.2,315.740319
chronic_pulmonary_disease,11901,14336,5456,18705,6539,6804,646,7791,9703,25215,24267,131363,35.71,29.16,25.59,33.22,25.99,35.04,20.5,33.56,29.07,36.39,33.66,32.370966,357.1,291.6,255.9,332.2,259.9,350.4,205.0,335.6,290.7,363.9,336.6,323.709664
diabetes_with_complications,8971,10432,3560,12569,3369,5548,0,4306,4497,12941,14299,80492,26.92,21.22,16.7,22.33,13.39,28.57,0.0,18.55,13.47,18.68,19.84,19.835142,269.2,212.2,167.0,223.3,133.9,285.7,0.0,185.5,134.7,186.8,198.4,198.351425
peripheral_vascular_disease,7006,7758,2630,13193,3679,4738,558,2237,7145,11257,15489,75690,21.02,15.78,12.34,23.43,14.62,24.4,17.71,9.64,21.41,16.25,21.49,18.651816,210.2,157.8,123.4,234.3,146.2,244.0,177.1,96.4,214.1,162.5,214.9,186.518155
cerebrovascular_disease,6216,8287,3202,11842,3869,6414,1279,3514,9196,9814,10962,74595,18.65,16.85,15.02,21.03,15.38,33.03,40.59,15.14,27.55,14.16,15.21,18.381981,186.5,168.5,150.2,210.3,153.8,330.3,405.9,151.4,275.5,141.6,152.1,183.819815
myocardial_infarction,5853,10845,4733,11398,3708,5963,833,3296,5795,13964,11318,77706,17.56,22.06,22.2,20.25,14.74,30.71,26.44,14.2,17.36,20.15,15.7,19.148606,175.6,220.6,222.0,202.5,147.4,307.1,264.4,142.0,173.6,201.5,157.0,191.486059
diabetes_uncomplicated,5311,7830,3588,8762,4103,2714,1062,3399,6259,12386,11804,67218,15.94,15.93,16.83,15.56,16.31,13.98,33.7,14.64,18.75,17.88,16.37,16.564113,159.4,159.3,168.3,155.6,163.1,139.8,337.0,146.4,187.5,178.8,163.7,165.641133
cancer,2665,4321,1635,6453,3089,2353,54,1689,4473,6231,6088,39051,8.0,8.79,7.67,11.46,12.28,12.12,1.71,7.28,13.4,8.99,8.45,9.623095,80.0,87.9,76.7,114.6,122.8,121.2,17.1,72.8,134.0,89.9,84.5,96.230948
mild_liver_disease,2537,3847,1260,4207,2016,2118,105,1282,3050,5316,4873,30611,7.61,7.82,5.91,7.47,8.01,10.91,3.33,5.52,9.14,7.67,6.76,7.543278,76.1,78.2,59.1,74.7,80.1,109.1,33.3,55.2,91.4,76.7,67.6,75.432782
