comorbidity,n_patients__Emory,n_patients__MIMIC,n_patients__NU,n_patients__OHSU,n_patients__RUSH,n_patients__UCMC,n_patients__UCSF,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__MIMIC,prevalence_percent__NU,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__UCMC,prevalence_percent__UCSF,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__MIMIC,per_1000_hospitalizations__NU,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UCSF,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
congestive_heart_failure,5847,13,432,1847,2091,3329,1,17579,9728,40867,47.82,19.4,44.95,34.37,53.89,59.97,25,41.4,50.98,45.603874,478.2,194.0,449.5,343.7,538.9,599.7,250,414.0,509.8,456.038744
chronic_pulmonary_disease,5188,17,467,1684,1908,3318,1,18703,9630,40916,42.43,25.37,48.6,31.34,49.18,59.77,25,44.05,50.47,45.658554,424.3,253.7,486.0,313.4,491.8,597.7,250,440.5,504.7,456.58554
renal_disease,4542,10,325,1300,1621,2162,0,14908,6688,31556,37.14,14.93,33.82,24.19,41.78,38.95,0,35.11,35.05,35.213641,371.4,149.3,338.2,241.9,417.8,389.5,0,351.1,350.5,352.136409
diabetes_with_complications,3407,11,218,1162,1462,1602,0,9704,4856,22422,27.86,16.42,22.68,21.62,37.68,28.86,0,22.85,25.45,25.020923,278.6,164.2,226.8,216.2,376.8,288.6,0,228.5,254.5,250.209233
diabetes_uncomplicated,2046,11,175,1025,677,968,2,7758,4002,16664,16.73,16.42,18.21,19.07,17.45,17.44,50,18.27,20.97,18.595516,167.3,164.2,182.1,190.7,174.5,174.4,500,182.7,209.7,185.955163
peripheral_vascular_disease,1447,4,159,349,625,258,0,4478,2678,9998,11.83,5.97,16.55,6.49,16.11,4.65,0,10.55,14.03,11.156863,118.3,59.7,165.5,64.9,161.1,46.5,0,105.5,140.3,111.568634
myocardial_infarction,1316,7,122,525,597,433,0,5772,1943,10715,10.76,10.45,12.7,9.77,15.39,7.8,0,13.59,10.18,11.956971,107.6,104.5,127.0,97.7,153.9,78.0,0,135.9,101.8,119.569705
cerebrovascular_disease,1053,41,172,282,528,158,0,3127,1328,6689,8.61,61.19,17.9,5.25,13.61,2.85,0,7.36,6.96,7.464319,86.1,611.9,179.0,52.5,136.1,28.5,0,73.6,69.6,74.643188
cancer,900,2,122,705,368,370,0,3136,1953,7556,7.36,2.99,12.7,13.12,9.48,6.67,0,7.39,10.24,8.431812,73.6,29.9,127.0,131.2,94.8,66.7,0,73.9,102.4,84.318123
mild_liver_disease,635,2,79,365,296,254,0,2247,1066,4944,5.19,2.99,8.22,6.79,7.63,4.58,0,5.29,5.59,5.517057,51.9,29.9,82.2,67.9,76.3,45.8,0,52.9,55.9,55.170567
dementia,538,1,85,178,86,220,1,2789,917,4815,4.4,1.49,8.84,3.31,2.22,3.96,25,6.57,4.81,5.373104,44.0,14.9,88.4,33.1,22.2,39.6,250,65.7,48.1,53.731043
connective_tissue_disease,491,2,49,173,228,220,0,2095,845,4103,4.02,2.99,5.1,3.22,5.88,3.96,0,4.93,4.43,4.578577,40.2,29.9,51.0,32.2,58.8,39.6,0,49.3,44.3,45.785768
metastatic_solid_tumor,427,1,94,268,121,241,0,1505,974,3631,3.49,1.49,9.78,4.99,3.12,4.34,0,3.54,5.1,4.051867,34.9,14.9,97.8,49.9,31.2,43.4,0,35.4,51.0,40.518675
hemiplegia,250,13,33,106,67,61,0,930,368,1828,2.04,19.4,3.43,1.97,1.73,1.1,0,2.19,1.93,2.039883,20.4,194.0,34.3,19.7,17.3,11.0,0,21.9,19.3,20.398826
moderate_severe_liver_disease,143,0,20,99,69,81,0,648,225,1285,1.17,0.0,2.08,1.84,1.78,1.46,0,1.53,1.18,1.433944,11.7,0.0,20.8,18.4,17.8,14.6,0,15.3,11.8,14.339437
peptic_ulcer_disease,128,0,21,43,17,87,0,336,102,734,1.05,0.0,2.19,0.8,0.44,1.57,0,0.79,0.53,0.819078,10.5,0.0,21.9,8.0,4.4,15.7,0,7.9,5.3,8.190776
aids,104,0,3,21,17,38,0,69,83,335,0.85,0.0,0.31,0.39,0.44,0.68,0,0.16,0.43,0.37383,8.5,0.0,3.1,3.9,4.4,6.8,0,1.6,4.3,3.738297
