comorbidity,n_patients__Emory,n_patients__JHU,n_patients__MIMIC,n_patients__NU,n_patients__RUSH,n_patients__Sunnybrook,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__JHU,prevalence_percent__MIMIC,prevalence_percent__NU,prevalence_percent__RUSH,prevalence_percent__Sunnybrook,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__JHU,per_1000_hospitalizations__MIMIC,per_1000_hospitalizations__NU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__Sunnybrook,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
renal_disease,6494,12419,2860,7675,2854,2059,15562,11441,61364,39.56,36.92,30.9,44.12,36.86,20.65,37.64,36.98,36.810375,395.6,369.2,309.0,441.2,368.6,206.5,376.4,369.8,368.103753
congestive_heart_failure,6385,12600,3350,8407,2611,2745,15550,12512,64160,38.9,37.46,36.2,48.32,33.73,27.53,37.61,40.44,38.48761,389.0,374.6,362.0,483.2,337.3,275.3,376.1,404.4,384.876097
diabetes_with_complications,3929,6916,1555,4114,1766,0,6807,5886,30973,23.94,20.56,16.8,23.65,22.81,0.0,16.46,19.02,18.57975,239.4,205.6,168.0,236.5,228.1,0.0,164.6,190.2,185.797496
chronic_pulmonary_disease,3785,8725,2172,5394,2083,2140,11478,8685,44462,23.06,25.94,23.47,31.01,26.91,21.46,27.76,28.07,26.671386,230.6,259.4,234.7,310.1,269.1,214.6,277.6,280.7,266.713856
metastatic_solid_tumor,3236,7671,2139,3990,2291,5839,7442,7624,40232,19.71,22.8,23.11,22.93,29.59,58.56,18.0,24.64,24.133939,197.1,228.0,231.1,229.3,295.9,585.6,180.0,246.4,241.339388
cerebrovascular_disease,3150,5812,1868,5287,3011,4097,6903,5679,35807,19.19,17.28,20.18,30.39,38.89,41.09,16.7,18.35,21.479517,191.9,172.8,201.8,303.9,388.9,410.9,167.0,183.5,214.795175
peripheral_vascular_disease,2856,4960,1122,4733,1821,1765,5827,6311,29395,17.4,14.74,12.12,27.21,23.52,17.7,14.09,20.4,17.633156,174.0,147.4,121.2,272.1,235.2,177.0,140.9,204.0,176.33156
dementia,2396,1409,1183,2079,857,1767,7751,4535,21977,14.6,4.19,12.78,11.95,11.07,17.72,18.75,14.66,13.183326,146.0,41.9,127.8,119.5,110.7,177.2,187.5,146.6,131.83326
myocardial_infarction,2345,6441,1824,3929,2161,1840,7315,4814,30669,14.29,19.15,19.71,22.58,27.91,18.45,17.69,15.56,18.397389,142.9,191.5,197.1,225.8,279.1,184.5,176.9,155.6,183.973894
cancer,1990,4477,1342,2749,1452,508,5575,4807,22900,12.12,13.31,14.5,15.8,18.75,5.09,13.48,15.54,13.737005,121.2,133.1,145.0,158.0,187.5,50.9,134.8,155.4,137.370053
diabetes_uncomplicated,1939,4429,1384,2218,1058,2930,5332,4503,23793,11.81,13.17,14.95,12.75,13.67,29.39,12.9,14.55,14.272689,118.1,131.7,149.5,127.5,136.7,293.9,129.0,145.5,142.726886
mild_liver_disease,1219,2173,601,1494,1031,497,2631,2353,11999,7.43,6.46,6.49,8.59,13.32,4.98,6.36,7.6,7.197831,74.3,64.6,64.9,85.9,133.2,49.8,63.6,76.0,71.978309
moderate_severe_liver_disease,1096,2223,1117,1569,969,148,2839,2512,12473,6.68,6.61,12.07,9.02,12.52,1.48,6.87,8.12,7.482169,66.8,66.1,120.7,90.2,125.2,14.8,68.7,81.2,74.821689
hemiplegia,889,2015,745,1658,733,0,1982,1762,9784,5.42,5.99,8.05,9.53,9.47,0.0,4.79,5.69,5.869121,54.2,59.9,80.5,95.3,94.7,0.0,47.9,56.9,58.691205
connective_tissue_disease,566,1182,315,891,322,92,1860,1227,6455,3.45,3.51,3.4,5.12,4.16,0.92,4.5,3.97,3.872156,34.5,35.1,34.0,51.2,41.6,9.2,45.0,39.7,38.721559
peptic_ulcer_disease,370,753,298,910,287,261,870,704,4453,2.25,2.24,3.22,5.23,3.71,2.62,2.1,2.28,2.671218,22.5,22.4,32.2,52.3,37.1,26.2,21.0,22.8,26.712177
aids,191,0,44,59,71,1165,63,165,1758,1.16,0.0,0.48,0.34,0.92,11.68,0.15,0.53,1.05457,11.6,0.0,4.8,3.4,9.2,116.8,1.5,5.3,10.545701
