sofa_score,total_encounters__Emory,total_encounters__JHU,total_encounters__MIMIC,total_encounters__Michigan,total_encounters__NU,total_encounters__RUSH,total_encounters__Sunnybrook,total_encounters__UMN,total_encounters__UPenn,total_encounters__ALL,n_encounters__Emory,n_encounters__JHU,n_encounters__MIMIC,n_encounters__Michigan,n_encounters__NU,n_encounters__RUSH,n_encounters__Sunnybrook,n_encounters__UMN,n_encounters__UPenn,n_encounters__ALL,n_deaths__Emory,n_deaths__JHU,n_deaths__MIMIC,n_deaths__Michigan,n_deaths__NU,n_deaths__RUSH,n_deaths__Sunnybrook,n_deaths__UMN,n_deaths__UPenn,n_deaths__ALL,mortality_rate_percent__Emory,mortality_rate_percent__JHU,mortality_rate_percent__MIMIC,mortality_rate_percent__Michigan,mortality_rate_percent__NU,mortality_rate_percent__RUSH,mortality_rate_percent__Sunnybrook,mortality_rate_percent__UMN,mortality_rate_percent__UPenn,mortality_rate_percent__ALL,ci_lower_95__Emory,ci_lower_95__JHU,ci_lower_95__MIMIC,ci_lower_95__Michigan,ci_lower_95__NU,ci_lower_95__RUSH,ci_lower_95__Sunnybrook,ci_lower_95__UMN,ci_lower_95__UPenn,ci_lower_95__ALL,ci_upper_95__Emory,ci_upper_95__JHU,ci_upper_95__MIMIC,ci_upper_95__Michigan,ci_upper_95__NU,ci_upper_95__RUSH,ci_upper_95__Sunnybrook,ci_upper_95__UMN,ci_upper_95__UPenn,ci_upper_95__ALL,ci_margin_95__Emory,ci_margin_95__JHU,ci_margin_95__MIMIC,ci_margin_95__Michigan,ci_margin_95__NU,ci_margin_95__RUSH,ci_margin_95__Sunnybrook,ci_margin_95__UMN,ci_margin_95__UPenn,ci_margin_95__ALL
0.0,10514.0,17882.0,11774.0,1694.0,16916.0,6502.0,5621.0,18691.0,20288.0,109882,374.0,420.0,386.0,48.0,435.0,371.0,190.0,936.0,1255.0,4415,374.0,420.0,386.0,48.0,435.0,371.0,190.0,936.0,1255.0,4415,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,99.49,99.55,99.51,96.29,99.56,99.49,99.01,99.8,99.85,100.00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,0.51,0.45,0.49,3.71,0.44,0.51,0.99,0.2,0.15,0.00
1.0,10514.0,17882.0,11774.0,1694.0,16916.0,6502.0,5621.0,18691.0,20288.0,109882,630.0,881.0,878.0,80.0,989.0,549.0,313.0,1434.0,1644.0,7398,630.0,881.0,878.0,80.0,989.0,549.0,313.0,1434.0,1644.0,7398,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,99.7,99.78,99.78,97.71,99.81,99.65,99.39,99.87,99.88,100.00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,0.3,0.22,0.22,2.29,0.19,0.35,0.61,0.13,0.12,0.00
2.0,10514.0,17882.0,11774.0,1694.0,16916.0,6502.0,5621.0,18691.0,20288.0,109882,609.0,938.0,913.0,77.0,1082.0,450.0,453.0,1333.0,1543.0,7398,609.0,938.0,913.0,77.0,1082.0,450.0,453.0,1333.0,1543.0,7398,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,99.69,99.8,99.79,97.62,99.82,99.58,99.58,99.86,99.88,100.00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,0.31,0.2,0.21,2.38,0.18,0.42,0.42,0.14,0.12,0.00
3.0,10514.0,17882.0,11774.0,1694.0,16916.0,6502.0,5621.0,18691.0,20288.0,109882,747.0,1216.0,1030.0,107.0,1216.0,576.0,446.0,1448.0,1738.0,8524,747.0,1216.0,1030.0,107.0,1216.0,576.0,446.0,1448.0,1738.0,8524,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,99.74,99.84,99.81,98.27,99.84,99.67,99.57,99.87,99.89,100.00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,0.26,0.16,0.19,1.73,0.16,0.33,0.43,0.13,0.11,0.00
4.0,10514.0,17882.0,11774.0,1694.0,16916.0,6502.0,5621.0,18691.0,20288.0,109882,820.0,1414.0,1230.0,125.0,1462.0,676.0,518.0,1687.0,1902.0,9834,820.0,1414.0,1230.0,125.0,1462.0,676.0,518.0,1687.0,1902.0,9834,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,99.77,99.86,99.84,98.51,99.87,99.72,99.63,99.89,99.9,100.00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,0.23,0.14,0.16,1.49,0.13,0.28,0.37,0.11,0.1,0.00
5.0,10514.0,17882.0,11774.0,1694.0,16916.0,6502.0,5621.0,18691.0,20288.0,109882,866.0,1412.0,1079.0,102.0,1339.0,610.0,627.0,1508.0,1693.0,9236,866.0,1412.0,1079.0,102.0,1339.0,610.0,627.0,1508.0,1693.0,9236,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,99.78,99.86,99.82,98.19,99.86,99.69,99.7,99.87,99.89,100.00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,0.22,0.14,0.18,1.81,0.14,0.31,0.3,0.13,0.11,0.00
6.0,10514.0,17882.0,11774.0,1694.0,16916.0,6502.0,5621.0,18691.0,20288.0,109882,761.0,1310.0,1003.0,107.0,1255.0,501.0,583.0,1310.0,1547.0,8377,761.0,1310.0,1003.0,107.0,1255.0,501.0,583.0,1310.0,1547.0,8377,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,99.75,99.85,99.81,98.27,99.85,99.62,99.67,99.85,99.88,100.00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,0.25,0.15,0.19,1.73,0.15,0.38,0.33,0.15,0.12,0.00
7.0,10514.0,17882.0,11774.0,1694.0,16916.0,6502.0,5621.0,18691.0,20288.0,109882,742.0,1220.0,944.0,105.0,1226.0,466.0,523.0,1289.0,1406.0,7921,742.0,1220.0,944.0,105.0,1226.0,466.0,523.0,1289.0,1406.0,7921,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,99.74,99.84,99.8,98.24,99.84,99.59,99.64,99.85,99.86,100.00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,0.26,0.16,0.2,1.76,0.16,0.41,0.36,0.15,0.14,0.00
8.0,10514.0,17882.0,11774.0,1694.0,16916.0,6502.0,5621.0,18691.0,20288.0,109882,798.0,1308.0,883.0,102.0,1220.0,409.0,434.0,1185.0,1460.0,7799,798.0,1308.0,883.0,102.0,1220.0,409.0,434.0,1185.0,1460.0,7799,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,99.76,99.85,99.78,98.19,99.84,99.53,99.56,99.84,99.87,100.00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,0.24,0.15,0.22,1.81,0.16,0.47,0.44,0.16,0.13,0.00
9.0,10514.0,17882.0,11774.0,1694.0,16916.0,6502.0,5621.0,18691.0,20288.0,109882,658.0,1140.0,735.0,112.0,1020.0,341.0,371.0,1067.0,1383.0,6827,658.0,1140.0,735.0,112.0,1020.0,341.0,371.0,1067.0,1383.0,6827,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,99.71,99.83,99.74,98.34,99.81,99.44,99.49,99.82,99.86,100.00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00,0.29,0.17,0.26,1.66,0.19,0.56,0.51,0.18,0.14,0.00
