comorbidity,n_patients__Emory,n_patients__MIMIC,n_patients__NU,n_patients__OHSU,n_patients__RUSH,n_patients__UCMC,n_patients__UCSF,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__MIMIC,prevalence_percent__NU,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__UCMC,prevalence_percent__UCSF,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__MIMIC,per_1000_hospitalizations__NU,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UCSF,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
congestive_heart_failure,30706,12527,44168,14550,18110,13209,17988,46058,55412,252728,39.33,31.35,35.32,26.07,33.14,37.12,23.28,29.35,33.0,31.940993,393.3,313.5,353.2,260.7,331.4,371.2,232.8,293.5,330.0,319.409934
renal_disease,27935,9780,37179,10614,18816,10380,18843,42348,45494,221389,35.78,24.48,29.73,19.02,34.43,29.17,24.39,26.98,27.09,27.980218,357.8,244.8,297.3,190.2,344.3,291.7,243.9,269.8,270.9,279.802182
chronic_pulmonary_disease,20438,9585,32415,12614,14952,10539,17271,43802,44039,205655,26.18,23.99,25.92,22.6,27.36,29.61,22.35,27.91,26.23,25.991679,261.8,239.9,259.2,226.0,273.6,296.1,223.5,279.1,262.3,259.916788
diabetes_with_complications,18943,6571,24515,7135,13965,6314,8238,24826,29102,139609,24.26,16.45,19.61,12.78,25.56,17.74,10.66,15.82,17.33,17.644464,242.6,164.5,196.1,127.8,255.6,177.4,106.6,158.2,173.3,176.444642
peripheral_vascular_disease,14164,4821,25321,7096,12079,3329,12413,20774,30293,130290,18.14,12.07,20.25,12.71,22.11,9.35,16.07,13.24,18.04,16.466684,181.4,120.7,202.5,127.1,221.1,93.5,160.7,132.4,180.4,164.666837
cerebrovascular_disease,14007,6007,28717,9598,16349,5484,18319,26491,24759,149731,17.94,15.03,22.97,17.2,29.92,15.41,23.71,16.88,14.75,18.923732,179.4,150.3,229.7,172.0,299.2,154.1,237.1,168.8,147.5,189.237318
diabetes_uncomplicated,12694,6485,19065,8304,7103,5143,12541,27449,26924,125708,16.26,16.23,15.25,14.88,13.0,14.45,16.23,17.49,16.03,15.887588,162.6,162.3,152.5,148.8,130.0,144.5,162.3,174.9,160.3,158.875882
myocardial_infarction,11905,7822,22642,8233,13393,4170,9830,26109,23008,127112,15.25,19.58,18.11,14.75,24.51,11.72,12.72,16.64,13.7,16.065033,152.5,195.8,181.1,147.5,245.1,117.2,127.2,166.4,137.0,160.650326
cancer,6248,3429,14773,5970,6737,2939,14259,14594,15286,84235,8.0,8.58,11.81,10.7,12.33,8.26,18.46,9.3,9.1,10.646029,80.0,85.8,118.1,107.0,123.3,82.6,184.6,93.0,91.0,106.460289
mild_liver_disease,5702,2558,9083,4161,5100,1879,6180,11283,10483,56429,7.3,6.4,7.26,7.45,9.33,5.28,8.0,7.19,6.24,7.131771,73.0,64.0,72.6,74.5,93.3,52.8,80.0,71.9,62.4,71.317714
metastatic_solid_tumor,5144,2476,12644,3583,5703,2641,8739,7612,11371,59913,6.59,6.2,10.11,6.42,10.44,7.42,11.31,4.85,6.77,7.572096,65.9,62.0,101.1,64.2,104.4,74.2,113.1,48.5,67.7,75.720962
dementia,5130,2364,7380,2230,2861,1697,2714,8517,7204,40097,6.57,5.92,5.9,4.0,5.24,4.77,3.51,5.43,4.29,5.067654,65.7,59.2,59.0,40.0,52.4,47.7,35.1,54.3,42.9,50.676538
hemiplegia,4050,2315,8873,3940,4950,2552,6320,7519,7722,48241,5.19,5.79,7.1,7.06,9.06,7.17,8.18,4.79,4.6,6.096932,51.9,57.9,71.0,70.6,90.6,71.7,81.8,47.9,46.0,60.969321
moderate_severe_liver_disease,3045,2407,5289,2630,3032,1677,5867,6915,5311,36173,3.9,6.02,4.23,4.71,5.55,4.71,7.59,4.41,3.16,4.57172,39.0,60.2,42.3,47.1,55.5,47.1,75.9,44.1,31.6,45.717196
connective_tissue_disease,2990,1378,5465,1647,2495,1018,2580,6279,5750,29602,3.83,3.45,4.37,2.95,4.57,2.86,3.34,4.0,3.42,3.741245,38.3,34.5,43.7,29.5,45.7,28.6,33.4,40.0,34.2,37.412447
peptic_ulcer_disease,1968,1221,4909,1221,1487,1009,1852,4515,3436,21618,2.52,3.06,3.93,2.19,2.72,2.84,2.4,2.88,2.05,2.732188,25.2,30.6,39.3,21.9,27.2,28.4,24.0,28.8,20.5,27.321879
aids,948,231,402,263,521,273,1125,295,967,5025,1.21,0.58,0.32,0.47,0.95,0.77,1.46,0.19,0.58,0.635084,12.1,5.8,3.2,4.7,9.5,7.7,14.6,1.9,5.8,6.350839
