comorbidity,n_patients__Emory,n_patients__JHU,n_patients__MIMIC,n_patients__NU,n_patients__OHSU,n_patients__RUSH,n_patients__Sunnybrook,n_patients__UCMC,n_patients__UCSF,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__JHU,prevalence_percent__MIMIC,prevalence_percent__NU,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__Sunnybrook,prevalence_percent__UCMC,prevalence_percent__UCSF,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__JHU,per_1000_hospitalizations__MIMIC,per_1000_hospitalizations__NU,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__Sunnybrook,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UCSF,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
congestive_heart_failure,38720,50102,13279,44712,17383,20473,12163,17000,17989,69344,68069,369234,38.4,30.84,31.04,35.41,25.8,34.07,21.26,39.89,23.28,31.63,34.37,31.990913,384.0,308.4,310.4,354.1,258.0,340.7,212.6,398.9,232.8,316.3,343.7,319.909131
renal_disease,34811,44392,10590,37624,12912,20766,7981,13029,18843,63679,55356,319983,34.52,27.32,24.75,29.79,19.17,34.56,13.95,30.57,24.39,29.05,27.95,27.723742,345.2,273.2,247.5,297.9,191.7,345.6,139.5,305.7,243.9,290.5,279.5,277.237425
chronic_pulmonary_disease,27061,45836,10159,32950,15241,17134,10926,14239,17272,66481,55893,313192,26.84,28.21,23.75,26.09,22.62,28.51,19.09,33.41,22.35,30.32,28.22,27.135361,268.4,282.1,237.5,260.9,226.2,285.1,190.9,334.1,223.5,303.2,282.2,271.353614
diabetes_with_complications,23683,30983,6984,24799,8795,15631,0,8173,8238,37037,35450,199773,23.49,19.07,16.32,19.64,13.05,26.01,0.0,19.18,10.66,16.89,17.9,17.308592,234.9,190.7,163.2,196.4,130.5,260.1,0.0,191.8,106.6,168.9,179.0,173.08592
peripheral_vascular_disease,16417,19587,5059,25551,7745,12871,9765,3684,12413,27415,34468,174975,16.28,12.06,11.83,20.23,11.5,21.42,17.07,8.64,16.07,12.51,17.4,15.160061,162.8,120.6,118.3,202.3,115.0,214.2,170.7,86.4,160.7,125.1,174.0,151.600611
diabetes_uncomplicated,15918,24469,6893,19274,9984,7936,17738,6294,12543,37327,32457,190833,15.79,15.06,16.11,15.26,14.82,13.21,31.0,14.77,16.23,17.03,16.39,16.534019,157.9,150.6,161.1,152.6,148.2,132.1,310.0,147.7,162.3,170.3,163.9,165.340188
cerebrovascular_disease,15730,23462,6466,28962,10234,17135,21553,5769,18319,32137,27382,207149,15.6,14.44,15.11,22.93,15.19,28.52,37.67,13.54,23.71,14.66,13.83,17.947658,156.0,144.4,151.1,229.3,151.9,285.2,376.7,135.4,237.1,146.6,138.3,179.476583
myocardial_infarction,13845,27637,8131,22812,9195,14144,13249,4715,9830,34388,25975,183921,13.73,17.01,19.01,18.06,13.65,23.54,23.15,11.06,12.72,15.69,13.12,15.935154,137.3,170.1,190.1,180.6,136.5,235.4,231.5,110.6,127.2,156.9,131.2,159.351542
cancer,8182,17953,3968,14947,7580,7474,1147,3540,14259,20315,19171,118536,8.11,11.05,9.27,11.84,11.25,12.44,2.0,8.31,18.45,9.27,9.68,10.270113,81.1,110.5,92.7,118.4,112.5,124.4,20.0,83.1,184.5,92.7,96.8,102.701129
metastatic_solid_tumor,7033,16172,3635,12802,4891,6499,19173,3439,8739,13646,16078,112107,6.98,9.95,8.5,10.14,7.26,10.82,33.51,8.07,11.31,6.22,8.12,9.713096,69.8,99.5,85.0,101.4,72.6,108.2,335.1,80.7,113.1,62.2,81.2,97.13096
