hour_bin,median__Emory,median__JHU,median__MIMIC,median__Michigan,median__NU,median__OHSU,median__RUSH,median__Sunnybrook,median__UCMC,median__UCSF,median__UMN,median__UPenn,median__ALL,q25__Emory,q25__JHU,q25__MIMIC,q25__Michigan,q25__NU,q25__OHSU,q25__RUSH,q25__Sunnybrook,q25__UCMC,q25__UCSF,q25__UMN,q25__UPenn,q25__ALL,q75__Emory,q75__JHU,q75__MIMIC,q75__Michigan,q75__NU,q75__OHSU,q75__RUSH,q75__Sunnybrook,q75__UCMC,q75__UCSF,q75__UMN,q75__UPenn,q75__ALL,mean__Emory,mean__JHU,mean__MIMIC,mean__Michigan,mean__NU,mean__OHSU,mean__RUSH,mean__Sunnybrook,mean__UCMC,mean__UCSF,mean__UMN,mean__UPenn,mean__ALL,std__Emory,std__JHU,std__MIMIC,std__Michigan,std__NU,std__OHSU,std__RUSH,std__Sunnybrook,std__UCMC,std__UCSF,std__UMN,std__UPenn,std__ALL,count__Emory,count__JHU,count__MIMIC,count__Michigan,count__NU,count__OHSU,count__RUSH,count__Sunnybrook,count__UCMC,count__UCSF,count__UMN,count__UPenn,count__ALL
0,18.0,,,15.0,18.0,8.0,20.0,14.999993,17.0,,,21.0,17.874015,15.0,,,12.75,15.0,5.0,18.0,14.000005,14.75,,,15.0,5.0,22.0,,,20.0,22.0,8.5,24.0,20.0,20.0,,,25.5,25.5,18.409091,,,17.0,19.380952,7.5625,21.427083,16.894737,18.138889,,,20.9375,19.027559,5.369364,,,6.516252,5.22486,2.731758,5.048699,6.026023,7.35295,,,6.743874,5.473835,66.0,,,14.0,210,16.0,96.0,38.0,36,,,32.0,508
1,18.0,,,15.0,20.0,8.0,20.0,14.999993,17.0,,,20.4,17.5242,12.0,,,10.0,16.5,5.0,18.0,12.0,15.0,,,15.0,5.0,18.0,,,22.0,22.0,12.0,24.0,20.0,18.0,,,25.0,25.0,16.545455,,,16.882353,19.882353,8.375,20.606061,14.999999,17.851852,,,20.282353,17.638356,4.507569,,,10.39761,5.286387,3.222318,4.249554,8.31665,6.292265,,,6.209694,5.800363,33.0,,,17.0,51,16.0,33.0,25.0,27,,,17.0,219
2,16.0,,,11.0,20.0,5.0,22.0,14.999993,17.0,,,20.0,17.543725,11.75,,,10.0,16.0,5.0,20.0,12.0,15.0,,,18.0,5.0,20.0,,,21.0,22.5,7.25,30.0,17.999997,19.5,,,24.0,30.0,16.28125,,,14.1,19.940299,5.857143,23.292683,15.833332,17.48,,,20.842105,18.174905,6.123642,,,6.297266,5.60541,1.406422,5.814825,6.136849,5.69726,,,5.92793,5.60528,32.0,,,10.0,67,14.0,41.0,30.0,50,,,19.0,263
3,18.0,,,16.5,18.0,6.5,20.0,16.999996,15.0,,,18.0,17.186721,12.0,,,10.0,15.0,5.0,18.0,12.0,15.0,,,15.0,5.0,22.0,,,20.0,20.0,8.0,28.0,22.000003,18.0,,,18.0,28.0,17.9375,,,16.125,17.866667,7.1,22.255814,16.96875,15.432432,,,16.727273,17.551867,6.085082,,,8.172107,4.073339,2.84605,5.005202,6.911816,3.245001,,,3.003029,4.928786,32.0,,,16.0,60,10.0,43.0,32.0,37,,,11.0,241
4,18.0,,,16.0,18.0,8.0,22.0,14.999993,15.0,,,20.0,17.08712,12.0,,,12.0,15.0,5.0,20.0,12.0,12.0,,,12.0,5.0,22.0,,,22.0,22.0,10.0,26.0,17.999997,18.0,,,22.0,26.0,18.56,,,16.764706,19.457627,8.470588,22.458333,15.771427,15.82,,,19.384615,17.85606,6.51332,,,7.154801,6.176491,3.223307,4.448085,5.724486,4.910173,,,7.974318,5.555733,25.0,,,17.0,59,17.0,48.0,35.0,50,,,13.0,264
5,14.0,,,12.0,18.0,5.0,22.0,14.999993,18.0,,,18.0,16.491227,10.0,,,7.25,15.0,0.0,19.0,12.0,15.0,,,16.5,0.0,18.0,,,20.0,20.0,8.0,25.5,19.499999,20.0,,,21.0,25.5,13.857143,,,13.083333,18.372549,4.071429,22.322581,16.264705,18.651163,,,19.066667,16.982456,5.726574,,,7.05122,4.971763,3.911802,5.088465,5.674552,5.384651,,,5.147353,5.318909,28.0,,,12.0,51,14.0,31.0,34.0,43,,,15.0,228
6,12.0,,,16.0,20.0,5.0,22.0,14.999993,18.0,,,18.0,17.460144,10.0,,,10.0,15.0,0.0,18.0,12.0,15.0,,,11.5,0.0,16.0,,,22.0,22.0,5.0,26.0,18.999999,20.0,,,21.0,26.0,14.05,,,15.782609,18.442623,3.352941,22.924528,16.843749,18.196078,,,18.157895,17.583333,4.310025,,,8.23494,4.376165,3.444945,5.391764,5.370826,4.372732,,,7.342896,5.149524,20.0,,,23.0,61,17.0,53.0,32.0,51,,,19.0,276
7,20.0,,,,18.0,,22.0,14.999993,17.0,,,20.0,18.554999,16.0,,,,15.0,,18.0,12.0,15.0,,,15.0,12.0,26.0,,,,20.0,,26.0,22.000003,20.0,,,28.0,28.0,20.545455,,,,17.509091,,22.341463,16.787878,18.75,,,21.470588,19.25,6.681369,,,,4.791477,,5.160474,5.688573,5.412053,,,6.774194,5.490853,22.0,,,,55,,41.0,33.0,32,,,17.0,200
8,17.0,,,15.5,18.0,8.0,22.0,14.999993,17.0,,,20.4,17.386324,12.0,,,10.0,15.0,5.0,20.0,12.0,15.0,,,16.5,5.0,20.0,,,20.0,20.0,8.0,25.0,17.999997,20.0,,,24.0,25.0,16.227273,,,15.142857,17.932432,7.0,22.545455,15.181817,17.583333,,,20.036364,17.399145,7.54625,,,6.712298,4.98032,2.236068,4.258014,5.416725,4.390737,,,5.120014,5.071723,22.0,,,14.0,74,11.0,33.0,33.0,36,,,11.0,234
9,15.0,,,14.5,18.0,8.0,20.0,14.999993,15.0,,,15.0,16.103603,10.0,,,10.0,15.5,5.0,18.0,12.0,15.0,,,13.1,5.0,21.0,,,17.5,21.0,10.0,26.0,20.0,20.0,,,19.0,26.0,15.740741,,,15.333333,19.106383,7.0,22.157895,16.030303,17.787879,,,17.08,17.523423,5.230036,,,8.950846,4.746779,4.604346,5.117676,4.558542,4.421238,,,6.243534,5.227613,27.0,,,18.0,47,11.0,38.0,33.0,33,,,15.0,222
10,20.0,,,7.0,20.0,,22.5,15.499994,18.0,,,18.0,17.999999,16.0,,,5.0,15.0,,18.5,12.500001,15.0,,,12.25,5.0,28.0,,,15.0,22.0,,26.75,20.0,20.0,,,22.0,28.0,20.727273,,,11.25,18.716981,,22.794118,16.214285,18.095238,,,18.381818,18.274545,7.497878,,,9.546378,5.190144,,5.487061,5.072815,5.942035,,,6.356672,5.906031,11.0,,,16.0,53,,34.0,42.0,42,,,22.0,220
11,17.0,,,11.5,17.0,,22.0,14.000005,18.0,,,20.0,17.385966,12.5,,,10.0,15.0,,20.0,12.0,15.0,,,15.0,10.0,20.0,,,17.0,20.0,,24.75,15.999995,18.75,,,24.0,24.75,16.636364,,,13.5625,16.767857,,22.4,15.037037,18.806452,,,19.466667,17.798246,4.381188,,,6.889303,4.8392,,3.864962,4.292045,4.710778,,,5.730453,4.769602,22.0,,,16.0,56,,30.0,27.0,62,,,15.0,228
12,15.0,,,14.5,18.0,10.0,22.0,14.000005,15.0,,,18.0,16.957082,10.0,,,11.5,15.0,10.0,18.5,12.0,15.0,,,15.0,10.0,18.0,,,16.0,20.0,15.0,24.75,20.0,20.0,,,20.3,24.75,14.809524,,,14.25,18.181818,12.0,21.82,15.787879,17.142857,,,17.44,17.632618,5.853367,,,4.594958,4.114522,2.581989,4.667255,4.421238,6.150833,,,4.99582,4.797149,21.0,,,12.0,55,10.0,50.0,33.0,42,,,10.0,233
13,16.5,,,22.0,18.0,10.0,22.0,14.000005,15.0,,,18.0,17.075894,10.0,,,12.0,15.0,10.0,20.0,12.0,15.0,,,15.0,10.0,21.5,,,23.5,22.0,10.0,28.0,18.499998,20.0,,,21.0,28.0,16.9,,,18.4,18.833333,10.857143,23.344828,15.392858,16.973684,,,18.0,17.803571,6.255205,,,7.65133,5.203654,1.83375,5.347068,5.404657,5.283768,,,6.141196,5.447138,30.0,,,15.0,48,14.0,29.0,28.0,38,,,22.0,224
14,10.0,,,18.0,18.0,,20.0,14.000005,15.0,,,15.0,16.247526,10.0,,,16.0,15.0,,18.0,12.0,15.0,,,14.25,10.0,15.0,,,28.0,20.0,,22.0,20.0,19.5,,,21.3,28.0,12.533333,,,19.0,18.035714,,20.9,15.366668,16.738095,,,17.4625,17.40297,3.335238,,,9.916317,4.208063,,3.467584,5.095525,5.938956,,,5.692905,5.009941,15.0,,,13.0,56,,30.0,30.0,42,,,16.0,202
15,17.0,,,10.0,16.0,,20.0,14.000005,15.0,,,,15.626438,14.0,,,6.25,15.0,,18.0,12.0,15.0,,,,6.25,22.0,,,13.0,22.75,,22.0,15.999995,20.0,,,,22.75,17.809524,,,10.611111,18.5,,21.344828,14.249999,17.533333,,,,17.126437,5.400176,,,6.800855,5.376521,,4.253367,5.886013,5.197701,,,,5.402397,21.0,,,18.0,44,,29.0,32.0,30,,,,174
16,18.0,,,12.5,18.0,,20.0,14.000005,15.0,,,18.0,17.088373,14.0,,,10.0,15.0,,20.0,12.0,15.0,,,14.0,10.0,22.0,,,17.5,20.0,,26.0,20.0,20.0,,,18.0,26.0,17.6,,,14.4375,18.050847,,23.111111,15.37037,17.033333,,,16.769231,18.232558,4.898979,,,7.284401,4.717626,,5.511237,6.146594,5.950852,,,6.152965,5.534152,25.0,,,16.0,59,,45.0,27.0,30,,,13.0,215
17,18.0,,,,17.5,10.0,22.0,15.499994,15.0,,,17.0,16.756905,14.0,,,,15.0,5.0,20.0,13.500004,14.5,,,12.75,5.0,20.0,,,,22.0,14.0,26.0,20.500001,15.0,,,20.0,26.0,16.090909,,,,18.115385,9.846154,23.095238,16.791665,15.085714,,,16.785714,16.98895,5.536967,,,,4.522943,3.996794,4.311667,6.324411,3.736713,,,5.101713,4.715494,22.0,,,,52,13.0,21.0,24.0,35,,,14.0,181
18,15.0,,,15.0,17.0,8.0,21.0,14.999993,15.0,,,12.0,15.622009,10.0,,,12.5,15.0,8.0,18.0,12.0,12.0,,,12.0,8.0,19.5,,,18.0,20.0,10.0,30.0,20.0,16.0,,,18.0,30.0,15.882353,,,15.6,17.755556,8.727273,23.807692,16.827585,14.731707,,,15.769231,16.779904,6.966433,,,4.40202,5.419475,2.533413,7.105036,6.892381,4.555351,,,6.966035,5.811295,34.0,,,10.0,45,11.0,26.0,29.0,41,,,13.0,209
19,16.0,,,,18.0,,20.0,15.999995,15.0,,,15.0,16.919254,12.0,,,,15.0,,18.0,12.500001,15.0,,,14.0,12.0,18.5,,,,22.0,,22.0,20.0,18.0,,,18.0,22.0,16.0,,,,18.319149,,21.076923,17.230769,15.675676,,,16.538462,17.664596,4.824182,,,,5.8388,,4.381078,7.196153,3.793665,,,3.478874,5.086415,12.0,,,,47,,26.0,26.0,37,,,13.0,161
20,15.5,,,10.0,18.0,,20.0,14.999993,15.0,,,16.5,15.964911,14.0,,,7.0,15.0,,20.0,12.0,15.0,,,14.0,7.0,19.5,,,15.0,20.0,,22.0,17.999997,20.0,,,18.0,22.0,16.5,,,11.56,18.896552,,20.777778,16.121211,16.714286,,,16.722222,17.083333,5.181982,,,6.403645,6.830503,,3.489912,7.528104,4.112988,,,4.860471,5.619368,18.0,,,25.0,58,,27.0,33.0,49,,,18.0,228
21,16.0,,,,16.0,,22.0,15.499994,15.0,,,18.0,16.538011,12.0,,,,15.0,,20.0,14.000005,15.0,,,15.0,12.0,19.0,,,,22.0,,26.0,20.0,18.0,,,20.0,26.0,15.826087,,,,18.564103,,22.619048,17.566666,15.8,,,17.230769,17.690058,4.030026,,,,4.728385,,4.903837,7.766788,4.037326,,,4.245661,4.970498,23.0,,,,39,,21.0,30.0,45,,,13.0,171
22,16.0,,,,15.0,,20.0,14.999993,15.0,,,15.0,16.032257,12.0,,,,10.0,,18.0,12.0,15.0,,,14.0,10.0,19.0,,,,18.0,,24.0,17.999997,20.0,,,20.0,24.0,16.740741,,,,15.95122,,22.69697,15.814814,17.0,,,16.8,17.55914,5.971681,,,,4.969664,,6.385946,6.397337,5.33156,,,5.49343,5.695189,27.0,,,,41,,33.0,27.0,48,,,10.0,186
23,14.0,,,13.5,17.0,,20.0,14.000005,15.0,,,15.0,15.849163,12.0,,,10.0,15.0,,20.0,12.0,15.0,,,14.0,10.0,15.5,,,15.75,20.0,,24.5,17.999997,19.5,,,17.25,24.5,14.571429,,,13.2,17.710526,,22.407407,15.133333,16.152174,,,16.0,16.955307,4.602914,,,6.014797,4.724335,,5.025009,6.569172,4.511553,,,4.489304,5.068411,14.0,,,10.0,38,,27.0,30.0,46,,,14.0,179
24,16.0,,,16.0,18.0,,22.0,14.000005,15.0,,,15.0,16.690608,10.0,,,10.0,15.0,,20.0,12.0,15.0,,,15.0,10.0,19.5,,,18.0,20.0,,26.0,20.0,20.0,,,21.5,26.0,15.111111,,,15.538462,17.297297,,23.333333,16.320001,16.702128,,,17.357143,17.569061,6.105821,,,5.410105,4.719139,,5.406549,7.057621,4.740734,,,5.891417,5.428486,18.0,,,13.0,37,,27.0,25.0,47,,,14.0,181
25,17.0,,,13.5,18.0,,20.0,14.000005,15.0,,,,16.340426,10.0,,,10.25,15.5,,18.0,12.0,15.0,,,,10.0,20.0,,,15.0,25.0,,22.0,17.999997,19.0,,,,25.0,16.714286,,,13.5,19.457143,,21.133333,15.59375,16.444444,,,,17.367021,6.715693,,,4.501634,5.226307,,5.029111,5.84123,4.515406,,,,5.281784,28.0,,,18.0,35,,30.0,32.0,45,,,,188
26,15.0,,,15.0,15.0,,20.0,14.000005,18.0,,,15.0,16.340102,12.0,,,9.75,13.0,,18.5,12.0,15.0,,,15.0,9.75,20.0,,,20.0,22.0,,23.5,17.999997,19.0,,,25.75,25.75,16.722222,,,15.1875,17.72973,,21.538462,15.714286,17.833333,,,19.888889,17.873096,6.658083,,,7.138802,6.444846,,4.282343,6.097098,4.84768,,,9.417686,6.019687,18.0,,,16.0,37,,26.0,28.0,54,,,18.0,197
27,16.0,,,,18.0,,20.5,15.999995,15.0,,,14.0,16.771083,14.75,,,,15.0,,20.0,12.0,15.0,,,13.5,12.0,22.0,,,,22.0,,29.0,22.000003,20.0,,,16.5,29.0,17.25,,,,18.769231,,23.269231,17.172414,16.888889,,,15.727273,18.337349,4.297286,,,,5.121994,,6.258164,7.878856,4.754052,,,4.17351,5.539484,16.0,,,,39,,26.0,29.0,45,,,11.0,166
