count_name,count_value__Emory,count_value__JHU,count_value__MIMIC,count_value__Michigan,count_value__NU,count_value__OHSU,count_value__RUSH,count_value__Sunnybrook,count_value__UCMC,count_value__UCSF,count_value__UMN,count_value__UPenn,count_value__ALL
0_total_hospitalizations,1484968.0,1189737.0,545987.0,66846,135625.0,660024.0,255582.0,269599.0,166781.0,77375.0,4443564.0,2469264.0,11765352.0
1_adult_hospitalizations,1484968.0,1189670.0,545987.0,66846,135625.0,660024.0,255582.0,269599.0,166781.0,77375.0,4443564.0,2469264.0,11765285.0
1b_before_stitching,1484968.0,1189670.0,545987.0,66846,135625.0,660024.0,255582.0,269599.0,166781.0,77375.0,4443564.0,2469264.0,11765285.0
1b_after_stitching,1446218.0,1167916.0,535706.0,66826,133304.0,648225.0,252930.0,267258.0,166644.0,77332.0,4336238.0,2435619.0,11534216.0
1b_stitched_hosp_ids,38750.0,21754.0,10281.0,20,2321.0,11799.0,2652.0,2341.0,137.0,43.0,107326.0,33645.0,231069.0
1_icu_encounters,78108.0,124450.0,85146.0,66793,125224.0,56602.0,58831.0,44502.0,41179.0,77264.0,156945.0,167933.0,1082977.0
2_advanced_resp_support_hospitalizations,45578.0,80386.0,40750.0,6829,57303.0,30837.0,25242.0,13572.0,29011.0,33378.0,111744.0,91180.0,565810.0
2b_nippv_hfnc_hospitalizations,28326.0,46416.0,7768.0,3250,29733.0,9536.0,9338.0,4774.0,11617.0,11242.0,73898.0,62319.0,298217.0
3_vasoactive_hospitalizations,34739.0,43979.0,27022.0,25554,58343.0,31095.0,15163.0,15924.0,19007.0,27230.0,56854.0,59664.0,414574.0
4_other_critically_ill,5171.0,12531.0,4619.0,0,98.0,3179.0,3294.0,3969.0,2211.0,0.0,18283.0,9029.0,62384.0
5_all_critically_ill,100908.0,163030.0,89832.0,66799,126474.0,68263.0,66440.0,58867.0,49596.0,77268.0,219231.0,198063.0,1284771.0
sepsis_encounters,18170.0,39933.0,10387.0,,27835.0,11245.0,10130.0,6711.0,14448.0,18826.0,10339.0,39054.0,207078.0
sepsis_incidence_pct,18.0,24.5,11.6,,22.0,16.5,15.2,11.4,29.1,24.4,4.7,19.7,197.1
IMV encounters,23256.0,41737.0,35729.0,,38763.0,21806.0,13994.0,1358.0,18401.0,26742.0,48284.0,49334.0,319404.0
sepsis_icu_encounters,17196.0,33469.0,10384.0,,27407.0,10458.0,9935.0,6348.0,13244.0,18826.0,9206.0,35744.0,192217.0
sepsis_icu_pct,22.0,26.9,12.2,,21.9,18.5,16.9,14.3,32.2,24.4,5.9,21.3,216.5
sepsis_advanced_resp_encounters,12120.0,26843.0,9206.0,,19463.0,7356.0,6420.0,508.0,10760.0,13382.0,7915.0,27273.0,141246.0
sepsis_advanced_resp_pct,26.6,33.4,22.6,,34.0,23.9,25.4,3.7,37.1,40.1,7.1,29.9,283.8
sepsis_vaso_encounters,12293.0,23687.0,8146.0,,20060.0,7983.0,6464.0,5262.0,9470.0,13161.0,7478.0,24809.0,138813.0
sepsis_vaso_pct,35.4,53.9,30.1,,34.4,25.7,42.6,33.0,49.8,48.3,13.2,41.6,408.0
sepsis_other_ci_encounters,376.0,2580.0,3.0,,22.0,380.0,106.0,320.0,600.0,0.0,356.0,1413.0,6156.0
sepsis_other_ci_pct,7.3,20.6,0.1,,22.4,12.0,3.2,8.1,27.1,0.0,1.9,15.6,118.3
