Variable,Overall__Emory,Overall__JHU,Overall__MIMIC,Overall__Michigan,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
Years,2022-2026,2017-2026,2110-2211,2023-2024,2018-2025,2016-2025,2018-2026,2015-2025,2018-2024,2012-2026,2011-2026,2017-2025,2011-2026
N: Encounter blocks,"100,908","163,030","89,832","17,135","126,474","68,263","66,440","58,867","49,596","77,268","219,231","198,063","1,235,107"
N: Unique patients,"76,757","123,263","68,087","14,416","100,441","56,798","46,556","51,333","37,861","62,310","144,482","140,760","923,064"
N: Hospitals,10,8,1,1,10,2,1,1,1,7,12,9,63
"Age at admission, median [Q1, Q3]","65 [53, 75]","66 [53, 77]","67 [55, 78]","65 [52, 73]","66 [54, 76]","63 [49, 74]","63 [51, 73]","69 [56, 80]","62 [48, 72]","61 [48, 71]","66 [53, 78]","65 [53, 75]","65.2 [48, 80]"
  Race: Black or African American,"36,180 (47.1%)","34,541 (28.0%)","6,412 (9.4%)","1,479 (10.3%)","12,437 (12.4%)","1,302 (2.3%)","16,196 (34.8%)",,"22,034 (58.2%)","4,712 (7.6%)","8,602 (6.0%)","40,845 (29.0%)","184,740 (21.2%)"
  Race: White,"31,337 (40.8%)","73,665 (59.8%)","46,142 (67.8%)","11,811 (81.9%)","73,490 (73.2%)","47,960 (84.4%)","19,223 (41.3%)",,"11,062 (29.2%)","33,798 (54.2%)","122,943 (85.1%)","82,431 (58.6%)","553,862 (63.5%)"
  Race: Asian,"3,044 (4.0%)","5,914 (4.8%)","2,113 (3.1%)",332 (2.3%),"3,683 (3.7%)","1,538 (2.7%)","1,521 (3.3%)",,737 (1.9%),"10,036 (16.1%)","6,504 (4.5%)","5,019 (3.6%)","40,441 (4.6%)"
  Race: Other,"6,196 (8.1%)","9,143 (7.4%)","13,420 (19.7%)",794 (5.5%),"10,831 (10.8%)","5,998 (10.6%)","9,616 (20.7%)","51,333 (100.0%)","4,028 (10.6%)","13,764 (22.1%)","6,433 (4.5%)","12,465 (8.9%)","144,021 (16.5%)"
  Ethnicity: Non-Hispanic,"68,375 (89.1%)","102,606 (83.2%)","54,896 (80.6%)","13,515 (93.8%)","87,414 (87.0%)","48,477 (85.3%)","36,846 (79.1%)",,"33,450 (88.3%)","50,011 (80.3%)","142,126 (98.4%)","132,286 (94.0%)","770,002 (88.3%)"
  Ethnicity: Hispanic,"3,135 (4.1%)","5,005 (4.1%)","2,445 (3.6%)",389 (2.7%),"9,517 (9.5%)","3,971 (7.0%)","8,290 (17.8%)",,"2,273 (6.0%)","10,033 (16.1%)","2,282 (1.6%)","5,293 (3.8%)","52,633 (6.0%)"
  Sex: Male,"40,750 (53.1%)","65,249 (52.9%)","38,289 (56.2%)","8,206 (56.9%)","55,751 (55.5%)","32,242 (56.8%)","24,084 (51.7%)","30,950 (60.3%)","21,030 (55.5%)","33,227 (53.3%)","76,634 (53.0%)","76,558 (54.4%)","502,970 (54.5%)"
  Sex: Female,"35,900 (46.8%)","57,988 (47.0%)","29,798 (43.8%)","6,210 (43.1%)","44,674 (44.5%)","24,548 (43.2%)","22,472 (48.3%)","20,383 (39.7%)","16,831 (44.5%)","29,058 (46.6%)","67,823 (46.9%)","64,197 (45.6%)","419,882 (45.5%)"
Encounter Types,,,,,,,,,,,,,
"  ICU encounters, n (%)","78,108 (77.4%)","124,450 (76.3%)","85,146 (94.8%)","13,351 (77.9%)","125,224 (99.0%)","56,602 (82.9%)","58,831 (88.5%)","44,502 (75.6%)","41,179 (83.0%)","77,264 (100.0%)","156,945 (71.6%)","167,933 (84.8%)","1,029,535 (83.4%)"
"  Advanced respiratory support, n (%)","45,578 (45.2%)","80,386 (49.3%)","40,750 (45.4%)","10,677 (62.3%)","57,303 (45.3%)","30,837 (45.2%)","25,242 (38.0%)","13,572 (23.1%)","29,011 (58.5%)","33,378 (43.2%)","111,744 (51.0%)","91,180 (46.0%)","569,658 (46.1%)"
"  Vasoactive support, n (%)","34,739 (34.4%)","43,979 (27.0%)","27,022 (30.1%)","6,155 (35.9%)","58,343 (46.1%)","31,095 (45.6%)","15,163 (22.8%)","15,924 (27.1%)","19,007 (38.3%)","27,230 (35.2%)","56,854 (25.9%)","59,664 (30.1%)","395,175 (32.0%)"
"  Other critically ill, n (%)","5,171 (5.1%)","12,531 (7.7%)","4,619 (5.1%)",965 (5.6%),98 (0.1%),"3,179 (4.7%)","3,294 (5.0%)","3,969 (6.7%)","2,211 (4.5%)",0 (0.0%),"18,283 (8.3%)","9,029 (4.6%)","63,349 (5.3%)"
"ICU episodes, total n","90,685","135,216","96,091","14,407","135,739","61,611","63,927","48,450","45,804","129,375","166,016","180,577","1,167,898"
"Encounters with >=1 ICU episode, n (%)","78,108 (77.4%)","124,450 (76.3%)","85,146 (94.8%)","13,351 (77.9%)","125,224 (99.0%)","56,602 (82.9%)","58,831 (88.5%)","44,502 (75.6%)","41,179 (83.0%)","77,264 (100.0%)","156,945 (71.6%)","167,933 (84.8%)","1,029,535 (83.4%)"
"Hospital mortality, n (%)","16,467 (16.3%)","33,674 (20.7%)","16,487 (18.4%)","2,775 (16.2%)","17,414 (13.8%)","10,416 (15.3%)","10,018 (15.1%)","10,011 (17.0%)","9,253 (18.7%)","8,075 (10.5%)","41,343 (18.9%)","30,945 (15.6%)","206,878 (16.7%)"
"  Discharged to hospice, n (%)","4,999 (5.0%)","15,665 (9.6%)","5,249 (5.8%)","1,045 (6.1%)","5,017 (4.0%)","3,846 (5.6%)","4,030 (6.1%)","3,005 (5.1%)","3,095 (6.2%)","1,334 (1.7%)","16,493 (7.5%)","14,284 (7.2%)","78,062 (6.3%)"
"  Expired, n (%)","13,058 (12.9%)","18,013 (11.0%)","11,664 (13.0%)","1,731 (10.1%)","12,405 (9.8%)","6,577 (9.6%)","7,509 (11.3%)","7,007 (11.9%)","6,159 (12.4%)","6,741 (8.7%)","24,856 (11.3%)","19,786 (10.0%)","135,506 (11.0%)"
  First admission location: ed,"65,491 (64.9%)","50,796 (31.2%)","17,113 (19.1%)","5,054 (29.5%)","82,896 (65.5%)","27,798 (40.7%)","32,615 (49.1%)","34,853 (59.2%)","32,837 (66.2%)",474 (0.6%),"171,922 (78.4%)","37,876 (19.1%)","559,725 (45.3%)"
  First admission location: ward,"15,243 (15.1%)","45,853 (28.1%)","31,273 (34.8%)","5,803 (33.9%)","7,329 (5.8%)","8,657 (12.7%)","4,810 (7.2%)","6,479 (11.0%)","4,828 (9.7%)","32,943 (42.6%)","11,578 (5.3%)","57,811 (29.2%)","232,607 (18.8%)"
