hour_bin,median__Emory,median__JHU,median__MIMIC,median__NU,median__OHSU,median__RUSH,median__Sunnybrook,median__UCMC,median__UCSF,median__UMN,median__UPenn,median__ALL,q25__Emory,q25__JHU,q25__MIMIC,q25__NU,q25__OHSU,q25__RUSH,q25__Sunnybrook,q25__UCMC,q25__UCSF,q25__UMN,q25__UPenn,q25__ALL,q75__Emory,q75__JHU,q75__MIMIC,q75__NU,q75__OHSU,q75__RUSH,q75__Sunnybrook,q75__UCMC,q75__UCSF,q75__UMN,q75__UPenn,q75__ALL,mean__Emory,mean__JHU,mean__MIMIC,mean__NU,mean__OHSU,mean__RUSH,mean__Sunnybrook,mean__UCMC,mean__UCSF,mean__UMN,mean__UPenn,mean__ALL,std__Emory,std__JHU,std__MIMIC,std__NU,std__OHSU,std__RUSH,std__Sunnybrook,std__UCMC,std__UCSF,std__UMN,std__UPenn,std__ALL,count__Emory,count__JHU,count__MIMIC,count__NU,count__OHSU,count__RUSH,count__Sunnybrook,count__UCMC,count__UCSF,count__UMN,count__UPenn,count__ALL
0,420,,,450,475.0,420,400.0,450,440,450,430,438.568037,370.0,,,400.0,417.5,360.0,370.0,400.0,400.0,400.0,390.0,360.0,470.0,,,500.0,580.0,500.0,440.0,470.0,450.0,500.0,480.0,580.0,422.340136,,,460.992586,482.409091,437.050805,396.045455,440.555426,423.028571,455.883721,428.551073,440.09824,68.883285,,,61.870722,85.415268,103.71021,57.418179,55.246736,66.126247,68.472681,68.556105,65.655834,2205,,,7284,220.0,807,220.0,4303,525,860,10113,26537
1,420,,,450,460.0,440,400.0,450,440,450,430,437.284928,370.0,,,400.0,420.0,370.0,370.0,400.0,400.0,400.0,380.0,370.0,470.0,,,500.0,580.0,500.0,440.0,460.0,450.0,500.0,480.0,580.0,420.57243,,,457.02204,480.638298,449.356618,400.939394,437.409144,421.852518,447.110754,428.310315,436.168016,70.795096,,,61.515293,87.858461,103.842163,56.308135,58.877706,68.239006,67.72366,70.873134,68.090387,1712,,,3902,188.0,544,165.0,2559,556,623,8454,18703
2,410,,,450,450.0,430,390.0,450,420,450,430,435.426668,370.0,,,400.0,417.5,370.0,360.0,400.0,385.0,400.0,380.0,360.0,460.0,,,500.0,540.0,500.0,420.0,480.0,470.0,500.0,480.0,540.0,419.656833,,,456.835436,468.994565,446.086957,388.582677,441.852582,420.769231,444.016,426.522438,435.498185,67.96484,,,62.698641,81.58736,97.840567,54.200164,58.514379,74.025497,68.892566,73.308779,68.995279,1661,,,3567,184.0,506,127.0,2537,546,625,7661,17414
3,410,,,450,435.0,420,390.0,450,400,450,430,434.623013,370.0,,,400.0,410.0,360.0,360.0,400.0,370.0,400.0,380.0,360.0,450.0,,,500.0,500.0,480.0,410.0,480.0,450.0,500.0,470.0,500.0,416.360104,,,453.185322,459.257812,433.026634,386.205128,440.693186,410.326087,440.0,424.595122,432.507527,69.485629,,,61.629587,85.228017,95.715455,52.91536,57.787483,74.231738,66.964143,73.628909,68.578637,1544,,,2984,128.0,413,78.0,2539,460,561,6519,15226
4,400,,,450,440.0,410,380.0,450,400,450,430,433.871911,350.0,,,400.0,400.0,360.0,340.0,400.0,350.0,380.0,380.0,340.0,450.0,,,500.0,500.0,490.0,420.0,480.0,450.0,500.0,470.0,500.0,412.418322,,,453.08884,443.880597,427.676538,379.328358,440.269179,402.598753,434.048443,425.110462,431.872596,72.380963,,,61.975113,87.611673,94.14152,60.721018,59.491237,70.879175,67.157264,74.726378,69.362202,1561,,,3163,134.0,439,67.0,2972,481,578,6672,16067
5,400,,,450,420.0,400,390.0,450,400,450,430,434.11589,360.0,,,400.0,400.0,360.0,330.0,400.0,350.0,400.0,380.0,330.0,450.0,,,500.0,500.0,460.0,420.0,480.0,450.0,500.0,470.0,500.0,410.078475,,,450.891006,441.302083,413.976261,378.545455,441.087896,394.452555,437.925311,425.274352,431.44241,70.225978,,,60.879151,77.927918,81.303953,60.012905,59.534878,74.368099,65.457375,74.881,68.362381,1338,,,2991,96.0,337,55.0,2776,411,482,5907,14393
6,400,,,450,420.0,410,390.0,450,400,450,420,430.014411,350.0,,,400.0,400.0,360.0,345.0,400.0,350.0,400.0,380.0,345.0,450.0,,,500.0,500.0,460.0,420.0,480.0,450.0,500.0,470.0,500.0,408.539508,,,451.606793,434.090909,418.114286,386.016949,442.353715,399.849624,443.412527,425.459571,431.969501,69.458752,,,61.461415,65.820425,86.437871,60.506338,61.071619,68.479373,69.743007,74.15708,68.420418,1544,,,3062,99.0,350,59.0,3042,399,463,6248,15266
7,400,,,450,420.0,400,390.0,450,400,450,420,430.08781,370.0,,,400.0,400.0,360.0,320.0,400.0,370.0,400.0,380.0,320.0,450.0,,,500.0,500.0,450.0,420.0,480.0,450.0,500.0,470.0,500.0,413.469545,,,449.942678,439.444444,415.940594,380.762712,439.110635,402.674419,442.216749,424.433297,431.178734,67.164157,,,63.222051,73.05605,85.809487,59.086535,60.379402,65.352588,69.132275,72.553368,67.613474,1297,,,2704,63.0,303,59.0,2802,344,406,5574,13552
8,400,,,450,440.0,390,400.0,450,400,450,420,430.485799,370.0,,,400.0,380.0,360.0,355.0,400.0,360.0,400.0,380.0,355.0,450.0,,,500.0,490.0,450.0,440.0,480.0,450.0,500.0,470.0,500.0,411.866906,,,450.095852,434.057971,406.33452,397.164179,439.207953,402.442244,440.677201,425.000488,431.395022,65.397276,,,64.84586,80.354341,85.693068,63.432282,63.843772,66.097278,69.961153,74.058702,69.063886,1390,,,2869,69.0,281,67.0,3068,303,443,5734,14224
9,400,,,450,455.0,400,390.0,450,400,450,420,430.796218,372.5,,,400.0,395.0,360.0,340.0,400.0,350.0,400.0,370.0,340.0,450.0,,,500.0,507.5,450.0,430.0,480.0,450.0,500.0,460.0,507.5,415.751335,,,449.62197,453.461538,408.045977,385.319149,435.797101,402.966667,439.713542,421.752517,429.702516,65.772769,,,65.931529,80.461527,85.235047,59.958357,64.795178,69.889058,63.168482,75.763557,69.929836,1311,,,2558,52.0,261,47.0,2898,300,384,4987,12798
