ICU Hospitalizations,Died,Advanced O2 Support,Vasoactive Support,n__Emory,n__JHU,n__MIMIC,n__NU,n__OHSU,n__RUSH,n__Sunnybrook,n__UCMC,n__UCSF,n__UMN,n__UPenn,n__ALL
True,False,False,False,34568,56266,36682.0,45284,20145,31872,25189.0,12344,35203.0,67817,78293,443663
True,False,True,True,13313,20459,16543.0,26297,14357,6816,878.0,8577,14434.0,27822,30611,180107
True,False,True,False,11868,20961,15861.0,16922,6628,9426,1910.0,8942,12606.0,27116,25706,157946
False,False,True,False,11434,21688,67.0,571,4887,4135,10035.0,5565,2.0,38034,17694,114112
True,False,False,True,7800,8807,4203.0,19722,8641,4115,10828.0,4481,6948.0,15415,12950,103910
True,True,True,True,6631,10914,5378.0,10077,3527,3514,292.0,4882,5042.0,9809,12071,72137
False,False,False,True,5218,844,,124,2915,48,15.0,384,,1256,1763,12567
False,True,False,False,5171,12531,4623.0,98,3179,3294,3969.0,2211,,18283,9029,62388
True,True,True,False,1528,3216,2904.0,3045,898,1225,118.0,845,1292.0,4537,3711,23319
True,True,False,False,1274,2209,2688.0,2097,1187,1215,1388.0,554,933.0,2892,2772,19209
True,True,False,True,1126,1618,898.0,1780,1221,648,3902.0,554,806.0,1537,1819,15909
False,True,True,False,326,2180,,114,246,110,337.0,128,2.0,3698,1194,8335
False,False,True,True,240,331,,140,276,10,3.0,50,,428,101,1579
False,True,True,True,238,637,,137,18,6,,22,,300,92,1450
False,True,False,True,173,369,,66,140,6,6.0,57,,287,257,1361
