encounter_type,code_status,count__Emory,count__JHU,count__MIMIC,count__OHSU,count__RUSH,count__Sunnybrook,count__UCMC,count__UMN,count__UPenn,count__ALL,percentage__Emory,percentage__JHU,percentage__MIMIC,percentage__OHSU,percentage__RUSH,percentage__Sunnybrook,percentage__UCMC,percentage__UMN,percentage__UPenn,percentage__ALL
ICU Encounters,DNR,2915.0,2512.0,1422.0,9.0,212.0,869.0,,2563.0,,10502,3.71,2.33,2.05,0.02,0.6,2.74,,2.03,,2.598937
ICU Encounters,DNR/DNI,14141.0,9459.0,3321.0,7455.0,5596.0,3887.0,,27567.0,,71426,18.01,8.77,4.78,18.74,15.8,12.25,,21.79,,17.219688
ICU Encounters,Full,48408.0,83140.0,34658.0,30616.0,22973.0,10214.0,6205.0,79729.0,,315943,61.64,77.09,49.92,76.95,64.86,32.19,18.42,63.01,,64.682548
ICU Encounters,Other,299.0,68.0,,,911.0,,,667.0,,1945,0.38,0.06,,,2.57,,,0.53,,1.446005
ICU Encounters,Presume Full,12329.0,,,,,14770.0,,,,27099,15.7,,,,,46.55,,,,32.51444
ICU Encounters,Missing,447.0,34.0,29185.0,466.0,5697.0,103.0,23445.0,1019.0,336.0,60732,0.57,0.03,42.04,1.17,16.09,0.32,69.6,0.81,0.25,48.60893
Advanced Respiratory Support,DNR,2353.0,2287.0,809.0,5.0,121.0,217.0,,2262.0,,8054,5.13,3.39,2.66,0.02,0.71,2.13,,2.35,,3.456628
Advanced Respiratory Support,DNR/DNI,8677.0,7152.0,1103.0,4279.0,2786.0,1422.0,,22942.0,,48361,18.93,10.6,3.63,19.51,16.39,13.99,,23.87,,19.452366
Advanced Respiratory Support,Full,27742.0,47578.0,17336.0,16925.0,10509.0,2610.0,6932.0,56560.0,,186192,60.53,70.52,57.1,77.18,61.81,25.67,28.69,58.85,,62.164733
Advanced Respiratory Support,Other,222.0,49.0,,,443.0,,,594.0,,1308,0.48,0.07,,,2.61,,,0.62,,1.249618
Advanced Respiratory Support,Presume Full,6635.0,,,,,5082.0,,,,11717,14.48,,,,,49.99,,,,29.881709
Advanced Respiratory Support,Missing,201.0,21.0,10637.0,31.0,3118.0,49.0,13791.0,299.0,98.0,28245,0.44,0.03,35.03,0.14,18.34,0.48,57.07,0.31,0.12,43.08982
Vasoactive Support,DNR,2051.0,1653.0,599.0,4.0,88.0,499.0,,1249.0,,6143,5.99,4.41,2.98,0.02,0.86,4.09,,2.67,,4.3646
Vasoactive Support,DNR/DNI,6842.0,3710.0,852.0,3716.0,2232.0,1684.0,,9076.0,,28112,19.99,9.89,4.23,16.72,21.7,13.8,,19.42,,17.328133
Vasoactive Support,Full,20416.0,25736.0,11756.0,17270.0,6105.0,4072.0,2806.0,29101.0,,117262,59.65,68.64,58.41,77.72,59.35,33.38,19.18,62.27,,62.913981
Vasoactive Support,Other,127.0,22.0,,,283.0,,,237.0,,669,0.37,0.06,,,2.75,,,0.51,,1.416188
Vasoactive Support,Presume Full,4342.0,,,,,4950.0,,,,9292,12.69,,,,,40.57,,,,27.542131
Vasoactive Support,Missing,447.0,6.0,6552.0,639.0,1561.0,40.0,9613.0,270.0,59.0,19187,1.31,0.02,32.55,2.88,15.17,0.33,65.7,0.58,0.11,45.401802
Other Critically Ill,DNR,75.0,92.0,18.0,0.0,4.0,158.0,,142.0,,489,1.82,0.59,0.43,0.0,0.2,4.21,,0.72,,1.976973
Other Critically Ill,DNR/DNI,3446.0,4711.0,97.0,2531.0,1110.0,1339.0,,12306.0,,25540,83.72,30.31,2.32,87.94,56.66,35.66,,62.37,,59.994412
Other Critically Ill,Full,422.0,1310.0,574.0,299.0,307.0,177.0,181.0,956.0,,4226,10.25,8.43,13.72,10.39,15.67,4.71,7.65,4.85,,8.995812
Other Critically Ill,Other,15.0,6.0,,,146.0,,,164.0,,331,0.36,0.04,,,7.45,,,0.83,,3.714381
Other Critically Ill,Presume Full,148.0,,,,,128.0,,,,276,3.6,,,,,3.41,,,,3.511884
Other Critically Ill,Missing,10.0,0.0,3488.0,15.0,392.0,21.0,1789.0,21.0,9.0,5745,0.24,0.0,83.39,0.52,20.01,0.56,75.61,0.11,0.07,75.543852
ICU Encounters,AND,,12634.0,843.0,,,1887.0,,14351.0,,29715,,11.71,1.21,,,5.95,,11.34,,10.867648
Advanced Respiratory Support,AND,,10377.0,478.0,,,786.0,,13042.0,,24683,,15.38,1.57,,,7.73,,13.57,,13.912589
Vasoactive Support,AND,,6367.0,369.0,,,955.0,,6588.0,,14279,,16.98,1.83,,,7.83,,14.1,,14.647761
Other Critically Ill,AND,,9423.0,6.0,,,1932.0,,6137.0,,17498,,60.63,0.14,,,51.45,,31.1,,49.238738
ICU Encounters,Special/Partial,,,,1242.0,,,,,,1242,,,,3.12,,,,,,3.12
Advanced Respiratory Support,Special/Partial,,,,689.0,,,,,,689,,,,3.14,,,,,,3.14
Vasoactive Support,Special/Partial,,,,592.0,,,,,,592,,,,2.66,,,,,,2.66
Other Critically Ill,Special/Partial,,,,33.0,,,,,,33,,,,1.15,,,,,,1.15
ICU Encounters,UDNR,,,,,28.0,,,,,28,,,,,0.08,,,,,0.08
Advanced Respiratory Support,UDNR,,,,,24.0,,,,,24,,,,,0.14,,,,,0.14
Vasoactive Support,UDNR,,,,,18.0,,,,,18,,,,,0.17,,,,,0.17
Other Critically Ill,UDNR,,,,,0.0,,,,,0,,,,,0.0,,,,,0.0
ICU Encounters,DNAR,,,,,,,820.0,,,820,,,,,,,2.43,,,2.43
ICU Encounters,DNAR/DNI,,,,,,,3215.0,,,3215,,,,,,,9.54,,,9.54
Advanced Respiratory Support,DNAR,,,,,,,737.0,,,737,,,,,,,3.05,,,3.05
Advanced Respiratory Support,DNAR/DNI,,,,,,,2704.0,,,2704,,,,,,,11.19,,,11.19
Vasoactive Support,DNAR,,,,,,,493.0,,,493,,,,,,,3.37,,,3.37
Vasoactive Support,DNAR/DNI,,,,,,,1720.0,,,1720,,,,,,,11.76,,,11.76
Other Critically Ill,DNAR,,,,,,,32.0,,,32,,,,,,,1.35,,,1.35
Other Critically Ill,DNAR/DNI,,,,,,,364.0,,,364,,,,,,,15.38,,,15.38
ICU Encounters,Presumed Full,,,,,,,,640.0,,640,,,,,,,,0.51,,0.51
Advanced Respiratory Support,Presumed Full,,,,,,,,415.0,,415,,,,,,,,0.43,,0.43
Vasoactive Support,Presumed Full,,,,,,,,211.0,,211,,,,,,,,0.45,,0.45
Other Critically Ill,Presumed Full,,,,,,,,5.0,,5,,,,,,,,0.03,,0.03
