Variable,Overall__Emory,Overall__MIMIC,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
Years,2022-2026,2105-2214,2015-2025,2018-2026,2013-2025,2018-2024,2011-2026,2017-2025,2011-2214
N: Encounter blocks,"463,755","414,191","201,058","198,475","190,607","158,016","999,337","712,267","3,337,706"
N: Unique patients,"272,413","179,894","134,528","105,575","129,391","91,914","442,530","370,556","1,726,801"
N: Hospitals,10,1,2,1,1,1,12,10,38
"Age at admission, median [Q1, Q3]","60 [41, 72]","60 [43, 73]","56 [37, 70]","60 [45, 71]","62 [39, 76]","56 [35, 69]","61 [46, 73]","62 [46, 74]","60.4 [35, 76]"
  Race: Black or African American,"127,316 (46.7%)","22,997 (12.8%)","3,479 (2.6%)","33,704 (31.9%)",,"54,086 (58.8%)","30,573 (6.9%)","98,198 (26.5%)","370,353 (23.2%)"
  Race: White,"107,907 (39.6%)","122,911 (68.3%)","112,711 (83.8%)","49,213 (46.6%)",,"26,801 (29.2%)","369,009 (83.4%)","222,884 (60.1%)","1,011,436 (63.3%)"
  Race: Asian,"13,347 (4.9%)","7,501 (4.2%)","4,580 (3.4%)","3,265 (3.1%)",,"2,045 (2.2%)","20,275 (4.6%)","16,317 (4.4%)","67,330 (4.2%)"
Race: Other,"23,843 (8.8%)","26,485 (14.8%)","13,758 (10.2%)","19,393 (18.4%)","129,391 (100.0%)","8,982 (9.7%)","22,673 (5.2%)","33,157 (8.9%)","277,682 (16.1%)"
  Ethnicity: Non-Hispanic,"240,968 (88.5%)","153,982 (85.6%)","112,277 (83.5%)","85,177 (80.7%)",,"81,481 (88.6%)","432,690 (97.8%)","345,696 (93.3%)","1,452,271 (90.9%)"
Ethnicity: Other,"17,072 (6.8%)","16,455 (9.1%)","9,369 (7.0%)",758 (0.7%),"129,391 (100.0%)","4,508 (4.9%)",157 (0.0%),"6,292 (1.7%)","184,002 (10.8%)"
  Ethnicity: Hispanic,"14,373 (5.3%)","9,457 (5.3%)","12,882 (9.6%)","19,640 (18.6%)",,"5,925 (6.4%)","9,683 (2.2%)","18,568 (5.0%)","90,528 (5.7%)"
  Sex: Female,"155,185 (57.0%)","96,986 (53.9%)","75,245 (55.9%)","57,565 (54.5%)","70,694 (54.6%)","52,773 (57.4%)","239,231 (54.1%)","195,341 (52.7%)","943,020 (54.6%)"
  Sex: Male,"116,901 (42.9%)","82,908 (46.1%)","59,278 (44.1%)","48,004 (45.5%)","58,696 (45.4%)","39,141 (42.6%)","203,205 (45.9%)","175,194 (47.3%)","783,327 (45.4%)"
Sex: Other,327 (0.1%),,<10,<10,<10,,94 (0.0%),21 (0.0%),442 (0.0%)
Encounter Types,,,,,,,,,
"  ICU encounters, n (%)","65,986 (14.2%)","68,471 (16.5%)","38,486 (19.1%)","34,485 (17.4%)","31,215 (16.4%)","33,641 (21.3%)","105,881 (10.6%)","121,513 (17.1%)","499,678 (15.0%)"
"  Advanced respiratory support, n (%)","38,280 (8.3%)","29,933 (7.2%)","21,291 (10.6%)","16,523 (8.3%)","10,038 (5.3%)","24,127 (15.3%)","84,201 (8.4%)","75,746 (10.6%)","300,139 (9.0%)"
"  Vasoactive support, n (%)","27,763 (6.0%)","19,954 (4.8%)","21,561 (10.7%)","9,889 (5.0%)","11,932 (6.3%)","14,619 (9.3%)","38,971 (3.9%)","48,197 (6.8%)","192,886 (5.8%)"
"  Other critically ill, n (%)","3,211 (0.7%)","4,007 (1.0%)","2,772 (1.4%)","1,503 (0.8%)","3,636 (1.9%)","2,363 (1.5%)","18,683 (1.9%)","10,457 (1.5%)","46,632 (1.4%)"
"  Ward only (survived, no critical care), n (%)","380,899 (82.1%)","341,681 (82.5%)","153,566 (76.4%)","158,788 (80.0%)","147,965 (77.6%)","115,864 (73.3%)","838,339 (83.9%)","559,622 (78.6%)","2,696,724 (80.8%)"
"Hospital mortality, n (%)","9,701 (2.1%)","10,345 (2.5%)","6,148 (3.1%)","4,553 (2.3%)","6,621 (3.5%)","6,142 (3.9%)","32,941 (3.3%)","23,252 (3.3%)","99,703 (3.0%)"
  First admission location: ed,"245,415 (52.9%)","108,110 (26.1%)","67,747 (33.7%)","114,056 (57.5%)","103,678 (54.4%)","92,058 (58.3%)","739,626 (74.0%)","172,310 (24.2%)","1,643,000 (49.2%)"
  First admission location: ward,"130,206 (28.1%)","241,002 (58.2%)","54,085 (26.9%)","26,019 (13.1%)","42,360 (22.2%)","25,240 (16.0%)","87,674 (8.8%)","382,987 (53.8%)","989,573 (29.6%)"
  First admission location: procedural,"51,970 (11.2%)","6,056 (1.5%)","45,618 (22.7%)","52,381 (26.4%)","16,042 (8.4%)","22,432 (14.2%)","162,894 (16.3%)","97,813 (13.7%)","455,206 (13.6%)"
  First admission location: stepdown,,"4,849 (1.2%)",674 (0.3%),264 (0.1%),,,"2,168 (0.2%)",35 (0.0%),"7,990 (0.3%)"
  First admission location: l&d,"16,888 (3.6%)","11,053 (2.7%)","22,813 (11.3%)",40 (0.0%),"21,529 (11.3%)","15,271 (9.7%)","2,073 (0.2%)","7,889 (1.1%)","97,556 (2.9%)"
  First admission location: hospice,,,,<10,,,,,
  First admission location: other,"12,343 (2.7%)","21,263 (5.1%)",<10,,"1,709 (0.9%)",10 (0.0%),<10,"2,400 (0.3%)","37,725 (1.9%)"
  First admission location: icu,"6,593 (1.4%)","21,845 (5.3%)","10,004 (5.0%)","5,703 (2.9%)","5,289 (2.8%)","3,005 (1.9%)","4,850 (0.5%)","46,760 (6.6%)","104,049 (3.1%)"
  First admission location: radiology,189 (0.0%),,,,,,44 (0.0%),"1,155 (0.2%)","1,388 (0.1%)"
  First admission location: rehab,126 (0.0%),,,,,,<10,268 (0.0%),394 (0.0%)
