ICU Hospitalizations,Died,Advanced O2 Support,Vasoactive Support,n__Emory,n__JHU,n__MIMIC,n__OHSU,n__RUSH,n__Sunnybrook,n__UCMC,n__UMN,n__UPenn,n__ALL
False,False,False,False,380899,640256,341681.0,153566,158788,147965.0,115864,838339,559622,3336980
True,False,False,False,29170,45631,32331.0,13415,17533,17138.0,10399,42493,50370,258480
True,False,True,True,12697,17587,13398.0,10645,5017,761.0,7669,20378,28132,116284
True,False,True,False,10568,16837,12732.0,5160,5898,1313.0,8061,20215,20789,101573
False,False,True,False,10107,18082,32.0,3185,3645,7474.0,5529,32556,17411,98021
True,False,False,True,7328,7787,3672.0,6086,3007,9322.0,3918,11646,10869,63635
True,True,True,True,3640,4638,2327.0,1418,1457,130.0,2113,4929,5839,26491
False,True,False,False,3211,14985,4007.0,2772,1503,3636.0,2363,18683,10457,61617
False,False,False,True,3139,710,,2624,30,11.0,384,629,1728,9255
True,True,False,False,937,1708,2010.0,747,718,791.0,486,2184,1988,11569
True,True,True,False,900,1812,1444.0,483,485,59.0,572,2978,2279,11012
True,True,False,True,746,1040,557.0,532,370,1701.0,423,1058,1247,7674
False,True,True,False,200,1590,,169,16,299.0,123,2918,1154,6469
False,False,True,True,146,237,,229,4,2.0,50,140,94,902
False,True,False,True,45,237,,25,3,5.0,52,104,240,711
False,True,True,True,22,362,,2,1,,10,87,48,532
