comorbidity,n_patients__Emory,n_patients__JHU,n_patients__MIMIC,n_patients__Michigan,n_patients__NU,n_patients__OHSU,n_patients__RUSH,n_patients__Sunnybrook,n_patients__UCMC,n_patients__UCSF,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__JHU,prevalence_percent__MIMIC,prevalence_percent__Michigan,prevalence_percent__NU,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__Sunnybrook,prevalence_percent__UCMC,prevalence_percent__UCSF,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__JHU,per_1000_hospitalizations__MIMIC,per_1000_hospitalizations__Michigan,per_1000_hospitalizations__NU,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__Sunnybrook,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UCSF,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
congestive_heart_failure,14471,17171,4921,2833,23442,8207,5961,4004,7880,10140,20034,26373,145437,41.67,39.21,35.4,46.07,40.25,26.68,42.86,25.15,41.52,37.24,35.24,44.2,38.261517,416.7,392.1,354.0,460.7,402.5,266.8,428.6,251.5,415.2,372.4,352.4,442.0,382.61517
renal_disease,12522,14871,3553,2231,19115,5791,5543,2729,6296,9919,17442,19470,119482,36.06,33.96,25.56,36.28,32.82,18.82,39.85,17.14,33.18,36.43,30.68,32.63,31.433284,360.6,339.6,255.6,362.8,328.2,188.2,398.5,171.4,331.8,364.3,306.8,326.3,314.332843
chronic_pulmonary_disease,8528,11736,3238,1706,15065,6975,3979,3722,4993,7032,15237,15375,97586,24.56,26.8,23.29,27.74,25.86,22.67,28.61,23.38,26.31,25.83,26.8,25.77,25.672892,245.6,268.0,232.9,277.4,258.6,226.7,286.1,233.8,263.1,258.3,268.0,257.7,256.72892
diabetes_with_complications,8383,10158,2277,1416,11823,3949,3995,0,3744,4218,10284,11265,71512,24.14,23.2,16.38,23.02,20.3,12.84,28.72,0.0,19.73,15.49,18.09,18.88,18.813353,241.4,232.0,163.8,230.2,203.0,128.4,287.2,0.0,197.3,154.9,180.9,188.8,188.133529
peripheral_vascular_disease,7455,7810,1924,1644,14986,4591,4186,4021,2121,6733,10706,15307,81484,21.47,17.83,13.84,26.73,25.73,14.92,30.1,25.26,11.18,24.73,18.83,25.66,21.436783,214.7,178.3,138.4,267.3,257.3,149.2,301.0,252.6,111.8,247.3,188.3,256.6,214.367833
cerebrovascular_disease,5831,6453,1856,754,12700,4669,4644,7200,3591,7504,8937,9479,73618,16.79,14.74,13.35,12.26,21.8,15.18,33.39,45.23,18.92,27.56,15.72,15.89,19.367399,167.9,147.4,133.5,122.6,218.0,151.8,333.9,452.3,189.2,275.6,157.2,158.9,193.673986
myocardial_infarction,5791,10609,3504,1008,11058,4298,4815,3773,2841,5418,11746,9752,74613,16.68,24.23,25.21,16.39,18.99,13.97,34.62,23.7,14.97,19.9,20.66,16.35,19.629163,166.8,242.3,252.1,163.9,189.9,139.7,346.2,237.0,149.7,199.0,206.6,163.5,196.291629
diabetes_uncomplicated,5098,6624,2368,728,8367,4521,1724,5467,2651,4773,9066,8991,60378,14.68,15.13,17.04,11.84,14.37,14.69,12.39,34.34,13.97,17.53,15.95,15.07,15.884224,146.8,151.3,170.4,118.4,143.7,146.9,123.9,343.4,139.7,175.3,159.5,150.7,158.842239
cancer,3050,4444,1145,574,7749,3842,1940,322,1672,3742,5543,5815,39838,8.78,10.15,8.24,9.33,13.3,12.49,13.95,2.02,8.81,13.74,9.75,9.75,10.480568,87.8,101.5,82.4,93.3,133.0,124.9,139.5,20.2,88.1,137.4,97.5,97.5,104.805676
mild_liver_disease,2612,3725,843,478,4337,2144,1751,743,1155,2602,4584,4313,29287,7.52,8.51,6.06,7.77,7.45,6.97,12.59,4.67,6.09,9.56,8.06,7.23,7.704814,75.2,85.1,60.6,77.7,74.5,69.7,125.9,46.7,60.9,95.6,80.6,72.3,77.048141
