comorbidity,n_patients__Emory,n_patients__JHU,n_patients__MIMIC,n_patients__NU,n_patients__OHSU,n_patients__RUSH,n_patients__Sunnybrook,n_patients__UCMC,n_patients__UCSF,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__JHU,prevalence_percent__MIMIC,prevalence_percent__NU,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__Sunnybrook,prevalence_percent__UCMC,prevalence_percent__UCSF,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__JHU,per_1000_hospitalizations__MIMIC,per_1000_hospitalizations__NU,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__Sunnybrook,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UCSF,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
congestive_heart_failure,2191,4098,116,3987,663,530,361,1592,1108,3095,2929,20670,46.87,42.22,41.13,47.16,37.86,42.81,27.94,41.36,43.08,38.67,42.6,42.444403,468.7,422.2,411.3,471.6,378.6,428.1,279.4,413.6,430.8,386.7,426.0,424.444034
renal_disease,2027,3527,74,3399,418,535,242,1206,1068,3021,2460,17977,43.36,36.33,26.24,40.21,23.87,43.21,18.73,31.33,41.52,37.75,35.78,36.914516,433.6,363.3,262.4,402.1,238.7,432.1,187.3,313.3,415.2,377.5,357.8,369.145157
diabetes_with_complications,1392,2393,51,2074,315,363,0,729,485,1826,1506,11134,29.78,24.65,18.09,24.53,17.99,29.32,0.0,18.94,18.86,22.82,21.91,22.862892,297.8,246.5,180.9,245.3,179.9,293.2,0.0,189.4,188.6,228.2,219.1,228.628925
chronic_pulmonary_disease,1300,3060,65,2521,434,339,297,1101,713,2483,2036,14349,27.81,31.52,23.05,29.82,24.79,27.38,22.99,28.6,27.72,31.03,29.61,29.464671,278.1,315.2,230.5,298.2,247.9,273.8,229.9,286.0,277.2,310.3,296.1,294.646707
myocardial_infarction,856,2565,78,1905,384,358,227,945,730,1662,1108,10818,18.31,26.42,27.66,22.53,21.93,28.92,17.57,24.55,28.38,20.77,16.12,22.214009,183.1,264.2,276.6,225.3,219.3,289.2,175.7,245.5,283.8,207.7,161.2,222.140085
peripheral_vascular_disease,779,1453,37,1914,195,324,330,293,450,1184,1254,8213,16.66,14.97,13.12,22.64,11.14,26.17,25.54,7.61,17.5,14.79,18.24,16.864823,166.6,149.7,131.2,226.4,111.4,261.7,255.4,76.1,175.0,147.9,182.4,168.648227
cerebrovascular_disease,712,1187,33,1584,169,375,519,940,572,870,847,7808,15.23,12.23,11.7,18.74,9.65,30.29,40.17,24.42,22.24,10.87,12.32,16.033183,152.3,122.3,117.0,187.4,96.5,302.9,401.7,244.2,222.4,108.7,123.2,160.331834
diabetes_uncomplicated,643,1469,39,1182,254,174,359,637,433,1230,1125,7545,13.75,15.13,13.83,13.98,14.51,14.05,27.79,16.55,16.84,15.37,16.36,15.493131,137.5,151.3,138.3,139.8,145.1,140.5,277.9,165.5,168.4,153.7,163.6,154.931313
dementia,632,156,23,899,119,102,179,317,398,715,628,4168,13.52,1.61,8.16,10.63,6.8,8.24,13.85,8.24,15.47,8.93,9.13,8.558697,135.2,16.1,81.6,106.3,68.0,82.4,138.5,82.4,154.7,89.3,91.3,85.586973
mild_liver_disease,486,950,22,729,189,207,77,233,273,816,644,4626,10.4,9.79,7.8,8.62,10.79,16.72,5.96,6.05,10.61,10.2,9.37,9.499168,104.0,97.9,78.0,86.2,107.9,167.2,59.6,60.5,106.1,102.0,93.7,94.991684
cancer,420,748,18,1002,184,204,27,218,311,764,729,4625,8.98,7.71,6.38,11.85,10.51,16.48,2.09,5.66,12.09,9.55,10.6,9.497115,89.8,77.1,63.8,118.5,105.1,164.8,20.9,56.6,120.9,95.5,106.0,94.971149
metastatic_solid_tumor,418,837,20,1150,130,179,539,278,315,602,711,5179,8.94,8.62,7.09,13.6,7.42,14.46,41.72,7.22,12.25,7.52,10.34,10.634715,89.4,86.2,70.9,136.0,74.2,144.6,417.2,72.2,122.5,75.2,103.4,106.347153
moderate_severe_liver_disease,243,494,18,421,115,90,8,155,202,496,401,2643,5.2,5.09,6.38,4.98,6.57,7.27,0.62,4.03,7.85,6.2,5.83,5.427216,52.0,50.9,63.8,49.8,65.7,72.7,6.2,40.3,78.5,62.0,58.3,54.272162
hemiplegia,197,473,20,467,82,82,0,622,229,344,295,2811,4.21,4.87,7.09,5.52,4.68,6.62,0.0,16.16,8.9,4.3,4.29,5.772192,42.1,48.7,70.9,55.2,46.8,66.2,0.0,161.6,89.0,43.0,42.9,57.721924
connective_tissue_disease,194,327,10,425,68,63,18,78,85,398,254,1920,4.15,3.37,3.55,5.03,3.88,5.09,1.39,2.03,3.3,4.97,3.69,3.942586,41.5,33.7,35.5,50.3,38.8,50.9,13.9,20.3,33.0,49.7,36.9,39.425861
peptic_ulcer_disease,142,324,12,336,49,43,42,133,93,278,197,1649,3.04,3.34,4.26,3.97,2.8,3.47,3.25,3.46,3.62,3.47,2.87,3.386106,30.4,33.4,42.6,39.7,28.0,34.7,32.5,34.6,36.2,34.7,28.7,33.861065
aids,88,0,6,37,16,17,186,43,71,14,51,529,1.88,0.0,2.13,0.44,0.91,1.37,14.4,1.12,2.76,0.17,0.74,1.086265,18.8,0.0,21.3,4.4,9.1,13.7,144.0,11.2,27.6,1.7,7.4,10.862646
