sofa_score,total_encounters__Emory,total_encounters__JHU,total_encounters__MIMIC,total_encounters__NU,total_encounters__OHSU,total_encounters__RUSH,total_encounters__Sunnybrook,total_encounters__UCMC,total_encounters__UCSF,total_encounters__UMN,total_encounters__UPenn,total_encounters__ALL,n_encounters__Emory,n_encounters__JHU,n_encounters__MIMIC,n_encounters__NU,n_encounters__OHSU,n_encounters__RUSH,n_encounters__Sunnybrook,n_encounters__UCMC,n_encounters__UCSF,n_encounters__UMN,n_encounters__UPenn,n_encounters__ALL,n_deaths__Emory,n_deaths__JHU,n_deaths__MIMIC,n_deaths__NU,n_deaths__OHSU,n_deaths__RUSH,n_deaths__Sunnybrook,n_deaths__UCMC,n_deaths__UCSF,n_deaths__UMN,n_deaths__UPenn,n_deaths__ALL,mortality_rate_percent__Emory,mortality_rate_percent__JHU,mortality_rate_percent__MIMIC,mortality_rate_percent__NU,mortality_rate_percent__OHSU,mortality_rate_percent__RUSH,mortality_rate_percent__Sunnybrook,mortality_rate_percent__UCMC,mortality_rate_percent__UCSF,mortality_rate_percent__UMN,mortality_rate_percent__UPenn,mortality_rate_percent__ALL,ci_lower_95__Emory,ci_lower_95__JHU,ci_lower_95__MIMIC,ci_lower_95__NU,ci_lower_95__OHSU,ci_lower_95__RUSH,ci_lower_95__Sunnybrook,ci_lower_95__UCMC,ci_lower_95__UCSF,ci_lower_95__UMN,ci_lower_95__UPenn,ci_lower_95__ALL,ci_upper_95__Emory,ci_upper_95__JHU,ci_upper_95__MIMIC,ci_upper_95__NU,ci_upper_95__OHSU,ci_upper_95__RUSH,ci_upper_95__Sunnybrook,ci_upper_95__UCMC,ci_upper_95__UCSF,ci_upper_95__UMN,ci_upper_95__UPenn,ci_upper_95__ALL,ci_margin_95__Emory,ci_margin_95__JHU,ci_margin_95__MIMIC,ci_margin_95__NU,ci_margin_95__OHSU,ci_margin_95__RUSH,ci_margin_95__Sunnybrook,ci_margin_95__UCMC,ci_margin_95__UCSF,ci_margin_95__UMN,ci_margin_95__UPenn,ci_margin_95__ALL
0.0,28853,41773,27020.0,57829,27688.0,15016.0,15896.0,18488,27227,54554,57434.0,371778,938,646,219.0,3721,1720.0,834.0,233.0,978,454,2703,3507.0,15953,120,148,49.0,186,74.0,142.0,37.0,98,72,190,458.0,1574,12.79,22.91,22.37,5.0,4.3,17.03,15.88,10.02,15.86,7.03,13.06,9.866701,10.65,19.68,16.88,4.3,3.34,14.48,11.19,8.14,12.5,6.06,11.94,8.444686,14.93,26.15,27.87,5.7,5.27,19.58,20.57,11.91,19.22,7.99,14.17,11.287057,2.14,3.24,5.49,0.7,0.96,2.55,4.69,1.88,3.36,0.96,1.12,1.420726
1.0,28853,41773,27020.0,57829,27688.0,15016.0,15896.0,18488,27227,54554,57434.0,371778,1658,1232,1265.0,6224,3376.0,1422.0,882.0,1470,1224,4795,4790.0,28338,255,290,196.0,387,168.0,210.0,147.0,162,160,329,621.0,2925,15.38,23.54,15.49,6.22,4.98,14.77,16.67,11.02,13.07,6.86,12.96,10.321723,13.64,21.17,13.5,5.62,4.24,12.92,14.21,9.42,11.18,6.15,12.01,9.193363,17.12,25.91,17.49,6.82,5.71,16.61,19.13,12.62,14.96,7.58,13.92,11.452219,1.74,2.37,1.99,0.6,0.73,1.84,2.46,1.6,1.89,0.72,0.95,1.128359
2.0,28853,41773,27020.0,57829,27688.0,15016.0,15896.0,18488,27227,54554,57434.0,371778,1469,1236,1688.0,4475,2330.0,1081.0,1229.0,1111,1227,3460,4155.0,23461,239,307,259.0,393,137.0,176.0,220.0,128,155,364,619.0,2997,16.27,24.84,15.34,8.78,5.88,16.28,17.9,11.52,12.63,10.52,14.9,12.773961,14.38,22.43,13.62,7.95,4.92,14.08,15.76,9.64,10.77,9.5,13.82,11.409768,18.16,27.24,17.06,9.61,6.84,18.48,20.04,13.4,14.49,11.54,15.98,14.137628,1.89,2.41,1.72,0.83,0.96,2.2,2.14,1.88,1.86,1.02,1.08,1.364193
3.0,28853,41773,27020.0,57829,27688.0,15016.0,15896.0,18488,27227,54554,57434.0,371778,2119,2308,2354.0,4294,2600.0,1396.0,1147.0,1130,1595,3934,5056.0,27933,347,420,309.0,519,245.0,242.0,223.0,176,181,442,772.0,3876,16.38,18.2,13.13,12.09,9.42,17.34,19.44,15.58,11.35,11.24,15.27,13.878407,14.8,16.62,11.76,11.11,8.3,15.35,17.15,13.46,9.79,10.25,14.28,12.570695,17.95,19.77,14.49,13.06,10.55,19.32,21.73,17.69,12.91,12.22,16.26,15.180773,1.58,1.57,1.36,0.98,1.12,1.99,2.29,2.11,1.56,0.99,0.99,1.305639
4.0,28853,41773,27020.0,57829,27688.0,15016.0,15896.0,18488,27227,54554,57434.0,371778,2641,3065,3118.0,4036,2643.0,1466.0,1388.0,1143,2224,4173,5835.0,31732,433,600,448.0,643,356.0,318.0,304.0,224,247,635,972.0,5180,16.4,19.58,14.37,15.93,13.47,21.69,21.9,19.6,11.11,15.22,16.66,16.325973,14.98,18.17,13.14,14.8,12.17,19.58,19.73,17.3,9.8,14.13,15.7,15.011801,17.81,20.98,15.6,17.06,14.77,23.8,24.08,21.9,12.41,16.31,17.61,17.636245,1.41,1.4,1.23,1.13,1.3,2.11,2.17,2.3,1.31,1.09,0.96,1.312374
5.0,28853,41773,27020.0,57829,27688.0,15016.0,15896.0,18488,27227,54554,57434.0,371778,2647,3246,3257.0,3857,2288.0,1371.0,1971.0,1213,2220,4164,5849.0,32083,524,683,461.0,682,266.0,338.0,438.0,242,317,682,1022.0,5655,19.8,21.04,14.15,17.68,11.63,24.65,22.22,19.95,14.28,16.38,17.47,17.625355,18.28,19.64,12.96,16.48,10.31,22.37,20.39,17.7,12.82,15.25,16.5,16.279647,21.31,22.44,15.35,18.89,12.94,26.93,24.06,22.2,15.73,17.5,18.45,18.972189,1.52,1.4,1.2,1.2,1.31,2.28,1.83,2.25,1.46,1.12,0.97,1.344712
6.0,28853,41773,27020.0,57829,27688.0,15016.0,15896.0,18488,27227,54554,57434.0,371778,2516,3451,2960.0,3869,2131.0,1195.0,2012.0,1315,2072,4410,5359.0,31290,534,782,539.0,791,289.0,311.0,473.0,273,338,804,1079.0,6213,21.22,22.66,18.21,20.44,13.56,26.03,23.51,20.76,16.31,18.23,20.13,19.854336,19.63,21.26,16.82,19.17,12.11,23.54,21.66,18.57,14.72,17.09,19.06,18.42949,22.82,24.06,19.6,21.72,15.02,28.51,25.36,22.95,17.9,19.37,21.21,21.283234,1.6,1.4,1.39,1.27,1.45,2.48,1.85,2.19,1.59,1.14,1.07,1.425268
7.0,28853,41773,27020.0,57829,27688.0,15016.0,15896.0,18488,27227,54554,57434.0,371778,2667,3571,2679.0,4142,2163.0,1178.0,1857.0,1351,2244,4409,4966.0,31227,586,857,539.0,892,389.0,319.0,462.0,322,477,889,1152.0,6884,21.97,24.0,20.12,21.54,17.98,27.08,24.88,23.83,21.26,20.16,23.2,22.045336,20.4,22.6,18.6,20.28,16.37,24.55,22.91,21.56,19.56,18.98,22.02,20.554872,23.54,25.4,21.64,22.79,19.6,29.61,26.84,26.1,22.95,21.35,24.37,23.533674,1.57,1.4,1.52,1.25,1.62,2.53,1.96,2.27,1.69,1.18,1.17,1.486927
8.0,28853,41773,27020.0,57829,27688.0,15016.0,15896.0,18488,27227,54554,57434.0,371778,2669,3772,2498.0,4437,1955.0,1079.0,1520.0,1341,2239,4229,4652.0,30391,691,1040,613.0,983,471.0,316.0,393.0,381,416,905,1290.0,7499,25.89,27.57,24.54,22.15,24.09,29.29,25.86,28.41,18.58,21.4,27.73,24.674442,24.23,26.15,22.85,20.93,22.2,26.57,23.66,26.0,16.97,20.16,26.44,23.112236,27.55,29.0,26.23,23.38,25.99,32.0,28.05,30.82,20.19,22.64,29.02,26.239138,1.66,1.43,1.69,1.22,1.89,2.71,2.2,2.41,1.61,1.24,1.29,1.563092
9.0,28853,41773,27020.0,57829,27688.0,15016.0,15896.0,18488,27227,54554,57434.0,371778,2160,3800,1914.0,4075,1451.0,887.0,1226.0,1299,2262,3954,3812.0,26840,596,964,555.0,864,358.0,286.0,351.0,405,444,864,1281.0,6968,27.59,25.37,29.0,21.2,24.67,32.24,28.63,31.18,19.63,21.85,33.6,25.960276,25.71,23.99,26.97,19.95,22.46,29.17,26.1,28.66,17.99,20.56,32.11,24.280721,29.48,26.75,31.03,22.46,26.89,35.31,31.16,33.69,21.26,23.14,35.1,27.642788,1.88,1.38,2.03,1.25,2.22,3.07,2.53,2.52,1.64,1.29,1.5,1.681516
