value,emory_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability
5.0,5.637709511379717e-6,0.000028006497507421723,0.000011189687583922657,,7.832939075399872e-6
6.0,0.000011275419022759434,0.000035008121884277154,,,
7.0,0.000022550838045518868,,0.00003356906275176797,,0.000015665878150799744
8.0,0.00003946396657965802,0.000049011370637988015,,,
9.0,0.00009020335218207547,0.00007001624376855431,,0.000015312528710991334,0.00003133175630159949
10.0,0.00014658044729587265,0.00012602923878339775,0.00007832781308745859,0.00004083340989597689,
11.0,0.0002029575424096698,0.00019254467036352433,,0.00006635429108096244,0.000039164695376999356
12.0,0.0002649723470348467,0.0003220747213353498,0.00011189687583922657,0.00009697934850294511,0.00004699763445239923
13.0,0.0004397413418876179,0.0004341007113650367,0.00016784531375883986,0.000137812758398922,0.00006266351260319898
14.0,0.0005468578226038325,0.000602139696409567,0.00022379375167845314,0.00020927122571688154,0.0001096611470555982
15.0,0.0007385399459907429,0.0008401949252226517,0.00026855250201414377,0.00025520881184985556,0.00017232465965879716
16.0,0.0009696860359573112,0.001095754214977875,0.0004140184406051383,0.0003266672791678151,0.00023498817226199614
17.0,0.0012233829639693985,0.0015298549263429116,0.0005706740667800555,0.0003828132177747833,0.000305484623940595
18.0,0.0015390946966066627,0.002026970257099647,0.0007385193805388954,0.0004695842138037342,0.00042297871007159306
19.0,0.0018942703958235848,0.002692124572900913,0.0010518306328887298,0.0005869802672546678,0.0005326398571271913
20.0,0.0023734757042908608,0.003483308127485577,0.0013203831349028734,0.0006941679682316071,0.0011201102877821817
21.0,0.0028977826888491745,0.004554556657144457,0.001734401575508012,0.0008472932553415204,0.0013785972772703773
22.0,0.0035743078302147404,0.005723827928079315,0.0022043684540327636,0.0010769811860063905,0.0016214183886077735
23.0,0.004397413418876179,0.007204671483784238,0.002775042520812819,0.0012709398830122807,0.002201055880187364
24.0,0.005338910907276592,0.008958578390186524,0.0034799928385999463,0.0015057319899141478,0.0026631992856359565
25.0,0.0064890036475980534,0.010926034840082898,0.004397547220481604,0.0018579201502669485,0.003352497924271145
26.0,0.007887155606420223,0.013306587128213745,0.005460567540954257,0.002301983482885697,0.003986965989378534
27.0,0.009443163431561026,0.015851677589200693,0.00678095067585713,0.002837921987770394,0.0049112528002757195
28.0,0.011066823770838384,0.01868033383745029,0.008347506937606303,0.003414693902551067,0.005913869001926903
29.0,0.012859615395457134,0.02191158348736907,0.010238564139289232,0.004165007809389642,0.007253301583820281
30.0,0.01514288774756592,0.025475410295188485,0.01238698415540238,0.004910217539991221,0.008898218789654255
31.0,0.017770060379868866,0.029406822382792807,0.0149158535493689,0.006155636541818516,0.010621465386242226
32.0,0.02047052323581975,0.03346426370918053,0.017657327007429953,0.007416368072356802,0.012603198972318394
33.0,0.02350924866245342,0.03840040889486361,0.0208911467191836,0.008814912361294011,0.014772923096204158
34.0,0.026796033307587792,0.043441578446199516,0.024281622057112165,0.010402311171000113,0.01698181191546692
35.0,0.030398529685359433,0.04865778860695681,0.028242771461820786,0.012183668677712103,0.019801669982610876
36.0,0.03435056405283661,0.054339606788774995,0.032494852743711396,0.014301901816065905,0.02313066908965582
37.0,0.038652136410019335,0.06027348344815997,0.03698191746486438,0.016420134954419706,0.026569329343756363
38.0,0.04323559424277105,0.06661695513359099,0.04181586250111897,0.01906409824518421,0.030908777591527895
39.0,0.04858014285955902,0.07345404133759031,0.04690717035180378,0.021922436937902592,0.03542838343803362
40.0,0.05382885041465353,0.08064120876043242,0.052882463521618475,0.024898171684071907,0.04013597982234894
41.0,0.060154360486421574,0.08824147202150899,0.05918225763136693,0.02821588623812003,0.045399714881017655
42.0,0.06634456552991651,0.09588724584103513,0.0655827589293707,0.03204912259210486,0.05067128287876177
43.0,0.07277719208240076,0.10419467316417409,0.07254274460657058,0.03605079676191059,0.05635799664750207
44.0,0.07977922729553437,0.11234106312664538,0.08001745591263092,0.04044549250196511,0.06258518321244497
45.0,0.08704059714619145,0.12093555704923542,0.08779428878345717,0.04501883441031452,0.06880453683831247
46.0,0.09473043291971338,0.12994314681005995,0.09542565571569242,0.049934156126542735,0.07583851612802156
47.0,0.10229623908398496,0.1388317089564779,0.10293393608450452,0.055502812401106584,0.08288032835680605
48.0,0.11035816368525796,0.1483819246065087,0.11110240802076805,0.06136240672117927,0.09048611219901932
49.0,0.11939541203199965,0.158296224724136,0.12005415808790619,0.06743637644320583,0.09870286528911378
50.0,0.1285228637309234,0.1683260516439814,0.12911780503088355,0.07412284731367205,0.10702144658718844
51.0,0.13811824531929168,0.17848890942698706,0.13814788291110913,0.08076848477424228,0.11502671032224711
52.0,0.14786020735495584,0.188686775331877,0.14770387610777908,0.08828693637133903,0.12362727742703618
53.0,0.15766418419524517,0.19911569484120317,0.1569129889893474,0.09582070049714676,0.13259599266836902
54.0,0.16758655293527347,0.20974766145745813,0.16581998030614986,0.10342592309027246,0.14125139034668588
55.0,0.17761603815601798,0.22082773203383185,0.1759690269447677,0.11173041782786676,0.15019660677079252
56.0,0.1877582775669901,0.2317747717470453,0.18581595201861964,0.12002470421298707,0.1592984819764072
57.0,0.19792870552551908,0.2425117627289531,0.1958195327186465,0.12889576251288803,0.16874500650133945
58.0,0.2082344385123212,0.2533082675180642,0.2058566824814251,0.13753202870588715,0.1777372205598985
59.0,0.2191377687073296,0.26382470733210106,0.21554695192910214,0.14655621229289806,0.18720724390205692
60.0,0.22967464778409827,0.2747052316137344,0.22596455106973412,0.15640727243030247,0.19648927670640579
61.0,0.24031864334158318,0.28512364868649526,0.2363262017724465,0.16595718616972407,0.206092460012846
62.0,0.2505961877808284,0.29571710636867754,0.24631859278488943,0.17596647577047542,0.21595413030877444
63.0,0.26125709646684747,0.3063315689239904,0.2566690538000179,0.18547555610000102,0.2255729794933655
64.0,0.2721660643713672,0.31710006721559403,0.2671761704413213,0.19529088700374647,0.23517616279980574
65.0,0.2827875090908066,0.3276410127149499,0.27707904395309285,0.20508069702630694,0.2448420096188492
66.0,0.2934371423578029,0.3379544054220579,0.2879330409094978,0.21495727804489634,0.25397521658076544
67.0,0.3039345574679919,0.34846734442390637,0.2985408647390565,0.2250890678753356,0.26364106339980886
68.0,0.314240290454794,0.3585286786534476,0.3082199444991496,0.23503710736124298,0.2727977691789513
69.0,0.3248673728837448,0.36861101775611943,0.31851445707635845,0.24492389673230638,0.2814061692228158
70.0,0.3351787435800583,0.3784027894471517,0.3285180377763853,0.25539766637062444,0.29067253614901384
71.0,0.34517440254373455,0.3876939449952389,0.3384992391012443,0.26574893577925457,0.29989973837983486
72.0,0.35591423916291287,0.3974437069400101,0.3484356816757676,0.2757224961463469,0.3091191076715805
73.0,0.36645675594919297,0.40683638604156164,0.3584056933130427,0.28629324513316795,0.3180094935221594
74.0,0.37650315429847164,0.4162640732649975,0.3679728761972966,0.2964046182586592,0.32677455234753183
75.0,0.385788461863714,0.4254467036352434,0.3775288693939665,0.3066742208474974,0.3360017545783529
76.0,0.3954063942901278,0.4341287178625441,0.38673798227553485,0.3168366357353587,0.3453542838343803
77.0,0.4049172102358254,0.4428702458970481,0.3962268373467013,0.32638654947478024,0.3542133379286576
78.0,0.4140051979681695,0.4516047723071753,0.40568212335511594,0.33627333884584365,0.36329171431704604
79.0,0.42360621726604913,0.4606788774995799,0.41462268373467015,0.3457875233516063,0.3719471119953629
80.0,0.4324743343274494,0.4691158348736907,0.42365276161489573,0.3549291029920681,0.38026569329343757
81.0,0.4412917120032473,0.4772412199630314,0.4323471488676036,0.363897140640472,0.3891325803267902
82.0,0.45014855364562484,0.485300089620792,0.44090725986930446,0.37275288641166204,0.39778014506603165
83.0,0.4586896835553651,0.49298437237439086,0.4495233193089249,0.3817821741749099,0.40608306048595555
84.0,0.46713497240341195,0.5004796112698146,0.45754632530659745,0.3910819832787186,0.41419015242899443
85.0,0.4750954182334801,0.5079713493530499,0.46609524662071433,0.4002235629191805,0.4221875832249777
86.0,0.48350688082445864,0.5151235086540077,0.4741182526183869,0.4094263926744863,0.43031817398524275
87.0,0.49170411045400475,0.5225977426763009,0.4823650523677379,0.4178687001704795,0.4384252659282816
88.0,0.4998336875694143,0.5296763849213018,0.49052233461641753,0.42645902877734565,0.44600755095326866
