value,emory_probability,mimic_iv_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability
0.0,,1.341300659249274e-6,,,,2.2917172754231655e-6
0.12,,2.682601318498548e-6,,,,
1.0,,,,2.2886856536028487e-6,,0.0008158513500506469
2.0,,4.023901977747822e-6,1.288518654528821e-6,,,0.0011939847004954693
3.0,,6.70650329624637e-6,2.577037309057642e-6,,,0.0018012897784826082
3.8,,8.047803955495644e-6,,,,
4.0,,0.000010730405273994193,,,,0.0026790174949696804
5.0,,,,,0.000013166140898773442,0.0026813092122451036
5.2,,0.000012071705933243466,,,,
5.7,,0.00001341300659249274,,,,
6.0,,0.000014754307251742015,,9.154742614411395e-6,0.000018432597258282818,0.00268589264679595
7.0,,0.00001609560791099129,,,0.000028965509977301573,
8.0,,0.000021460810547988386,3.865555963586463e-6,0.000016020799575219944,,0.0026927677986222196
9.0,,0.00002280211120723766,,0.00001830948522882279,0.00003949842269632033,0.002697351233173066
10.0,0.0010045203415369162,0.000028167313844234753,0.000030924447708691705,0.00002288685653602849,,0.002701934667723912
11.0,0.0015067805123053742,0.000034873817140481124,0.000036078522326806985,0.00002746422784323419,0.0000447648790558297,0.0027042263849993355
12.0,0.0020090406830738324,0.000044262921755226045,0.00003994407829039345,,0.00005529779177484846,
13.0,,0.00005365202636997096,0.00004123259694492227,0.00003204159915043989,0.00005793101995460315,0.0027065181022747587
14.0,0.0025113008538422904,0.00006438243164396515,0.00004509815290850873,0.000034330284804042734,0.00006319747631411253,0.002711101536825605
15.0,0.0030135610246107484,0.00008181934021420571,0.000051540746181152834,0.00004119634176485128,0.00007899684539264066,0.0027156849713764514
16.0,0.004018081366147665,0.00008584324219195354,0.00006313741407191223,0.00004577371307205698,0.00009479621447116879,0.0027202684059272975
17.0,,0.00009657364746594773,0.00007344556330814279,0.000052639770032865524,0.00011322881172945161,0.0027225601232027208
18.0,,0.00010730405273994192,0.00007473408196267161,0.00005721714134007122,0.00012902818080797973,0.00272943527502899
19.0,,0.00012071705933243467,0.00008761926850795982,0.00006179451264727692,0.0001369278653472438,0.0027363104268552595
