value,emory_probability,mimic_iv_probability,ohsu_probability,rush_probability,ucmc_probability
0.0,,0.00004224519108908103,,,
5.0,0.000028293345405160706,,,,0.000010495382031905961
7.0,,0.00007040865181513505,,0.000042986717104414733,
7.32,,,,,0.00001574307304785894
7.39,,,,,0.000020990764063811922
7.43,,,,,0.000026238455079764903
7.45,,,,,0.00003148614609571788
8.0,,,,,0.000041981528127623844
9.0,,0.00011265384290421606,0.000045611074368856756,,0.000052476910159529805
10.0,,0.00021122595544540514,0.00006841661155328513,,0.00011020151133501259
11.0,,0.0002816346072605402,0.00009122214873771351,0.0001289601513132442,0.0001626784214945424
12.0,,0.00045061537161686426,0.00018244429747542703,0.00017194686841765893,0.00023089840470193114
13.0,0.00011317338162064282,0.0005914326752471344,0.0004104996693197108,0.00021493358552207367,0.00033585222502099076
14.0,0.00014146672702580352,0.0007322499788774044,0.0007297771899017081,0.00038688045393973263,0.0006034844668345927
14.6,,,,,0.0006087321578505457
15.0,,0.0010842932379530796,0.001026249173299277,0.0005158406052529768,0.0009918136020151134
15.6,,,,,0.0009970612930310662
16.0,0.00019805341783612495,0.0014504182273917818,0.0016648042144632718,0.0007737609078794653,0.0013853904282115869
16.4,,,,0.00081674762498388,
17.0,,0.0021122595544540513,0.002417386941549408,0.0012036280789236126,0.0017999580184718724
18.0,,0.003224716253133185,0.003443636114848685,0.0018914155525942484,0.0026185978169605373
19.0,0.0002546401086464464,0.004140028726729941,0.004720746197176675,0.0028371233288913725,0.003515952980688497
19.5,,,,,0.0035212006717044502
20.0,0.00031122679945676777,0.005689019066662911,0.00661360578348423,0.004040751407814985,0.004402812762384551
20.4,,,,0.0040837381249194,
20.8,,,,,0.004408060453400504
21.0,,0.007505562283493396,0.00846085429542293,0.005459313072260672,0.005803946263643996
21.1,,,,0.005502299789365086,
21.6,,,,,0.00580919395465995
22.0,0.0005941602535083748,0.010110682400653392,0.011037879997263335,0.0075656622103769935,0.007813811922753988
22.2,,,,0.0076086489274814085,
22.3,,,,,0.00781905961376994
23.0,0.0007639203259393391,0.013124172698341173,0.014048210905607882,0.010359798822163951,0.010096557514693535
23.1,,,,0.010402785539268366,
23.4,,,,,0.010101805205709488
23.5,,,,0.010445772256372781,0.01010705289672544
23.8,,,,,0.010112300587741393
23.9,,,,0.010488758973477195,
24.0,0.0012732005432322317,0.016940321626721492,0.018130402061620563,0.013669776039203886,0.013056255247691016
24.4,,,,,0.013061502938706969
24.7,,,,,0.013066750629722922
24.9,,,,0.0137127627563083,
25.0,0.0021502942507922135,0.02161545610724646,0.022440648589477526,0.017624554012810042,0.016572208228379515
25.2,,,,0.017667540729914458,
25.5,,,,,0.016577455919395467
26.0,0.003480081484834767,0.028416931872588504,0.027389450158498484,0.02433048188109874,0.021442065491183878
26.2,,,,,0.02144731318219983
26.6,,,0.02741225569568291,0.024373468598203156,
27.0,0.005800135808057945,0.03578167685245163,0.033318889826449864,0.030348622275716802,0.02783375314861461
27.1,,,,0.030391608992821218,0.027839000839630562
27.2,,,,0.030434595709925634,
27.4,,,,0.030477582427030046,
27.5,,,0.033341695363634294,0.030520569144134462,
27.6,,,,0.030563555861238878,
27.9,,,,,0.027844248530646515
28.0,0.009082163875056587,0.045864195792378964,0.0406622727998358,0.03778532433478055,0.03592044500419815
