value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,upenn_probability
4.9995,,,,,,,,0.00016590351051828256
5.75,,,,,,3.025260928755105e-05,,
6.6395,,,,0.0004113273216263249,,,,
7.849499999999999,,0.00025251816727925704,,,,,,
7.859500000000001,,,,,,,9.947642242994373e-06,
7.9495000000000005,,,0.0003002201614517313,,,,,
8.0,,,,,,,,0.00029862631893290864
8.0495,0.00030105570199499577,,,,,,,
8.2,0.0002809853218619961,,,,,,,
8.36,,,,,,,3.8132628598145094e-05,
8.4,0.00027429519515099614,,,,,,,
8.54,,,,0.00047460844803037496,,,,
8.6,0.00030105570199499577,,,,,,,
8.75,0.00016056304106399776,,,,,,,
8.8,,0.0001964030189949777,,,,,,
8.95,,,,0.00044296788482834997,,,,
9.0,,,,,,,3.315880747664791e-05,
9.05,,,,,,,,9.954210631096954e-05
9.1,,0.00022726635055133132,,,,,,
9.100000000000001,0.0013647858490439808,,,,,,,
9.1495,,,,,0.0010690658904472083,,,
9.149999999999999,,,,,,,,0.00013272280841462606
9.15,,,0.00028687704316498764,,,,,
9.2,,,,0.0007277329536465749,,,,
9.3,,0.0003815830083330995,,,,,,
9.350000000000001,,,0.0002301687904463273,,,,,
9.399999999999999,,,,,,,,0.0006967947441767867
9.45,,,0.0003269063980252185,,,,,
9.45,,,,0.00120234140167695,,,,
9.5,,,,,0.0013971950251389256,,,
9.55,,0.0011223029656855868,,,,,,
9.59,0.0011640820477139837,,,,,,,
9.6,,,,,,,4.310644971964228e-05,
9.6,,,0.0008005870972046167,,,,,
9.649999999999999,,,,,0.0019476051865572903,,,
9.7,,,,0.0018667932289194748,,,,0.0006636140420731302
9.75,,,,,0.0021804710240804445,,,
9.8,,0.0014309362812491232,0.0014977650276869704,,,,,
9.8,,,,,,,3.9790568971977494e-05,
9.84,0.0015587995236629782,,,,,,,
9.850000000000001,,,,,0.002699126753109288,,,
9.850000000000001,,,,0.0012339819648789748,,,,0.0004313491273475347
9.95,,0.001012878426531242,0.001100807258656348,,,,,
9.95,,,,0.00132890365448505,,,,0.0005308912336585042
9.95,0.0010102091333609859,,,,,,,
9.95,,,,,0.005250066155067478,,2.155322485982114e-05,
10.4495,,,,,0.13273352738819794,,,
10.599499999999999,,,,0.06280651795601962,,,,
10.6995,0.06094705433720915,0.06081759771050195,0.059356861698578955,,,,,
10.749500000000001,,,,,,,,0.051264184750149315
11.100000000000001,,,,,0.08764223339507807,,,
11.1995,,,,,,,0.005625391688413318,
11.249500000000001,,,,,,0.004761760701860535,,
11.45,,,,0.051574118019300744,,,,
11.55,,,,,0.11068536649907383,,,
11.65,0.05328685925311425,0.05179708762380405,0.05325572086196544,,,,,
11.75,,,,,,,,0.04625389873249718
11.95,,,,0.06245847176079734,,,,
12.05,,,,,0.09748610743582958,,,
12.100000000000001,0.05345411242088925,0.05270054151118094,,,,,,
12.15,,,0.06868036560144106,,,,,
12.2,,,,,,,,0.04671842856194837
12.399999999999999,,,,0.0534092706850182,,,,
12.5,0.05850515808769418,0.06011896411436267,,,,,,
12.55,,,0.04737807725665488,,,,,0.037626916185546484
12.55,,,,,,,0.006437782471591192,
12.6,,,,,,0.004217213734684616,,
12.65,,,,,0.10561524212754697,,,
12.75,,,,,,,0.003382198362618087,
12.8,,,,,,0.00692179700499168,,
12.8,,,,0.05375731688024047,,,,
12.85,0.0431513172859494,0.047756796947335936,0.049546333978250715,,,,,0.04011546884332073
12.9,,,,,,,0.009508288043928788,
12.95,,,,,,0.004386628346694902,,
13.3995,,,0.14430582427113217,,0.09394019581899973,,,
13.4495,,0.1546393198844028,,,,,,
13.499500000000001,0.14702222460093395,,,,,,,
13.5495,,,,0.14915361493434584,,,,0.1667993894750813
13.749500000000001,,,,,,0.20251701709272424,0.2016005756368978,
14.350000000000001,,,0.1439689105343919,,,,,
14.45,,,,,0.08677427890976448,,,
14.5,,0.14343873628686063,,,,,,
14.7,,,,,,,,0.14373880151304003
14.75,0.14517574962869798,,,,,,,
14.85,,,,0.1359595000791014,,,,
15.05,,,,,,0.20372107094236877,0.20119438024530886,
15.8,,,0.14265794916271932,,,,,
16.05,,0.1369377963581269,,,,,,
16.25,,,,,,0.18178792920889428,,
16.3,,,,,,,0.18521017710119073,
16.35,,,,,0.09097644879597777,,,
16.4,,,,,,,,0.15750879288605746
16.85,0.142827515153137,,,,,,,
16.95,,,,0.14045246005378895,,,,
18.45,,,,,,0.19623657540462866,,
18.55,,,,,,,0.19067806445408997,
18.95,,,0.14223430515711522,,,,,
19.4,,0.14222103756909177,,,,,,
20.05,,,,,0.08861603598835671,,,
20.14,,,,,,,,0.15193443493264316
20.5995,,,,,,0.03969142338526698,,
20.6995,,,,,,,0.0413622964463706,
21.1,,,,0.13981964878974845,,,,
21.45,0.14338279567015,,,,,,,
22.0995,,,0.0300286877043165,,,,,
22.15,,,,,,,0.037494321554219626,
22.15,,,,,,0.039286038420813796,,
22.749499999999998,,0.030035633119160517,,,,,,
23.3495,,,,,0.01878803916379995,,,
23.8495,,,,,,,,0.03191983542371757
24.25,,,0.027646941090132764,,,,,
24.35,,,,,,,0.039483850002818496,
24.6,,,,,,0.038384510664044774,,
24.9495,,,,0.029742129409903496,,,,
25.0,,0.0281838332257793,,,,,,
25.4,,,,,0.018269383434771105,,,
25.8995,0.03007211956594458,,,,,,,
26.45,,,,,,,,0.030625788041674963
27.4,,,,0.027780414491377945,,,,
27.55,,,0.029121355660817933,,,,,
28.299999999999997,,,,,,,0.03904283786337908,
28.35,,0.029126567716955192,,,,,,
28.35,,,,,0.017729558084149246,,,
28.65,0.028272475480685604,,,,,,,
29.25,,,,,,0.038983512327938286,,
30.25,,,,,,,,0.03055942663746765
31.1,,,,0.028255022939408323,,,,
32.55,0.02927599448733559,,,,,,,
33.6,,,,,0.018078856840433977,,,
33.650000000000006,,,0.028484221762625925,,,,,
34.3,,0.02882915743104851,,,,,,
37.4,,,,,,,,0.030990775764815185
37.8,,,,0.028603069134630597,,,,
39.5,0.02918233271338159,,,,,,,
65.45,,,,,,,0.038794146807304225,
75.85,,,,,,0.039074270155800936,,
84.8,0.029028459799028593,,,,,,,
94.1,,0.02877304228276423,,,,,,
96.1,,,,0.028539788008226548,,,,
101.15,,,,,,,,0.03092441436060787
112.55,,,,,0.018121196083620006,,,
115.55000000000001,,,0.02879111348322103,,,,,
