value,emory_probability,mimic_iv_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability
1.0,,,,,,5.028410519434806e-6
6.0,,,,,,0.000010056821038869613
7.0,,,,,,0.000020113642077739225
10.0,,,,0.00022414750855171472,,
11.9,,2.6020998946149543e-6,,,,
12.0,,,,,,0.000025142052597174033
12.5,,5.2041997892299085e-6,,,,
12.6,,7.806299683844863e-6,,,,
15.0,,,,,,0.00005531251571378287
15.5,,,,,,0.00006034092623321768
15.6,,,,,,0.00006536933675265249
15.7,,,,,,0.00007039774727208729
15.9,,0.000010408399578459817,,,,0.0000754261577915221
16.0,,0.000013010499473074771,6.819886789879288e-6,0.0002533841401019384,,0.00008548297883039172
16.2,,,,,,0.00009051138934982652
16.3,,,,,,0.00009553979986926133
16.4,,,,,,0.00010056821038869613
16.5,,,,,,0.00011062503142756574
16.6,,0.00002341889905153459,0.0004432926413421537,0.0006139692625546969,,0.00012571026298587016
16.7,,,0.00047057218850167086,,,
16.8,,0.000026020998946149543,0.00047739207529155016,0.0006626969818050696,,0.00013073867350530497
16.9,,,,0.0006919336133552932,,0.0001357670840247398
17.0,,,0.0004910318488713087,0.0007309157887555915,,
17.1,,0.000033827298629994404,,0.0007406613326056661,,
17.2,,0.00003642939852460936,0.0005046716224510673,0.0007893890518560388,,
17.3,,0.00004683779810306918,0.0005251312828207052,0.0008381167711064115,,0.0001609091366219138
17.4,,0.00005464409778691404,0.0005592307167701016,0.0008576078588065607,,0.00017096595766078344
17.5,,0.000057246197681529,0.0006069699242992567,0.0008770989465067098,,0.00019107959973852266
17.6,,0.0000624503974707589,0.0006478892450385323,0.000916081121907008,,0.00019610801025795745
17.7,,0.00006765459725998881,0.0007160881129373252,0.0009648088411573808,,0.00021119324181626187
17.8,,0.00008066509673306358,0.0007638273204664803,0.0010427731919579772,,0.0002162216523356967
17.9,,0.00009367559620613836,0.0008865852826843074,0.0011402286304587228,,0.0002262784733745663
18.0,,0.00010408399578459817,0.0009547841505831003,0.001179210805859021,,0.00024136370493287073
18.1,,0.00014051339430920753,0.001063902339221169,0.0012766662443597664,,0.00026650575753004477
18.2,,0.00017434069293920194,0.001159380754279479,0.0013643761390104375,,0.000286619399607784
18.3,,0.000228984790726116,0.0012412193957580305,0.0014520860336611084,,0.000311761452204958
18.4,,0.00028102678861841507,0.001282138716497306,0.001549541472161854,,0.0003268466837632624
18.5,,0.0003356708864053291,0.0014048966787151332,0.0016859790860628977,,0.0003570171468798713
18.6,,0.00040072338377070295,0.0015822137352519948,0.0018224166999639415,,0.0003922160205159149
18.7,,0.000457969581452232,0.0017117915842597012,0.0018808899630643888,,0.00042741489415195857
18.8,,0.0005178178790283759,0.0017868103389483735,0.0020270731208155072,,0.0004525569467491326
18.9,,0.0005802682764991348,0.0018891086407965628,0.002202492910116849,,0.00047769899934630664
19.0,,0.0006661375730214283,0.0020255063765941485,0.002358421611718042,,0.0005128978729823503
19.1,,0.0007546089694383367,0.0021073450180727,0.002494859225619086,,0.0005682103886961332
19.2,,0.0008638971650121648,0.0022846620746095614,0.002602060207969906,,0.0006184944938904812
19.3,,0.0009419601618506135,0.0025028984518856985,0.0027579889095710984,,0.0006587217780459597
19.4,,0.0010616567570029014,0.0026802155084225602,0.0029528997865725898,,0.0007190627042791773
19.5,,0.001194363851628264,0.002802973470640387,0.003079591856623559,0.001366120218579235,0.0007643183989540906
19.6,,0.0013270709462536267,0.0029871104139671282,0.003352467084425646,,0.0008296877357067431
19.7,,0.0014415633416166847,0.0031848871308736274,0.0035181413298769138,,0.0009051138934982652
19.8,,0.0015638620366635876,0.0033485644138307306,0.003693561119178256,,0.0009453411776537436
19.9,,0.0017173859304458697,0.0034986019232080747,0.0038202531892292248,,0.0009905968723286568
20.0,0.0003559759461967784,0.002378319303678068,0.00392143490418059,0.004034655153930865,,0.0010861366721979183
20.1,0.000661098185794017,0.0026515397926126383,0.004146491168246607,0.004434222451783922,,0.0011364207773922664
20.2,0.0010170741319907954,0.002909147682179519,0.004439746300211416,0.004638878872635487,,0.0012420173983003972
20.3,0.0012332023850388394,0.0032109912699548535,0.004671622451067312,0.004882517468887351,,0.0012872730929753104
20.4,0.001538324624636078,0.003593499954463252,0.004903498601923208,0.0051846293282396625,0.00273224043715847,0.0013526424297279629
20.5,0.0018561602908832018,0.0039291708408685806,0.005244492941417172,0.005525723362992271,,0.001428068587519485
20.6,0.002250276517029635,0.004210197629486996,0.005592307167701016,0.005935036204695403,,0.0015537788505053552
20.7,0.0027842404363248026,0.004644748311887693,0.005926481620405101,0.00644180448489928,,0.0016191481872580077
20.8,0.003127502955871696,0.005037665395974551,0.006390233922116893,0.006792644063501964,,0.0017297732186855735
20.9,0.0035089057553682446,0.005454001379112944,0.0067926072427197705,0.006958318308953231,0.004098360655737705,0.0018102277869965304
21.0,0.0040174428213636424,0.005867735262356722,0.00737229761985951,0.007367631150656363,,0.001925881228943531
21.1,0.0044751261807595005,0.006310092244441264,0.007876969242310577,0.007796435080059643,,0.0020465630814099664
21.2,0.004996376673404783,0.00682791012346964,0.008463479506240197,0.008166765746362476,,0.0022024438075124455
21.3,0.00550491373940018,0.007345728002498016,0.009152288072018004,0.008722261745816725,0.00546448087431694,0.0023633529441343592
21.4,0.0062677193383932775,0.00791558787941869,0.009650139807679193,0.009229030026020602,0.006830601092896175,0.002499120028159099
21.5,0.006941530950837179,0.008446416257920142,0.01024346995839869,0.009618851780023583,,0.0027052848594559258
21.6,0.007653482843230736,0.009146381129571564,0.010775421128009275,0.010086637884827162,,0.0028712224065972746
21.7,0.008352721308974407,0.009859356500696062,0.011525608674895996,0.010525187358080518,,0.0030019610801025796
21.8,0.009013819494768425,0.010470849975930577,0.012309895655732116,0.011246357602986035,,0.003198069090360537
21.9,0.00985290565366083,0.011176019047371229,0.013080542862988475,0.011840835777840583,0.00819672131147541,0.0033740634585407553
22.0,0.010806412652402201,0.0120060889137534,0.013871649730614471,0.012367095145744609,,0.0035953135213958867
22.1,0.011620071957994839,0.01280493358140019,0.014805974220827934,0.012864117882098411,0.01092896174863388,0.003831648815809323
22.2,0.012586292383386094,0.013674034946201584,0.01569937939030212,0.013585288127003927,,0.004143410268014281
22.3,0.013488945675527926,0.014504104812583756,0.016790561276682808,0.014150529670308252,0.01366120218579235,0.004364660330869412
22.4,0.014366172114369986,0.015477290173169749,0.017745345427265906,0.015222539493816453,,0.004656308140996631
22.5,0.015459526806260091,0.016531140630488803,0.018795607992907318,0.01594370973872197,0.015027322404371584,0.005078694624629155
22.6,0.016616448631399622,0.017676064584119383,0.02009820636977426,0.016772080965978306,,0.005435711771509026
22.7,0.017658949616690185,0.018737721341122286,0.02144854395417036,0.017493251210883822,0.01639344262295082,0.005822899381505506
