value,mimic_iv_probability,nu_probability,ucmc_probability
0.0,0.00004380457319744181,,
6.0,,,0.01677779230400488
7.0,,,0.02331459450037042
8.0,,,0.030069290103281476
9.0,,,0.036758617684228875
10.0,0.27085827760418185,0.25069921179760996,0.04412341482546738
11.0,,0.2560386473429952,0.050376955593323745
12.0,,0.2636664124078312,0.05726238724016211
13.0,,0.26646325959827105,0.06432213361223689
14.0,,0.26976862445969996,0.07098967185252975
15.0,,0.27485380116959063,0.07831089031245915
16.0,,0.27943046020849227,0.08641652503595242
17.0,,0.28324434274091026,0.09325837800148168
18.0,,0.28782100177981185,0.10081927920861115
19.0,,0.28960081362827356,0.10820586569050421
20.0,0.3218614023304033,0.2934146961606916,0.1160282389854883
21.0,,0.2967200610221205,0.1233494574454177
22.0,,0.3005339435545385,0.12988625964178324
23.0,,0.30587337909992374,0.13690242733254893
24.0,,0.30994152046783624,0.14365712293545999
25.0,,0.3140096618357488,0.15139233886782585
26.0,,0.3180778032036613,0.15886608271233713
27.0,,0.32189168573607935,0.16535930622739356
28.0,,0.32265446224256294,0.1723536845775047
29.0,,0.32672260361047545,0.17991458578463415
30.0,0.3649797038810852,0.3300279684719044,0.20460190874624135
31.0,,0.3325705568268497,0.2119449165468253
32.0,,0.3356216628527841,0.21904824160020916
33.0,,0.3374014747012459,0.226543774785375
34.0,,0.3399440630561912,0.23366888917941342
35.0,,0.3437579455886092,0.24007495533185166
36.0,,0.34706331045003813,0.24643744280298077
37.0,,0.3506229341469616,0.2521680393951279
38.0,,0.35469107551487417,0.2580075826905478
39.0,,0.357487922705314,0.2633677604915675
40.0,0.4017171392693397,0.36181032290872106,0.2718873926874973
41.0,,0.36486142893465545,0.2779884080707718
42.0,,0.36613272311212813,0.2838497407068462
43.0,,0.3699466056445461,0.28949317993637513
44.0,,0.3717264174930079,0.29476620037477663
45.0,0.40173174079373886,0.3740147470124587,0.3008018477360875
46.0,,0.37604881769641496,0.3061838148777618
47.0,,0.37884566488685484,0.31136967795354514
48.0,,0.38164251207729466,0.3160543861942738
49.0,,0.3839308415967455,0.32104414520416613
50.0,0.432380340507549,0.3857106534452072,0.3273412646533316
51.0,,0.3897787948131198,0.3323310236632239
52.0,,0.39359267734553777,0.3366888917941343
53.0,,0.39562674802949405,0.3414825467381357
54.0,,0.39715230104246124,0.3456443108031551
55.0,,0.39969488939740655,0.350220072340611
56.0,,0.40350877192982454,0.35464330849348497
57.0,,0.4060513602847699,0.35828212838279516
58.0,,0.4083396898042207,0.3626835751950146
59.0,,0.410373760488177,0.36632239508432474
60.0,0.4608679146102853,0.41164505466564966,0.37190046629189
61.0,,0.4129163488431223,0.37604044101625483
62.0,,0.4152046783625731,0.3799625223340742
63.0,,0.41723874904652936,0.3837102889266571
64.0,,0.41927281973048564,0.3876759489257855
