value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
-8.5005,,,,,,,0.1064859362523143,,
-3.0005000000000006,,,,,,0.10571400532904703,,,
0.9995000000000003,,,,,,,,0.10776710891153556,
5.4995,,0.1391896982421134,,,,,,,
5.9995,,,0.1063278168186906,,,,,,
6.4995,,,,0.12049415751287823,,,,,
6.9495,,,,,0.1050603294739344,,,,
6.9995,0.10331898104588651,,,,,,,,
7.3495,,,,,,,,,0.10088604502974885
12.0,,0.06492467945215342,,,,,,,
13.5,,,,,,,,0.1093058158748248,
14.0,,,0.13569159107989257,,,,,,
14.5,,,,0.12037171939371927,,,0.12016435019212343,,
14.5,,0.1516966247497779,,,,,,,
15.2,0.09672928741067713,,,,,,,,
15.35,,,,,,,,,0.10260211882886859
15.5,,,,,0.1340968790416426,,,,
16.0,,,,,,0.12564607369972508,,,
16.5,,,,,,,,0.12254435120079432,
16.5,,0.04588530089006427,,,,,,,
17.0,,,0.08803073289318852,0.08353904989387556,,,0.08724913822120162,,0.09676106473736101
17.2,0.1277907387522254,,,,,,,,
17.5,,,,,0.06783786203086078,,,,
18.5,,0.1442487808703679,,,,,,,
19.0,0.13424402153192888,,0.09605517294161792,0.08518136231901902,0.13699528661516,,0.08961310725728304,0.08928075053046443,
19.1,,,,,,,,,0.10234173074351796
19.5,,,,,,0.09804460530495515,,,
20.5,0.06490358550687125,,,,0.07307444184819012,,,,
20.5,,0.05629016892321894,,,,,,,
21.0,,,0.10818696977202256,0.09142912645532068,,,0.09691831501993241,0.09528832348699595,
21.15,,,,,,,,,0.0982754846057205
22.0,0.11799539001262675,,,,0.10881683854419068,,,,
22.5,,0.12400473638129669,,,,,,,
22.5,,,,,,0.09805018643292902,,,
23.0,,,0.0909985745431044,,,,,0.08680409389953908,
23.25,,,,,,,,,0.09917699629617814
23.5,,,,0.12318574409885887,,,0.12504241388410642,,
24.0,0.09875446395780357,,,,0.0994286525645814,,,,
25.0,,,0.08524678687559195,,,,,0.0892167266623664,
25.5,,0.10196333547181892,,,,,,,
25.5,,,,,,0.10210859665792756,,,
25.7,,,,,,,,,0.11174311108828285
26.0,0.07607003823001668,,,,,,,,
26.1,,,,,,,0.07453804954213385,,
26.5,,,,0.10796032457729779,,,,,
26.5,,,,,0.10370989996018162,,,,
27.5,,,0.10166558419815658,,,,,0.10017547875181201,
28.5,,,,,,0.09750928211346153,,,
28.5,,,,,,,,,0.09454114402386311
28.5,0.08120468273982952,0.07292278695669502,,,,,,,
29.1,,,,,,,0.12670228697021704,,
29.5,,,,0.08360334700672999,,,,,
29.5,,,,,0.0854767865024956,,,,
31.0,,,0.0954078177966327,,,,,,
31.5,,,,,,0.0893654862115908,,,
31.5,,,,,,,,0.11225304793627064,
32.4,,,,,,,,,0.09383898296398571
33.0,,,,,,,0.09028697429285569,,
33.5,,,,0.09660299200458562,,,,,
35.0,,,,,,0.09680280433076927,,,
40.0,,,,,,0.09679861848478886,,,
60.5,,0.09887388806249349,,,,,,,
65.0,0.09898881081213427,,,,,,,,
65.5,,,,,0.08550302341876279,,,,
66.5,,,0.09238895308110223,,,,,,
67.0,,,,,,,,0.08736430274539682,
67.4,,,,,,,,,0.09983332168247326
67.5,,,,,,,0.08299942836783222,,
68.0,,,,0.08763217673771498,,,,,
71.5,,,,,,0.08996034143480568,,,
