value,emory_probability,mimic_iv_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability
-50.0,,,,,,6.4312403933346625e-6,
-20.0,,,,,,0.00002572496157333865,
-10.0,,,,,,0.0000514499231466773,
-3.0,,0.00008206138191367142,,,,,
-2.0,,,,,7.210273197251444e-6,,
0.0,0.0004553574556026481,0.011242409322172985,0.00046312575579550425,0.024833365073319368,0.00006489245877526299,0.0004244618659600877,0.006442897225397485
0.13,0.0004903849521874672,,,,,,
0.24,0.0005954674419419244,,,,,,
0.25,,,,,,,0.006468876649693442
0.26,,,,,,,0.006494856073989401
0.3,0.0006655224351115625,,,,,,
0.5,,,,,,,0.006520835498285358
0.7,,,0.0004717021586806062,,,,
1.0,0.0008056324214508389,0.011488593467914,0.0005145841731061158,0.026718720243763094,0.00020909792272029188,0.00048234302950009967,0.006832588589836849
1.2,,,,,,,0.006910526862724722
2.0,0.0009107149112052962,0.011570654849827671,0.0006260774106124409,0.026890116168348886,0.0004254061186378352,0.0005402241930401116,0.0072742388028681285
3.0,0.0009807699043749344,0.011734777613655014,0.0006346538134975429,0.027918491715863646,0.0004975088506103496,0.0005723803950067849,0.007845786137379195
4.0,0.0010858523941293917,,0.0006603830221528486,0.028127975623690727,0.0005551910361883611,0.0005788116354001196,0.008079600956042814
5.0,0.004168272093593471,0.028475299524043984,0.014425509652741447,0.25334222052942296,0.0007354478661196473,0.014991221356863099,0.17582874363504106
6.0,0.012925146239798242,0.028967667815526014,0.01666395080575305,0.25718910683679297,0.0007426581393168987,0.015274195934169824,0.1806349371297932
6.1,,,,,,,0.18066091655408917
6.3,0.01296017373638306,,,,,,
6.5,,,,,,,0.1806868959783851
7.0,0.013240393709061613,0.03118332512719514,0.017967564044288543,0.2604075414206818,,0.017750223485603667,0.21944819702795387
7.5,0.013275421205646433,,,,,,0.21947417645224981
7.7,,,,,,,0.21950015587654578
7.9,0.013310448702231251,,,,,,
8.0,0.0374443938491716,0.04217955030362711,0.03349942966920814,0.3636831079794325,0.0011175923455739739,0.03076062280131969,0.24379091759326613
8.3,0.037479421345756415,,,,,,
8.333333333333334,,,,,,,0.2438168970175621
9.0,0.03754947633892606,0.04226161168554078,0.033911097007693035,0.36448295562749955,,0.031609546533239864,0.24464823859503274
9.5,,,,,,,0.2446742180193287
10.0,0.17226522820414025,0.11472181191531265,0.12075575262223519,0.5561797752808989,0.002501964799446251,0.1050157243827617,0.27823963420970593
10.333333333333334,,,,,,,0.2782915930582978
10.5,,,,,,,0.27834355190688975
11.0,0.17286069564608217,0.11537830297062203,0.12147617046458374,0.5577413825937917,0.002566857258221514,0.10646275347126201,0.28024004988049467
11.5,,,,,,,0.2803439675776785
12.0,0.27300430838207995,0.18127359264730017,0.18587637972881413,0.6411921538754523,0.0036339776914147276,0.15630486651960562,0.2988153382521043
12.333333333333334,,,,,,,0.29884131767640026
12.5,,,,,,,0.29891925594928814
13.0,0.27832848786297243,0.1941572296077466,0.1942126433331332,0.6480289468672634,0.009012841496564304,0.1640545111935739,0.30616751532786035
13.5,0.2783635153595573,,,,,,0.30624545360074823
13.85,,,,,,,0.30627143302504417
13.9,,,,,,,0.30632339187363605
14.0,0.3715716837717608,0.24839980305268342,0.22429008825118568,0.6864597219577223,0.012091628151790672,0.18660244001260523,0.315572066922997
14.05,,,,,,,0.31570196404447676
14.15,,,,,,,0.31572794346877275
14.2,,,,,,,0.3157539228930687
14.25,,,,,,,0.31577990231736464
14.3,,,,,,,0.31580588174166063
14.4,,,,,,,0.3158578405902525
14.5,,,,,,,0.31601371713602827
15.0,0.43738834985463587,0.5311012637452814,0.39299650940402575,0.8032565225671301,0.03667144948122084,0.45363397238425374,0.34360386573833523
15.5,,,,,,,0.34378572170840693
15.666666666666666,,,,,,,0.3438117011327029
15.95,,,,,,,0.3438636599812948
16.0,0.5239763214123087,0.5782044969637289,0.44271391692896167,0.827632831841554,0.07040110749796309,0.48555864969676704,0.3586459524056947
16.3,,,,,,,0.35867193182999063
16.5,,,,,,,0.35885378780006233
17.0,0.5282496759956566,0.5841949778434269,0.4558786953575931,0.8309083984003047,0.08595366678443446,0.4979387874539362,0.3647251376909488
17.5,,,,,,,0.3651148290553881
18.0,0.6144523450908963,0.6440177252584933,0.5574490347258553,0.8647686155018092,0.1980301533625109,0.5710812844473313,0.3851709446118674
18.5,,,0.5574576111287404,,,,0.38569053309778656
18.666666666666668,,,,,,,0.38574249194637844
18.75,,,,,,,0.38576847137067444
18.9,,,,,,,0.3858464096435623
19.0,0.6162387474167221,0.6456589528967668,0.5602106364548581,0.8685774138259379,0.20363253563677527,0.5766121511855992,0.39109425335134573
19.5,,,0.5602363656635134,,,,0.3914319858671932
20.0,0.7414970752040352,0.7506154603643526,0.746069863377902,0.9068177490001904,0.38908797254327965,0.7440237698644938,0.4505611555647927
20.333333333333332,,,,,,,0.4506131144133846
20.5,,,,,,,0.4516522913852229
20.666666666666668,,,,,,,0.4517821885067027
21.0,0.7433885600196154,0.7543902839323814,0.7500664671223596,0.9078651685393259,0.3959593629002603,0.746930690522281,0.45609477293983164
21.333333333333332,,,,,,,0.45619869063701546
21.5,,,0.7500836199281298,,,,0.45648446430427103
21.7,,,,,,,0.456510443728567
21.9,,,,,,,0.4565624025771589
21.95,,,,,,,0.45666632027434273
22.0,0.8022347542821114,0.8090431642868866,0.8124426453057059,0.9229480099028756,0.4938316112797514,0.7969593095420314,0.4717084069417022
22.05,,,,,,,0.47176036579029407
22.5,,,0.8124855273201314,,,,0.4723578925491011
22.666666666666668,,,,,,,0.4723838719733971
23.0,0.8082244561981156,0.815197767930412,0.8247926654602526,0.930356122643306,0.5516940536876942,0.8090693352026805,0.4835030655720669
23.333333333333332,,,,,,,0.4836329626935467
23.45,,,,,,,0.48365894211784266
23.5,,,,,,,0.48386677751221036
23.55,,,,,,,0.48402265405798606
23.666666666666668,,,,,,,0.48412657175516993
23.7,,,,,,,0.4841785306037618
23.75,,,,,,,0.48420451002805776
23.8,,,,,,,0.4842564688766497
23.85,,,,,,,0.48433440714953757
23.9,,,,,,,0.4843863659981295
23.95,,,,,,,0.48451626311960927
