hour_bin,upenn__median,upenn__q25,upenn__q75,upenn__mean,upenn__std,upenn__count,nu__median,nu__q25,nu__q75,nu__mean,nu__std,nu__count,jhu__median,jhu__q25,jhu__q75,jhu__mean,jhu__std,jhu__count,rush__median,rush__q25,rush__q75,rush__count,ohsu__median,ohsu__q25,ohsu__q75,ohsu__mean,ohsu__std,ohsu__count,ucmc__median,ucmc__q25,ucmc__q75,ucmc__mean,ucmc__std,ucmc__count,umn__median,umn__q25,umn__q75,umn__mean,umn__std,umn__count,emory__median,emory__q25,emory__q75,emory__mean,emory__std,emory__count,umich__median,umich__q25,umich__q75,umich__mean,umich__std,umich__count,mimic_iv__median,mimic_iv__q25,mimic_iv__q75,mimic_iv__mean,mimic_iv__std,mimic_iv__count
0,22.0,16.0,25.0,21.28,6.558176379097687,125,20.0,15.0,24.0,19.869811320754717,5.306330930995722,795,10.0,5.0,14.0,10.103626943005182,6.855154161592234,772,22.0,20.0,27.0,1003,12.0,10.0,18.0,14.693548387096774,7.64282307655931,62,20.0,15.0,25.0,19.964426877470355,7.648705628098553,253,25.0,20.0,25.0,23.818181818181817,7.023769168568496,121,20.0,14.0,25.0,19.933862433862434,6.890455198348059,378,18.0,14.0,22.0,18.48566463944396,7.096080575650979,1151,21.0,15.0,24.0,20.120689655172413,6.266249294257758,58
1,20.4,18.0,25.5,21.490666666666666,6.200112756893877,75,20.0,15.0,25.0,20.258928571428573,6.830747598047984,224,10.0,1.0,15.0,9.811965811965813,8.835597694525864,117,22.0,20.0,28.0,912,15.0,10.0,20.0,15.53125,7.853760094314544,64,18.0,15.0,25.0,20.390243902439025,7.943871148795532,82,25.0,24.5,28.0,24.515625,5.436479333142226,64,20.0,16.0,26.0,21.14782608695652,7.217478150066125,115,18.0,14.0,22.0,18.22962962962963,6.827133469310064,810,17.0,13.75,24.25,18.75,6.5684653338588355,20
2,20.0,15.0,24.0,19.815686274509805,5.485667600174827,51,20.0,15.0,23.0,19.77880184331797,5.471044355107361,217,10.0,6.0,15.0,10.0625,6.722335202585201,192,22.0,18.0,26.0,974,10.0,10.0,18.5,14.671875,8.52085152518724,64,18.0,15.0,21.0,19.18018018018018,6.060600327597617,111,25.0,18.5,25.0,22.96212121212121,7.0221137547807935,66,20.0,14.0,25.0,20.00769230769231,7.778419912726495,130,18.0,13.75,22.0,17.86111111111111,6.958199326483742,648,15.5,14.75,25.0,18.5,6.9906770213900815,24
3,20.4,15.0,25.0,20.857777777777777,6.209468169617665,45,20.0,15.0,25.0,20.070539419087137,6.584008666798772,241,10.0,5.0,14.0,10.13089005235602,7.785184224805708,191,22.0,20.0,27.0,1020,12.0,10.0,20.0,14.976744186046512,7.55452677945962,43,20.0,15.0,25.0,19.818181818181817,6.539306017544567,99,25.0,25.0,30.0,25.79591836734694,6.1533513627288725,49,20.0,15.0,25.0,20.204379562043794,7.242784123172066,137,17.0,13.0,21.0,17.205574912891986,6.831267575245838,574,18.0,14.0,22.0,18.03030303030303,6.356516579881078,33
4,20.0,12.0,20.5,18.318181818181817,6.4906828653999575,44,20.0,15.0,22.0,19.40989399293286,5.670144624226498,283,10.0,5.0,14.0,9.995169082125605,7.039760576619552,207,22.0,18.0,26.0,917,10.0,10.0,18.0,14.093333333333334,6.861906860761501,75,16.0,15.0,20.0,18.28846153846154,6.754607312068846,104,25.0,25.0,25.0,24.19047619047619,6.502040811181494,84,21.5,14.0,26.0,20.224358974358974,6.863248283851452,156,16.0,12.0,20.0,16.69945355191257,6.626287209486279,549,18.0,13.0,22.5,18.076923076923077,6.334469675740385,39
5,20.0,15.0,25.0,19.897435897435898,6.077546560885412,39,20.0,15.0,24.0,19.611336032388664,6.379173513224616,247,10.0,5.0,13.5,9.3551912568306,7.999969975323466,183,22.0,18.0,26.0,897,10.0,10.0,20.0,13.923076923076923,7.77841698156282,52,20.0,15.0,22.0,19.81,6.316076969355922,100,25.0,24.75,28.5,25.45625,6.0456169351840465,64,20.0,15.0,25.0,19.893805309734514,6.92351432214162,113,16.0,12.0,20.0,16.699386503067483,7.700969948483142,489,16.0,15.0,25.0,19.047619047619047,8.002975637075192,21
6,20.0,15.0,25.1,20.792307692307695,7.438422934104133,52,18.0,15.0,22.0,19.00409836065574,6.469617470338382,244,10.0,5.0,14.0,9.628440366972477,7.926187032508616,218,22.0,18.0,26.0,895,14.0,10.0,20.0,14.879518072289157,6.834984593915311,83,18.0,15.0,20.0,18.976744186046513,6.501760718594651,129,25.0,20.0,28.0,25.140350877192983,5.76763939236851,57,20.0,15.0,25.0,19.805555555555557,6.840109778877951,144,16.0,12.0,22.0,16.983539094650205,6.905827258873208,486,14.0,10.0,19.0,15.555555555555555,6.705767686211468,18
7,20.0,15.0,25.5,20.270833333333332,6.734286938301329,48,20.0,15.0,22.0,19.41350210970464,5.718493932212377,237,10.0,5.0,15.0,10.071428571428571,7.732481787477408,168,21.0,18.0,25.0,877,10.0,10.0,15.0,12.204081632653061,6.4645816822537405,49,19.5,15.0,22.0,19.133333333333333,6.385024614349009,90,25.0,25.0,25.0,24.73015873015873,6.253273592252273,63,20.0,12.0,24.0,18.791666666666668,6.455739572393966,144,16.0,10.0,20.0,16.121019108280255,7.0436484004382125,471,16.5,12.5,23.5,18.153846153846153,7.170452190439917,26
8,16.0,15.0,22.0,18.410204081632653,6.86841335686899,49,18.0,15.0,22.0,18.753246753246753,6.121570935397955,231,10.0,5.0,15.25,9.920454545454545,7.372879400163184,176,22.0,18.0,26.0,907,10.0,10.0,20.0,14.666666666666666,7.343798237221637,69,16.0,15.0,20.0,17.859375,5.862914777228078,128,25.0,25.0,28.0,24.28978494623656,5.549375988910162,93,20.0,13.25,25.0,19.746575342465754,7.782218143005171,146,16.0,10.0,20.0,16.034907597535934,6.807827522628931,487,17.5,14.25,22.0,18.09375,6.060764217755531,32
9,18.0,14.6,20.0,18.048387096774192,6.156344747101262,31,18.0,15.0,22.0,19.06694560669456,6.01081968091913,239,9.0,4.0,14.0,9.3121387283237,7.8899201622506325,173,22.0,18.0,25.0,826,14.5,10.0,20.0,14.4375,7.086483893176783,64,18.0,15.0,20.0,18.10185185185185,6.719951900716289,108,25.0,24.25,27.75,25.02,4.414678669518548,50,18.0,10.0,23.25,18.09090909090909,6.780590333747882,132,15.0,10.0,18.25,14.799107142857142,6.140400493183049,448,16.0,13.5,20.0,16.857142857142858,5.998236072282915,28
10,20.0,15.0,25.4,20.196153846153848,7.070345736851373,52,18.0,15.0,22.0,18.235521235521237,5.7790832420664575,259,10.0,5.0,12.0,9.414473684210526,6.215174848437804,152,22.0,18.0,26.0,850,14.0,10.0,16.0,14.727272727272727,7.618599753298301,77,17.0,15.0,20.0,18.21186440677966,7.030886310149217,118,25.0,25.0,30.0,25.889830508474578,5.115112663176072,59,20.0,12.0,25.0,19.954545454545453,7.614633998876729,132,16.0,10.0,20.0,15.85897435897436,6.7520624666797175,468,15.0,14.5,22.5,18.210526315789473,6.312060302560321,19
11,20.0,15.0,24.0,19.65757575757576,5.26931152423103,33,18.0,15.0,22.0,18.97285067873303,5.731030806881078,221,10.0,5.0,14.0,9.525139664804469,7.166807412761986,179,20.5,18.0,25.0,782,15.0,11.5,20.0,16.444444444444443,7.197001139142983,36,15.0,15.0,20.0,17.440366972477065,5.31321063684583,109,25.0,25.0,28.5,26.107142857142858,5.385767680330587,56,18.0,12.0,22.0,17.866197183098592,6.306845176022498,142,15.0,10.0,20.0,15.556025369978858,6.561760907160882,473,15.0,15.0,20.25,19.0625,9.291349022971136,16
12,18.0,15.0,20.0,18.609756097560975,4.922591029023678,41,18.0,15.0,22.0,18.618834080717487,5.831183991490671,223,10.0,4.0,15.25,10.5,7.739468397065939,160,22.0,19.0,26.0,876,12.0,10.0,18.0,14.788235294117648,7.4914143201004535,85,15.0,14.0,18.0,16.23308270676692,4.698302752937414,133,25.0,24.0,28.0,24.695360824742266,6.544996826752426,97,15.0,12.0,22.0,17.525641025641026,6.576055016986629,156,15.0,10.0,20.0,15.099403578528827,6.4346283400557445,503,20.0,16.0,22.0,19.454545454545453,5.8581722250358785,33
13,18.0,15.0,28.0,19.414754098360653,6.324814518112335,61,19.0,15.0,22.0,18.903614457831324,5.515990957013496,249,7.5,2.25,12.0,7.902597402597403,7.301866070489497,154,22.0,18.0,25.0,815,10.0,9.0,15.0,12.512820512820513,6.24024204520354,39,15.0,15.0,18.5,17.08,5.016498034012626,100,25.0,24.25,25.0,25.28,5.9385973744235425,50,16.0,10.0,22.0,17.382978723404257,6.383751219718573,141,15.0,10.0,18.0,14.733887733887734,6.211873313451431,481,15.5,12.0,18.0,16.45,7.104298180086401,20
14,25.0,18.0,28.0,22.758108108108107,6.605643223722534,74,19.0,15.0,24.0,19.002222222222223,5.777978857917333,225,9.0,3.0,14.0,8.61963190184049,7.935082742811966,163,21.0,18.0,25.0,760,10.0,10.0,15.0,12.02,5.219625445941344,50,15.0,15.0,20.0,16.633663366336634,5.462092588518119,101,25.0,24.0,30.0,26.0,5.107793284658843,68,18.0,10.0,22.0,17.46206896551724,6.728897765169243,145,14.0,10.0,20.0,15.152838427947598,7.361158532825584,458,15.0,12.5,21.0,18.555555555555557,9.660241272241002,18
15,20.0,15.0,22.5,19.742857142857144,5.243162814801865,35,18.0,15.0,20.0,17.900452488687783,5.951245077808633,221,9.0,2.0,15.0,9.013698630136986,6.960961389576191,146,21.0,18.0,25.0,723,12.0,10.0,15.0,12.75,5.390168974032953,52,15.0,15.0,20.0,16.61320754716981,4.988693415575783,106,25.0,25.0,30.0,26.42105263157895,6.120654051246287,57,18.0,12.0,23.5,18.035928143712574,6.653101655119946,167,15.0,10.0,18.25,14.733333333333333,6.231386936323498,456,16.0,13.5,21.0,17.130434782608695,7.25699880257351,23
16,18.0,15.0,20.0,17.75609756097561,5.028819383338787,41,20.0,15.0,22.0,18.65625,5.622875782264828,224,8.0,1.5,12.0,7.891025641025641,7.0588070982958016,156,22.0,20.0,26.0,784,12.0,10.0,15.0,11.813953488372093,5.160545439765103,43,15.0,14.75,20.0,16.975,5.1750248649587345,120,25.0,25.0,28.0,25.566666666666666,5.160458998834473,90,16.0,11.0,21.0,16.918518518518518,6.610768975357558,135,16.0,10.0,20.0,15.444924406047516,6.761929585188864,463,18.0,15.0,22.0,19.903225806451612,7.824554678317386,31
17,18.0,15.0,20.0,17.461363636363636,4.94980459605347,44,18.0,15.0,20.0,18.327188940092167,5.23156799013763,217,10.0,5.0,13.0,8.815068493150685,7.226391692388955,146,22.0,18.0,25.0,730,12.0,10.0,15.0,13.566037735849056,6.692445321641709,53,15.0,14.25,19.5,16.382978723404257,4.669982807130802,94,25.0,25.0,28.5,26.25,4.883819705441042,60,16.0,12.0,20.0,17.0,5.875909783980151,134,15.0,10.0,20.0,14.822616407982261,6.625507831712653,451,16.0,12.0,21.0,16.82608695652174,5.694113179520212,23
18,20.0,15.0,28.0,20.84313725490196,7.094709434556451,51,17.0,13.0,20.0,17.502392344497608,5.935652062159476,209,8.0,2.0,15.0,9.25531914893617,8.351564656927765,141,20.0,18.0,26.0,699,12.0,10.0,14.25,11.82,4.627733610240215,50,15.0,13.0,20.0,16.56989247311828,5.146543477997732,93,25.0,25.0,30.0,26.23076923076923,6.924283454442494,52,16.0,12.0,22.0,17.814102564102566,6.839925001644565,156,14.0,10.0,19.0,14.363861386138614,6.282733117434423,404,15.0,13.5,16.0,16.5,6.973977605094788,12
19,18.0,15.0,20.0,18.812820512820515,5.958460569784231,39,18.0,15.0,20.0,18.026190476190475,5.257988204964444,210,9.0,4.0,14.0,9.159090909090908,7.330610865118579,132,22.0,18.0,26.0,677,12.0,10.0,15.25,13.653846153846153,6.715170461634495,52,15.0,14.25,20.0,16.633333333333333,4.528188863334044,90,25.0,25.0,30.0,27.24074074074074,4.694176179798551,54,15.0,12.0,22.0,17.02777777777778,6.2956799978704945,144,14.0,10.0,18.0,14.564102564102564,6.700447603176519,429,15.5,14.25,18.5,16.5625,4.78844094321593,16
20,16.0,15.0,20.0,17.54423076923077,5.586201959995558,52,18.0,15.0,20.0,17.841666666666665,5.427337948810606,240,7.0,2.0,12.0,7.542168674698795,7.814983595739625,166,20.0,18.0,25.0,732,12.0,10.0,15.0,12.352941176470589,4.9470133592371255,51,15.0,12.0,19.0,16.358778625954198,5.368094780617559,131,25.0,25.0,28.0,25.29787234042553,4.639312581712903,94,18.0,14.0,20.0,18.18421052631579,6.545228333842917,152,14.0,10.0,18.0,14.385150812064966,6.882411855034477,431,20.0,16.75,20.5,18.964285714285715,5.308847561746565,28
